prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,16.0317
0,0,1,32,16.171
0,0,1,64,16.139
0,0,1,128,16.192
0,0,1,256,21.3013
0,0,1,512,21.9197
0,0,1,1024,23.3073
0,0,1,2048,27.5427
0,0,1,4096,41.5687
0,0,1,8192,61.2693
0,0,2,16,21.462
0,0,2,32,21.6
0,0,2,64,21.6113
0,0,2,128,21.8563
0,0,2,256,25.578
0,0,2,512,27.1157
0,0,2,1024,30.6877
0,0,2,2048,43.8403
0,0,2,4096,62.5707
0,0,2,8192,96.2353
0,0,4,16,21.1093
0,0,4,32,21.0993
0,0,4,64,21.2377
0,0,4,128,21.9423
0,0,4,256,26.4637
0,0,4,512,34.0797
0,0,4,1024,42.3683
0,0,4,2048,60.9283
0,0,4,4096,94.1987
0,0,4,8192,160.481
0,0,8,16,21.5143
0,0,8,32,21.5253
0,0,8,64,22.41
0,0,8,128,23.446
0,0,8,256,36.074
0,0,8,512,49.6957
0,0,8,1024,65.311
0,0,8,2048,98.838
0,0,8,4096,172.695
0,0,8,8192,303.566
0,0,16,16,30.666
0,0,16,32,30.944
0,0,16,64,31.9357
0,0,16,128,33.9517
0,0,16,256,46.5717
0,0,16,512,64.725
0,0,16,1024,102.049
0,0,16,2048,169.356
0,0,16,4096,302.572
0,0,16,8192,572.964
0,0,32,16,47.5627
0,0,32,32,47.8723
0,0,32,64,48.7257
0,0,32,128,52.1597
0,0,32,256,78.3257
0,0,32,512,120.31
0,0,32,1024,197.111
0,0,32,2048,351.202
0,0,32,4096,659.662
0,0,32,8192,1272.18
0,0,64,16,73.0463
0,0,64,32,73.7603
0,0,64,64,76.459
0,0,64,128,79.8613
0,0,64,256,125.686
0,0,64,512,202.316
0,0,64,1024,350.083
0,0,64,2048,639.173
0,0,64,4096,1224.29
0,0,64,8192,2395.85
16,0,0,0,16.4803
16,0,1,16,16.5017
16,0,1,32,16.374
16,0,1,64,16.5547
16,0,1,128,16.395
16,0,1,256,23.9893
16,0,1,512,33.8133
16,0,1,1024,46.795
16,0,1,2048,71.926
16,0,1,4096,121.398
16,0,1,8192,220.684
16,0,2,16,24.971
16,0,2,32,25.0777
16,0,2,64,25.0667
16,0,2,128,25.1733
16,0,2,256,32.683
16,0,2,512,39.4777
16,0,2,1024,51.7123
16,0,2,2048,76.5017
16,0,2,4096,125.121
16,0,2,8192,222.849
16,0,4,16,24.9817
16,0,4,32,25.1417
16,0,4,64,25.1517
16,0,4,128,25.461
16,0,4,256,42.614
16,0,4,512,60.982
16,0,4,1024,86.6777
16,0,4,2048,136.951
16,0,4,4096,236.865
16,0,4,8192,436.878
16,0,8,16,42.357
16,0,8,32,42.4217
16,0,8,64,42.635
16,0,8,128,42.9757
16,0,8,256,75.5313
16,0,8,512,108.256
16,0,8,1024,160.3
16,0,8,2048,261.239
16,0,8,4096,459.608
16,0,8,8192,855.74
16,0,16,16,68.9927
16,0,16,32,68.886
16,0,16,64,69.0883
16,0,16,128,69.718
16,0,16,256,127.563
16,0,16,512,182.667
16,0,16,1024,274.872
16,0,16,2048,453.667
16,0,16,4096,800.912
16,0,16,8192,1497.83
16,0,32,16,128.78
16,0,32,32,128.779
16,0,32,64,129.078
16,0,32,128,130.828
16,0,32,256,239.831
16,0,32,512,351.448
16,0,32,1024,550.137
16,0,32,2048,918.183
16,0,32,4096,1653.64
16,0,32,8192,3900.77
16,16,0,0,16.843
16,16,1,16,16.704
