layer,tokens,time_us
act_fn,1,3.48833
act_fn,2,3.36
act_fn,3,3.392
act_fn,4,3.44533
act_fn,5,3.46667
act_fn,6,3.47733
act_fn,7,3.51967
act_fn,8,3.488
act_fn,9,3.488
act_fn,10,3.488
act_fn,11,3.51967
act_fn,12,3.52033
act_fn,13,3.542
act_fn,14,3.56267
act_fn,15,3.59467
act_fn,16,3.648
act_fn,20,3.28567
act_fn,24,3.34933
act_fn,28,3.328
act_fn,32,3.36
act_fn,36,3.39233
act_fn,40,3.44567
act_fn,44,3.41333
act_fn,48,3.44567
act_fn,52,3.53067
act_fn,56,3.595
act_fn,60,3.63733
act_fn,64,3.63733
act_fn,80,5.89867
act_fn,96,6.27233
act_fn,112,7.34933
act_fn,128,8.10667
act_fn,144,11.5097
act_fn,160,12.5863
act_fn,176,13.8663
act_fn,192,15.9147
act_fn,208,17.3763
act_fn,224,18.6883
act_fn,240,21.1097
act_fn,256,23.4133
act_fn,272,23.4027
act_fn,288,24.7683
act_fn,304,26.5383
act_fn,320,28.448
act_fn,336,31.3707
act_fn,352,33.3977
act_fn,368,34.9867
act_fn,384,37.035
act_fn,400,36.6293
act_fn,416,38.1123
act_fn,432,40.544
act_fn,448,42.2403
act_fn,464,44.4053
act_fn,480,46.4853
act_fn,496,48.1283
act_fn,512,49.3973
act_fn,528,53.2803
act_fn,544,54.4963
act_fn,560,56.5553
act_fn,576,58.07
act_fn,592,60.4907
act_fn,608,61.5577
act_fn,624,63.9577
act_fn,640,65.3977
act_fn,656,66.6887
act_fn,672,68.0753
act_fn,688,70.0163
act_fn,704,71.7443
act_fn,720,73.142
act_fn,736,75.03
act_fn,752,76.9077
act_fn,768,78.5927
act_fn,784,79.616
act_fn,800,81.3333
act_fn,816,83.5417
act_fn,832,84.7047
act_fn,848,86.401
act_fn,864,87.926
act_fn,880,90.1443
act_fn,896,91.1573
act_fn,912,90.9123
act_fn,928,93.046
act_fn,944,94.3047
act_fn,960,95.4457
act_fn,976,97.771
act_fn,992,99.4887
act_fn,1008,101.11
act_fn,1024,103.041
act_fn,1040,100.726
act_fn,1056,102.145
act_fn,1072,104.097
act_fn,1088,105.558
act_fn,1104,107.873
act_fn,1120,109.707
act_fn,1136,111.169
act_fn,1152,112.875
act_fn,1168,119.297
act_fn,1184,120.705
act_fn,1200,123.051
act_fn,1216,123.489
act_fn,1232,126.369
act_fn,1248,127.713
act_fn,1264,129.398
act_fn,1280,130.902
act_fn,1296,131.948
act_fn,1312,133.963
act_fn,1328,135.969
act_fn,1344,136.641
act_fn,1360,138.54
act_fn,1376,139.99
act_fn,1392,141.932
act_fn,1408,143.98
act_fn,1424,143.884
