layer,sequences,time_us
lm_head,1,1084.67
lm_head,2,1074.4
lm_head,3,1075.61
lm_head,4,1078.3
lm_head,5,1080.04
lm_head,6,1082.12
lm_head,7,1082.3
lm_head,8,1083.52
lm_head,9,1086.45
lm_head,10,1086.43
lm_head,11,1087.7
lm_head,12,1088.99
lm_head,13,1091.07
lm_head,14,1092.52
lm_head,15,1092.27
lm_head,16,1093.01
lm_head,20,1162.02
lm_head,24,1167.32
lm_head,28,1175.2
lm_head,32,1177.61
lm_head,36,1183.74
lm_head,40,1187.57
lm_head,44,1188.9
lm_head,48,1189.98
lm_head,52,1191.67
lm_head,56,1188.81
lm_head,60,1192.7
lm_head,64,1195.43
sampler,1,39.0617
sampler,2,39.0833
sampler,3,39.3597
sampler,4,41.4827
sampler,5,42.2297
sampler,6,42.603
sampler,7,43.6273
sampler,8,45.9417
sampler,9,47.7977
sampler,10,51.9577
sampler,11,56.8223
sampler,12,60.534
sampler,13,63.1363
sampler,14,64.7147
sampler,15,67.125
sampler,16,69.6433
sampler,20,76.662
sampler,24,84.0117
sampler,28,91.6163
sampler,32,100.162
sampler,36,107.702
sampler,40,116.609
sampler,44,126.124
sampler,48,135.404
sampler,52,144.876
sampler,56,154.518
sampler,60,164.652
sampler,64,174.594
