regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,77.792,81.185,78.784,0.2924
pure,2,1,0.5,4.0,0,0,256,1024,640,83.265,92.353,83.648,0.0421
pure,2,1,0.5,4.0,0,0,512,2048,1280,114.625,132.386,119.775,0.29
pure,2,1,0.5,4.0,0,0,1024,4096,2560,163.52,191.073,153.092,-0.3785
pure,2,1,0.5,4.0,0,0,2048,8192,5120,216.675,289.058,215.649,-0.0142
mixed,2,1,0.5,4.0,16,0,128,512,320,99.711,119.199,116.863,0.8801
mixed,2,1,0.5,4.0,16,0,256,1024,640,120.002,155.266,154.368,0.9745
mixed,2,1,0.5,4.0,16,0,512,2048,1280,174.625,229.027,227.265,0.9676
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,265.889,375.778,377.089,1.0119
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,448.322,668.422,667.524,0.9959
mixed,2,1,0.5,4.0,16,512,128,512,320,152.897,184.8,119.424,-1.0492
mixed,2,1,0.5,4.0,16,512,256,1024,640,186.562,225.154,188.578,0.0522
mixed,2,1,0.5,4.0,16,512,512,2048,1280,244.609,300.034,296.259,0.9319
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,337.314,446.532,445.219,0.988
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,521.156,742.309,739.013,0.9851
mixed,2,1,0.5,4.0,16,1024,128,512,320,187.907,222.689,155.842,-0.9219
mixed,2,1,0.5,4.0,16,1024,256,1024,640,223.202,262.178,189.633,-0.8613
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,282.88,343.042,297.728,0.2468
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,380.13,490.692,484.099,0.9404
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,562.66,784.646,780.229,0.9801
mixed,2,1,0.5,4.0,16,2048,128,512,320,260.897,296.801,229.794,-0.8663
mixed,2,1,0.5,4.0,16,2048,256,1024,640,297.858,337.763,263.426,-0.8628
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,355.811,411.587,301.059,-0.9816
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,450.403,566.851,486.723,0.3119
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,640.772,865.224,853.574,0.9481
mixed,2,1,0.5,4.0,16,4096,128,512,320,407.523,443.396,375.653,-0.8884
mixed,2,1,0.5,4.0,16,4096,256,1024,640,443.81,484.322,410.916,-0.812
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,503.651,561.923,445.891,-0.9912
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,597.442,709.957,491.524,-0.9414
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,789.189,1011.75,859.526,0.316
mixed,2,1,0.5,4.0,32,0,128,512,320,101.889,120.161,117.6,0.8598
mixed,2,1,0.5,4.0,32,0,256,1024,640,121.535,157.537,155.843,0.9529
mixed,2,1,0.5,4.0,32,0,512,2048,1280,176.353,231.394,229.312,0.9622
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,267.329,376.995,376.802,0.9982
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,451.491,669.574,668.614,0.9956
mixed,2,1,0.5,4.0,32,512,128,512,320,152.865,185.25,119.778,-1.0217
mixed,2,1,0.5,4.0,32,512,256,1024,640,186.114,225.983,189.313,0.0802
mixed,2,1,0.5,4.0,32,512,512,2048,1280,245.729,301.346,297.154,0.9246
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,338.34,447.62,444.963,0.9757
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,521.891,742.15,739.75,0.9891
mixed,2,1,0.5,4.0,32,1024,128,512,320,188.673,223.682,156.801,-0.9104
mixed,2,1,0.5,4.0,32,1024,256,1024,640,225.247,262.401,189.794,-0.9542
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,284.065,341.603,299.971,0.2764
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,380.612,491.747,483.81,0.9286
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,566.02,787.652,780.391,0.9672
mixed,2,1,0.5,4.0,32,2048,128,512,320,261.762,297.376,229.41,-0.9084
mixed,2,1,0.5,4.0,32,2048,256,1024,640,298.755,338.211,262.306,-0.9238
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,356.739,410.627,300.77,-1.0386
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,451.204,566.371,488.132,0.3206
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,640.391,865.542,853.542,0.9467
mixed,2,1,0.5,4.0,32,4096,128,512,320,406.882,442.754,376.035,-0.8599
mixed,2,1,0.5,4.0,32,4096,256,1024,640,445.442,484.578,411.97,-0.8553
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,504.099,562.115,447.779,-0.9708
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,597.54,709.189,492.42,-0.9415
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,789.061,1013.288,858.66,0.3104
mixed,2,1,0.5,4.0,64,0,128,512,320,104.352,123.104,118.24,0.7406
mixed,2,1,0.5,4.0,64,0,256,1024,640,127.296,160.768,159.265,0.9551
mixed,2,1,0.5,4.0,64,0,512,2048,1280,180.48,234.402,232.896,0.9721
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,271.84,382.082,381.314,0.993
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,454.563,674.756,671.365,0.9846
mixed,2,1,0.5,4.0,64,512,128,512,320,154.722,189.089,123.873,-0.8976
mixed,2,1,0.5,4.0,64,512,256,1024,640,188.641,230.659,192.225,0.0853
mixed,2,1,0.5,4.0,64,512,512,2048,1280,248.865,305.536,299.332,0.8905
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,342.018,456.547,448.739,0.9318
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,525.093,746.695,742.855,0.9827
mixed,2,1,0.5,4.0,64,1024,128,512,320,192.034,227.073,161.25,-0.8786
mixed,2,1,0.5,4.0,64,1024,256,1024,640,226.915,265.795,192.992,-0.8725
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,287.491,345.507,303.907,0.283
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,382.976,493.25,486.18,0.9359
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,568.132,786.375,782.567,0.9826
mixed,2,1,0.5,4.0,64,2048,128,512,320,264.193,300.484,232.514,-0.8729
mixed,2,1,0.5,4.0,64,2048,256,1024,640,300.865,342.626,267.266,-0.8046
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,359.876,415.01,305.187,-0.9919
