pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.2838,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.3267,4
0,n<=16,sr<=15%,kvB<=8k,kp=0,0.3143,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.295,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.2342,4
0,n<=16,sr<=40%,kvB<=8k,kp=0,0.2437,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.1397,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0945,2
0,n<=16,sr<=70%,kvB<=8k,kp=0,0.1177,1
0,n<=16,sr>70%,kvB<=1k,kp=0,0.5899,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.7598,4
0,n<=16,sr>70%,kvB<=8k,kp=0,0.8369,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0728,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1823,2
0,n<=2,sr<=70%,kvB<=8k,kp=0,-0.0142,1
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1163,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1114,6
0,n<=32,sr<=15%,kvB<=8k,kp=0,0.0947,3
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1015,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0175,2
0,n<=32,sr<=40%,kvB<=8k,kp=0,0.0326,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.055,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0816,2
0,n<=32,sr<=5%,kvB<=8k,kp=0,0.0836,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0329,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.1635,2
0,n<=32,sr<=70%,kvB<=8k,kp=0,-0.1228,1
0,n<=32,sr>70%,kvB<=1k,kp=0,-0.0049,4
0,n<=32,sr>70%,kvB<=4k,kp=0,-0.3314,4
0,n<=32,sr>70%,kvB<=8k,kp=0,-0.3563,2
