layer,tokens,time_us
act_fn,4,0.5032
act_fn,8,0.5064
act_fn,12,0.5096
act_fn,16,0.5128
act_fn,32,0.5256
act_fn,48,0.5384
act_fn,64,0.5512
act_fn,128,0.6024
act_fn,192,0.6536
act_fn,256,0.7048
act_fn,320,0.756
act_fn,384,0.8072
act_fn,448,0.8584
act_fn,512,0.9096
act_fn,576,0.9608
act_fn,640,1.012
act_fn,704,1.0632
act_fn,768,1.1144
act_fn,832,1.1656
act_fn,896,1.2168
act_fn,960,1.268
act_fn,1024,1.3192
act_fn,1088,1.3704
act_fn,1152,1.4216
act_fn,1216,1.4728
act_fn,1280,1.524
act_fn,1344,1.5752
act_fn,1408,1.6264
act_fn,1472,1.6776
act_fn,1536,1.7288
act_fn,1600,1.78
act_fn,1664,1.8312
act_fn,1728,1.8824
act_fn,1792,1.9336
act_fn,1856,1.9848
act_fn,1920,2.036
act_fn,1984,2.0872
act_fn,2048,2.1384
act_fn,2560,2.548
act_fn,3072,2.9576
act_fn,4096,3.7768
act_fn,6144,5.4152
act_fn,8192,7.0536
down_proj,4,246.389
down_proj,8,225.358
down_proj,12,233.757
down_proj,16,218.973
down_proj,32,235.396
down_proj,48,239.707
down_proj,64,239.42
down_proj,128,252.989
down_proj,192,287.13
down_proj,256,337.72
down_proj,320,364.742
down_proj,384,417.087
down_proj,448,455.285
down_proj,512,511.924
down_proj,576,641.951
down_proj,640,617.819
down_proj,704,682.444
down_proj,768,711.489
down_proj,832,758.054
down_proj,896,839.465
down_proj,960,843.039
down_proj,1024,909.421
down_proj,1088,1004.91
down_proj,1152,1026.5
down_proj,1216,1047.12
down_proj,1280,1105.92
down_proj,1344,1143.04
down_proj,1408,1223.87
down_proj,1472,1239.93
down_proj,1536,1290.19
down_proj,1600,1380.31
down_proj,1664,1390.22
down_proj,1728,1428.89
down_proj,1792,1478.9
down_proj,1856,1496.64
down_proj,1920,1508.01
down_proj,1984,1588.42
down_proj,2048,1620.96
down_proj,2560,1966.43
down_proj,3072,2337.6
down_proj,4096,3059.4
down_proj,6144,4525.24
down_proj,8192,5985.07
embedding,4,193.118
embedding,8,207.534
embedding,12,219.951
embedding,16,192.08
embedding,32,231.322
embedding,48,199.009
embedding,64,210.086
embedding,128,213.954
embedding,192,203.195
embedding,256,218.131
embedding,320,220.059
embedding,384,222.306
embedding,448,223.807
embedding,512,207.43
embedding,576,203.732
embedding,640,199.155
embedding,704,203.975
embedding,768,205.388
embedding,832,210.286
embedding,896,223.159
embedding,960,213.081
embedding,1024,223.415
embedding,1088,206.424
embedding,1152,225.456
embedding,1216,225.323
embedding,1280,221.711
embedding,1344,221.621
embedding,1408,212.717
embedding,1472,221.204
embedding,1536,218.861
embedding,1600,223.569
embedding,1664,208.126
embedding,1728,221.948
embedding,1792,212.805
embedding,1856,222.69
embedding,1920,206.668
embedding,1984,222.332
embedding,2048,206.313
embedding,2560,219.283
embedding,3072,219.158
embedding,4096,255.24
embedding,6144,282.673
embedding,8192,343.551
final_layernorm,4,275.46
final_layernorm,8,286.84
final_layernorm,12,299.146
final_layernorm,16,307.722
final_layernorm,32,306.674
final_layernorm,48,302.185
final_layernorm,64,274.989
final_layernorm,128,312.81
final_layernorm,192,316.007
final_layernorm,256,314.632
final_layernorm,320,322.032
final_layernorm,384,321.813
final_layernorm,448,293.828
final_layernorm,512,325.13
final_layernorm,576,307.527
final_layernorm,640,319.831
final_layernorm,704,318.684
final_layernorm,768,325.424
final_layernorm,832,337.155
final_layernorm,896,306.419
final_layernorm,960,329.032
final_layernorm,1024,294.999
final_layernorm,1088,309.484
final_layernorm,1152,339.306
final_layernorm,1216,307.63
final_layernorm,1280,307.951
final_layernorm,1344,298.068
final_layernorm,1408,311.527
final_layernorm,1472,299.737
final_layernorm,1536,314.952
final_layernorm,1600,318.768
final_layernorm,1664,328.179
final_layernorm,1728,311.403
final_layernorm,1792,303.779
final_layernorm,1856,312.405
final_layernorm,1920,317.879
final_layernorm,1984,354.748
final_layernorm,2048,356.116
final_layernorm,2560,499.335
final_layernorm,3072,665.333
final_layernorm,4096,842.63
final_layernorm,6144,1426.95
final_layernorm,8192,1796.7
gate_up_proj,4,382.472
gate_up_proj,8,375.181
gate_up_proj,12,375.347
gate_up_proj,16,371.753
gate_up_proj,32,374.739
gate_up_proj,48,382.821
gate_up_proj,64,374.104
gate_up_proj,128,406.532
gate_up_proj,192,451.568
gate_up_proj,256,539.773
gate_up_proj,320,612.877
gate_up_proj,384,688.684
gate_up_proj,448,767.037
gate_up_proj,512,837.337
gate_up_proj,576,1122.68
gate_up_proj,640,939.737
gate_up_proj,704,1134.13
gate_up_proj,768,1113.61
gate_up_proj,832,1217.78
gate_up_proj,896,1257.69
gate_up_proj,960,1441.43
gate_up_proj,1024,1446.15
gate_up_proj,1088,1611.82
gate_up_proj,1152,1604.54
gate_up_proj,1216,1772.69
gate_up_proj,1280,1744.59
gate_up_proj,1344,1893.28
gate_up_proj,1408,1887.81
gate_up_proj,1472,2095.81
gate_up_proj,1536,2048.24
gate_up_proj,1600,2189.99
gate_up_proj,1664,2189.9
gate_up_proj,1728,2341.45
gate_up_proj,1792,2339.86
gate_up_proj,1856,2557.61
gate_up_proj,1920,2461.45
gate_up_proj,1984,2677.74
gate_up_proj,2048,2614.43
gate_up_proj,2560,3301.16
gate_up_proj,3072,3850.15
gate_up_proj,4096,5235.13
gate_up_proj,6144,7683.54
gate_up_proj,8192,10303.9
layernorm,4,420.462
layernorm,8,424.734
layernorm,12,439.048
layernorm,16,406.704
layernorm,32,421.813
layernorm,48,434.616
layernorm,64,417.707
layernorm,128,424.85
layernorm,192,441.319
layernorm,256,439.692
layernorm,320,454.433
layernorm,384,433.753
layernorm,448,441.922
layernorm,512,409.476
layernorm,576,417.524
layernorm,640,432.673
layernorm,704,432.497
layernorm,768,448.191
layernorm,832,442.141
layernorm,896,441.768
layernorm,960,450.653
layernorm,1024,457.721
layernorm,1088,412.252
layernorm,1152,434.714
layernorm,1216,454.119
layernorm,1280,438.378
layernorm,1344,444.705
layernorm,1408,427.254
layernorm,1472,441.546
layernorm,1536,438.115
layernorm,1600,448.915
layernorm,1664,446.169
layernorm,1728,432.524
layernorm,1792,429.698
layernorm,1856,412.444
layernorm,1920,444.075
layernorm,1984,565.316
layernorm,2048,563.434
layernorm,2560,750.771
layernorm,3072,977.705
layernorm,4096,1276.95
layernorm,6144,2063.57
layernorm,8192,2626.9
o_proj,4,201.013
o_proj,8,217.257
o_proj,12,204.345
o_proj,16,214.811
o_proj,32,224.352
o_proj,48,221.615
o_proj,64,218.006
o_proj,128,226.596
o_proj,192,208.591
o_proj,256,223.348
o_proj,320,207.698
o_proj,384,215.029
o_proj,448,225.25
o_proj,512,233.107
o_proj,576,239.904
o_proj,640,229.018
o_proj,704,226.438
o_proj,768,233.334
o_proj,832,232.768
o_proj,896,240.879
o_proj,960,280.033
o_proj,1024,260.959
o_proj,1088,285.462
o_proj,1152,287.121
o_proj,1216,300.567
o_proj,1280,296.548
o_proj,1344,325.503
o_proj,1408,324.387
o_proj,1472,336.312
o_proj,1536,342.661
o_proj,1600,369.756
o_proj,1664,371.831
o_proj,1728,385.758
o_proj,1792,384.895
o_proj,1856,437.413
o_proj,1920,396.553
o_proj,1984,432.773
o_proj,2048,417.69
o_proj,2560,513.673
o_proj,3072,601.245
o_proj,4096,823.097
o_proj,6144,1211.46
o_proj,8192,1579.61
qkv_proj,4,331.364
qkv_proj,8,322.869
qkv_proj,12,326.488
qkv_proj,16,301.061
qkv_proj,32,330.718
qkv_proj,48,334.8
qkv_proj,64,316.582
qkv_proj,128,282.174
qkv_proj,192,331.002
qkv_proj,256,326.134
qkv_proj,320,322.882
qkv_proj,384,342.377
qkv_proj,448,340.24
qkv_proj,512,317.853
qkv_proj,576,323.726
qkv_proj,640,348.727
qkv_proj,704,362.113
qkv_proj,768,371.431
qkv_proj,832,342.936
qkv_proj,896,371.932
qkv_proj,960,356.827
qkv_proj,1024,354.933
qkv_proj,1088,428.836
qkv_proj,1152,379.145
qkv_proj,1216,523.862
qkv_proj,1280,435.858
qkv_proj,1344,461.613
qkv_proj,1408,469.471
qkv_proj,1472,529.999
qkv_proj,1536,480.093
qkv_proj,1600,494.323
qkv_proj,1664,502.862
qkv_proj,1728,531.24
qkv_proj,1792,513.089
qkv_proj,1856,718.429
qkv_proj,1920,574.256
qkv_proj,1984,748.654
qkv_proj,2048,583.077
qkv_proj,2560,747.913
qkv_proj,3072,849.966
qkv_proj,4096,1149.66
qkv_proj,6144,1879.37
qkv_proj,8192,2533.03
rotary_emb,4,1.004
rotary_emb,8,1.008
rotary_emb,12,1.012
rotary_emb,16,1.016
rotary_emb,32,1.032
rotary_emb,48,1.048
rotary_emb,64,1.064
rotary_emb,128,1.128
rotary_emb,192,1.192
rotary_emb,256,1.256
rotary_emb,320,1.32
rotary_emb,384,1.384
rotary_emb,448,1.448
rotary_emb,512,1.512
rotary_emb,576,1.576
rotary_emb,640,1.64
rotary_emb,704,1.704
rotary_emb,768,1.768
rotary_emb,832,1.832
rotary_emb,896,1.896
rotary_emb,960,1.96
rotary_emb,1024,2.024
rotary_emb,1088,2.088
rotary_emb,1152,2.152
rotary_emb,1216,2.216
rotary_emb,1280,2.28
rotary_emb,1344,2.344
rotary_emb,1408,2.408
rotary_emb,1472,2.472
rotary_emb,1536,2.536
rotary_emb,1600,2.6
rotary_emb,1664,2.664
rotary_emb,1728,2.728
rotary_emb,1792,2.792
rotary_emb,1856,2.856
rotary_emb,1920,2.92
rotary_emb,1984,2.984
rotary_emb,2048,3.048
rotary_emb,2560,3.56
rotary_emb,3072,4.072
rotary_emb,4096,5.096
rotary_emb,6144,7.144
rotary_emb,8192,9.192
