layer,tokens,time_us
layernorm,1,304.727
qkv_proj,1,778.668
rotary_emb,1,443.83
o_proj,1,226.135
gate_up_proj,1,971.732
act_fn,1,675.966
down_proj,1,246.466
layernorm,64,362.00350000000003
qkv_proj,64,753.818
rotary_emb,64,506.292
o_proj,64,210.684
gate_up_proj,64,977.673
act_fn,64,686.486
down_proj,64,224.906
layernorm,128,391.5085
qkv_proj,128,739.256
rotary_emb,128,444.42
o_proj,128,218.315
gate_up_proj,128,954.933
act_fn,128,654.835
down_proj,128,240.916
layernorm,192,441.9205
qkv_proj,192,766.9670000000001
rotary_emb,192,411.73
o_proj,192,231.375
gate_up_proj,192,971.973
act_fn,192,668.705
down_proj,192,246.005
layernorm,256,409.7145
qkv_proj,256,760.068
rotary_emb,256,444.71
o_proj,256,252.546
gate_up_proj,256,1086.855
act_fn,256,784.578
down_proj,256,255.706
layernorm,320,424.21000000000004
qkv_proj,320,807.899
rotary_emb,320,414.5
o_proj,320,231.015
gate_up_proj,320,1061.964
act_fn,320,739.267
down_proj,320,238.645
layernorm,384,447.065
qkv_proj,384,804.999
rotary_emb,384,456.591
o_proj,384,244.355
gate_up_proj,384,1039.335
act_fn,384,733.867
down_proj,384,251.166
layernorm,448,451.8855
qkv_proj,448,833.0889999999999
rotary_emb,448,448.98
o_proj,448,250.806
gate_up_proj,448,1076.705
act_fn,448,770.588
down_proj,448,256.486
layernorm,512,462.096
qkv_proj,512,819.8700000000001
rotary_emb,512,472.9
o_proj,512,253.116
gate_up_proj,512,1071.2150000000001
act_fn,512,770.478
down_proj,512,255.466
layernorm,576,420.33500000000004
qkv_proj,576,784.29
rotary_emb,576,432.44
o_proj,576,259.626
gate_up_proj,576,1190.158
act_fn,576,863.29
down_proj,576,259.247
layernorm,640,491.1015
qkv_proj,640,821.239
rotary_emb,640,455.741
o_proj,640,260.177
gate_up_proj,640,1204.259
act_fn,640,902.801
down_proj,640,258.476
layernorm,704,497.8615
qkv_proj,704,853.269
rotary_emb,704,458.84
o_proj,704,279.527
gate_up_proj,704,1243.679
act_fn,704,905.661
down_proj,704,280.917
layernorm,768,506.667
qkv_proj,768,846.199
rotary_emb,768,457.391
o_proj,768,281.117
gate_up_proj,768,1243.559
act_fn,768,916.451
down_proj,768,291.787
layernorm,832,510.0965
qkv_proj,832,837.6800000000001
rotary_emb,832,465.921
o_proj,832,275.096
gate_up_proj,832,1320.331
act_fn,832,977.603
down_proj,832,296.537
layernorm,896,539.6569999999999
qkv_proj,896,858.0409999999999
rotary_emb,896,464.331
o_proj,896,283.566
gate_up_proj,896,1352.521
act_fn,896,1025.604
down_proj,896,315.847
layernorm,960,547.7675
qkv_proj,960,897.05
rotary_emb,960,494.962
o_proj,960,291.276
gate_up_proj,960,1423.423
act_fn,960,1074.385
down_proj,960,334.568
layernorm,1024,561.928
qkv_proj,1024,898.07
rotary_emb,1024,460.401
o_proj,1024,286.506
gate_up_proj,1024,1404.7240000000002
act_fn,1024,1045.794
down_proj,1024,345.308
layernorm,1088,467.416
qkv_proj,1088,945.692
rotary_emb,1088,506.122
o_proj,1088,359.569
gate_up_proj,1088,1495.165
act_fn,1088,1173.607
down_proj,1088,348.149
layernorm,1152,557.3175
qkv_proj,1152,933.242
rotary_emb,1152,489.421
o_proj,1152,264.486
gate_up_proj,1152,1484.5749999999998
act_fn,1152,1151.547
down_proj,1152,365.918
layernorm,1216,606.06
qkv_proj,1216,968.433
rotary_emb,1216,499.523
o_proj,1216,435.911
gate_up_proj,1216,1581.318
act_fn,1216,1260.151
down_proj,1216,374.279
layernorm,1280,528.6724999999999
qkv_proj,1280,954.713
rotary_emb,1280,446.57
o_proj,1280,260.266
gate_up_proj,1280,1529.2949999999998
act_fn,1280,1194.908
down_proj,1280,395.119
layernorm,1344,607.0840000000001
qkv_proj,1344,958.833
rotary_emb,1344,512.563
o_proj,1344,308.917
gate_up_proj,1344,1572.897
act_fn,1344,1206.778
down_proj,1344,414.159
layernorm,1408,615.2545
qkv_proj,1408,978.253
rotary_emb,1408,480.741
