prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,407.807
0,0,1,32,337.763
0,0,1,64,345.732
0,0,1,128,324.126
0,0,1,256,324.342
0,0,1,512,350.156
0,0,1,768,354.971
0,0,1,1024,445.501
0,0,1,1152,489.419
0,0,1,1728,690.263
0,0,1,2048,795.666
0,0,1,2592,979.325
0,0,1,3888,1431.02
0,0,1,4096,1462.5
0,0,1,5832,2096.57
0,0,2,16,345.403
0,0,2,32,321.1
0,0,2,64,353.418
0,0,2,128,347.481
0,0,2,256,340.53
0,0,2,512,450.057
0,0,2,768,625.814
0,0,2,1024,801.774
0,0,2,1152,888.46
0,0,2,1728,1259.34
0,0,2,2048,1451.48
0,0,2,2592,1601.04
0,0,2,3888,2014.24
0,0,2,4096,1821.69
0,0,2,5832,2159.66
0,0,4,16,334.251
0,0,4,32,348.334
0,0,4,64,313.117
0,0,4,128,346.245
0,0,4,256,356.99
0,0,4,512,448.225
0,0,4,768,576.391
0,0,4,1024,742.549
0,0,4,1152,795.691
0,0,4,1728,1079.07
0,0,4,2048,1301.75
0,0,4,2592,1477
0,0,4,3888,1941.44
0,0,4,4096,2192.14
0,0,4,5832,2735.45
0,0,8,16,329.487
0,0,8,32,349.829
0,0,8,64,331.713
0,0,8,128,394.675
0,0,8,256,440.471
0,0,8,512,687.886
0,0,8,768,722.956
0,0,8,1024,1017.06
0,0,8,1152,1063.04
0,0,8,1728,1508.48
0,0,8,2048,1979.2
0,0,8,2592,2305.08
0,0,8,3888,3159.96
0,0,8,4096,4194.86
0,0,8,5832,4796.4
0,0,16,16,364.263
0,0,16,32,361.261
0,0,16,64,347.652
0,0,16,128,705.869
0,0,16,256,821.722
0,0,16,512,1276.6
0,0,16,768,1388.15
0,0,16,1024,1952.78
0,0,16,1152,2050.83
0,0,16,1728,2899.88
0,0,16,2048,3862.58
0,0,16,2592,4539.69
0,0,16,3888,6183.3
0,0,16,4096,8263.94
0,0,16,5832,9778.82
0,0,32,16,352.109
0,0,32,32,367.806
0,0,32,64,341.026
0,0,32,128,1332.02
0,0,32,256,1761.24
0,0,32,512,2482.89
0,0,32,768,2633.93
0,0,32,1024,3744.09
0,0,32,1152,3927.31
0,0,32,1728,5695.96
0,0,32,2048,7595.76
0,0,32,2592,9031.44
0,0,32,3888,12280.6
0,0,32,4096,16307.6
0,0,32,5832,19499.8
16,0,0,0,373.717
24,0,0,0,376.925
32,0,0,0,363.805
36,0,0,0,359.214
54,0,0,0,368.681
64,0,0,0,412.839
81,0,0,0,412.132
122,0,0,0,422.078
128,0,0,0,419.208
182,0,0,0,403.338
256,0,0,0,436.907
273,0,0,0,459.274
410,0,0,0,604.98
512,0,0,0,684.591
615,0,0,0,3219.88
923,0,0,0,6657.78
1024,0,0,0,7290.11
1384,0,0,0,12840.9
2048,0,0,0,18715.5
2560,0,0,0,17112.2
3072,0,0,0,20905.3
4096,0,0,0,42595.7
6144,0,0,0,83712.9
