layer,sequences,time_us
lm_head,1,241.235
sampler,1,2449.895
lm_head,3,1220.103
sampler,3,2538.427
lm_head,5,1258.243
sampler,5,2549.917
lm_head,7,1263.363
sampler,7,2547.677
lm_head,9,1206.112
sampler,9,2507.586
lm_head,11,1203.282
sampler,11,2520.226
lm_head,13,1206.813
sampler,13,2531.527
lm_head,15,1206.093
sampler,15,2523.236
lm_head,17,1498.868
sampler,17,2597.378
lm_head,19,1514.108
sampler,19,2630.439
lm_head,21,1540.658
sampler,21,2631.409
lm_head,23,1552.568
sampler,23,2650.039
lm_head,25,1567.009
sampler,25,2612.299
lm_head,27,1231.143
sampler,27,2623.829
lm_head,29,1645.491
sampler,29,2659.829
lm_head,31,1675.601
sampler,31,2668.329
