prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
1,0,0,0,473.688
64,0,0,0,523.818
128,0,0,0,500.877
192,0,0,0,503.048
256,0,0,0,551.749
320,0,0,0,562.789
384,0,0,0,524.109
448,0,0,0,539.609
512,0,0,0,528.069
576,0,0,0,537.478
640,0,0,0,529.408
704,0,0,0,526.339
768,0,0,0,532.448
832,0,0,0,539.998
896,0,0,0,540.728
960,0,0,0,580.589
1024,0,0,0,573.789
1088,0,0,0,553.308
1152,0,0,0,643.621
1216,0,0,0,551.858
1280,0,0,0,664.081
1344,0,0,0,568.599
1408,0,0,0,715.591
1472,0,0,0,600.12
1536,0,0,0,771.082
1600,0,0,0,603.65
1664,0,0,0,809.202
1728,0,0,0,588.499
1792,0,0,0,852.693
1856,0,0,0,682.667
1920,0,0,0,903.125
1984,0,0,0,668.24
2048,0,0,0,958.255
2112,0,0,0,618.02
2176,0,0,0,1086.017
2240,0,0,0,712.532
2304,0,0,0,1073.157
2368,0,0,0,668.201
2432,0,0,0,1210.968
2496,0,0,0,770.342
2560,0,0,0,1180.909
2624,0,0,0,756.622
2688,0,0,0,1224.019
2752,0,0,0,766.102
2816,0,0,0,1281.86
2880,0,0,0,804.703
2944,0,0,0,1408.342
3008,0,0,0,849.593
3072,0,0,0,1376.821
3136,0,0,0,711.091
3200,0,0,0,1446.593
3264,0,0,0,754.772
3328,0,0,0,1488.073
3392,0,0,0,842.234
3456,0,0,0,1567.995
3520,0,0,0,900.044
3584,0,0,0,1605.435
3648,0,0,0,901.764
3712,0,0,0,1774.358
3776,0,0,0,964.005
3840,0,0,0,1695.746
3904,0,0,0,906.474
3968,0,0,0,1903.83
4032,0,0,0,831.893
4096,0,0,0,1801.068
4160,0,0,0,1010.666
4224,0,0,0,1860.309
4288,0,0,0,1076.726
4352,0,0,0,1970.401
4416,0,0,0,1058.667
4480,0,0,0,1957.17
4544,0,0,0,1111.797
4608,0,0,0,2012.932
4672,0,0,0,2031.911
4736,0,0,0,1156.018
0,0,1,32,296.324
0,0,1,64,298.345
0,0,1,128,333.605
0,0,1,256,296.775
0,0,1,512,293.255
0,0,1,1024,333.065
0,0,1,2048,305.655
0,0,1,4096,334.345
0,0,2,32,283.434
0,0,2,64,291.384
0,0,2,128,288.305
0,0,2,256,289.345
0,0,2,512,289.984
0,0,2,1024,293.285
0,0,2,2048,330.795
0,0,2,4096,547.198
0,0,4,32,286.994
0,0,4,64,327.645
0,0,4,128,295.105
0,0,4,256,302.105
0,0,4,512,293.395
0,0,4,1024,304.735
0,0,4,2048,527.878
0,0,4,4096,1077.686
0,0,8,32,288.794
0,0,8,64,289.945
0,0,8,128,288.304
0,0,8,256,294.275
0,0,8,512,419.956
0,0,8,1024,524.298
0,0,8,2048,1017.796
0,0,8,4096,2120.293
0,0,16,32,295.145
0,0,16,64,297.334
0,0,16,128,555.828
0,0,16,256,529.899
0,0,16,512,768.392
0,0,16,1024,1014.545
0,0,16,2048,1983.31
0,0,16,4096,4180.055
0,0,32,32,298.055
0,0,32,64,292.935
0,0,32,128,1006.234
0,0,32,256,990.374
0,0,32,512,1404.142
0,0,32,1024,1884.396
0,0,32,2048,3877.37
0,0,32,4096,8257.376
4800,0,0,0,1116.626
4864,0,0,0,1204.248
4928,0,0,0,1208.419
4992,0,0,0,1190.598
5056,0,0,0,1203.398
5120,0,0,0,1235.159
5184,0,0,0,2279.944
5248,0,0,0,1227.029
5312,0,0,0,1247.749
5376,0,0,0,1289.369
5440,0,0,0,2375.745
5504,0,0,0,1297.119
5568,0,0,0,1294.859
5632,0,0,0,1292.839
5696,0,0,0,1371.421
5760,0,0,0,1368.92
5824,0,0,0,1185.528
5888,0,0,0,1406.682
5952,0,0,0,2671.101
6016,0,0,0,1337.77
6080,0,0,0,1952.859
6144,0,0,0,1358.43
6208,0,0,0,1468.252
6272,0,0,0,1506.113
6336,0,0,0,1432.221
6400,0,0,0,1790.696
6464,0,0,0,1437.3
6528,0,0,0,1609.854
6592,0,0,0,1609.594
6656,0,0,0,1582.694
6720,0,0,0,2900.904
6784,0,0,0,1638.115
6848,0,0,0,1641.385
6912,0,0,0,1637.544
6976,0,0,0,1711.426
7040,0,0,0,1641.925
7104,0,0,0,1766.378
7168,0,0,0,1706.226
7232,0,0,0,1726.386
7296,0,0,0,1743.087
7360,0,0,0,1774.207
7424,0,0,0,1749.927
7488,0,0,0,3346.061
7552,0,0,0,1820.368
