layer,sequences,time_us
lm_head,1,678.01
sampler,1,1229.809
lm_head,2,617.94
sampler,2,1236.679
lm_head,4,627.98
sampler,4,1228.25
lm_head,6,654.04
sampler,6,1227.979
lm_head,8,570.139
sampler,8,1204.319
lm_head,10,579.389
sampler,10,1194.999
lm_head,12,582.699
sampler,12,1188.388
lm_head,14,589.149
sampler,14,1196.909
lm_head,16,587.1
sampler,16,1203.259
lm_head,18,594.62
sampler,18,1188.879
lm_head,20,586.269
sampler,20,1189.709
lm_head,22,587.09
sampler,22,1196.669
lm_head,24,591.629
sampler,24,1218.719
lm_head,26,591.859
sampler,26,1209.529
lm_head,28,587.939
sampler,28,1210.299
lm_head,30,582.969
sampler,30,1235.719
lm_head,32,611.32
sampler,32,1304.28
