layer,tokens,time_us
layernorm,1,299.5045
qkv_proj,1,710.8710000000001
rotary_emb,1,420.227
o_proj,1,218.703
gate_up_proj,1,654.79
act_fn,1,367.886
down_proj,1,218.333
layernorm,64,384.90549999999996
qkv_proj,64,697.761
rotary_emb,64,461.427
o_proj,64,252.624
gate_up_proj,64,662.431
act_fn,64,360.406
down_proj,64,241.444
layernorm,128,403.486
qkv_proj,128,689.1020000000001
rotary_emb,128,423.536
o_proj,128,213.974
gate_up_proj,128,679.52
act_fn,128,373.916
down_proj,128,229.254
layernorm,192,415.8115
qkv_proj,192,663.1500000000001
rotary_emb,192,420.447
o_proj,192,220.183
gate_up_proj,192,689.07
act_fn,192,372.036
down_proj,192,222.043
layernorm,256,480.903
qkv_proj,256,742.3610000000001
rotary_emb,256,479.647
o_proj,256,242.134
gate_up_proj,256,741.712
act_fn,256,393.726
down_proj,256,258.894
layernorm,320,440.79200000000003
qkv_proj,320,736.122
rotary_emb,320,483.047
o_proj,320,255.994
gate_up_proj,320,734.492
act_fn,320,409.466
down_proj,320,251.954
layernorm,384,448.1075
qkv_proj,384,736.742
rotary_emb,384,449.467
o_proj,384,220.784
gate_up_proj,384,714.49
act_fn,384,393.606
down_proj,384,252.955
layernorm,448,407.3815
qkv_proj,448,713.991
rotary_emb,448,435.996
o_proj,448,235.904
gate_up_proj,448,754.022
act_fn,448,453.457
down_proj,448,253.154
layernorm,512,449.73249999999996
qkv_proj,512,706.193
rotary_emb,512,464.807
o_proj,512,222.243
gate_up_proj,512,707.931
act_fn,512,406.286
down_proj,512,250.974
layernorm,576,399.246
qkv_proj,576,708.11
rotary_emb,576,457.157
o_proj,576,234.764
gate_up_proj,576,753.431
act_fn,576,465.237
down_proj,576,235.584
layernorm,640,470.1625
qkv_proj,640,709.481
rotary_emb,640,423.577
o_proj,640,245.364
gate_up_proj,640,752.501
act_fn,640,442.027
down_proj,640,250.834
layernorm,704,446.302
qkv_proj,704,690.24
rotary_emb,704,403.307
o_proj,704,224.313
gate_up_proj,704,800.0620000000001
act_fn,704,476.947
down_proj,704,221.903
layernorm,768,455.187
qkv_proj,768,691.86
rotary_emb,768,433.977
o_proj,768,230.094
gate_up_proj,768,771.3530000000001
act_fn,768,478.897
down_proj,768,225.603
layernorm,832,477.7075
qkv_proj,832,742.2810000000001
rotary_emb,832,421.916
o_proj,832,252.243
gate_up_proj,832,849.143
act_fn,832,532.888
down_proj,832,260.434
layernorm,896,515.448
qkv_proj,896,735.162
rotary_emb,896,443.807
o_proj,896,260.734
gate_up_proj,896,808.613
act_fn,896,499.528
down_proj,896,258.394
layernorm,960,484.23749999999995
qkv_proj,960,792.7839999999999
rotary_emb,960,456.107
o_proj,960,262.424
gate_up_proj,960,879.173
act_fn,960,528.658
down_proj,960,261.314
