prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,10.4323
0,0,1,32,10.453
0,0,1,64,10.485
0,0,1,128,10.474
0,0,1,256,14.901
0,0,1,512,15.2747
0,0,1,1024,15.7653
0,0,1,2048,21.8663
0,0,1,4096,28.8537
0,0,1,8192,37.013
0,0,2,16,15.6363
0,0,2,32,15.766
0,0,2,64,15.958
0,0,2,128,16.3517
0,0,2,256,20.992
0,0,2,512,25.1837
0,0,2,1024,33.8037
0,0,2,2048,51.968
0,0,2,4096,84.843
0,0,2,8192,155.274
0,0,4,16,15.839
0,0,4,32,15.9677
0,0,4,64,16.5113
0,0,4,128,18.2077
0,0,4,256,26.464
0,0,4,512,34.5497
0,0,4,1024,51.1473
0,0,4,2048,82.4527
0,0,4,4096,152.298
0,0,4,8192,291.455
0,0,8,16,21.0663
0,0,8,32,21.5033
0,0,8,64,22.656
0,0,8,128,24.544
0,0,8,256,36.1603
0,0,8,512,50.805
0,0,8,1024,83.349
0,0,8,2048,159.307
0,0,8,4096,315.081
0,0,8,8192,600.67
0,0,16,16,26.3887
0,0,16,32,27.1253
0,0,16,64,29.1733
0,0,16,128,33.4827
0,0,16,256,52.9177
0,0,16,512,87.8827
0,0,16,1024,172.863
0,0,16,2048,340.916
0,0,16,4096,618.333
0,0,16,8192,1182.63
0,0,32,16,37.589
0,0,32,32,38.7733
0,0,32,64,42.3363
0,0,32,128,52.9813
0,0,32,256,94.6023
0,0,32,512,192.981
0,0,32,1024,381.663
0,0,32,2048,668.595
0,0,32,4096,1237.14
0,0,32,8192,2372.61
0,0,64,16,60.0963
0,0,64,32,63.3283
0,0,64,64,69.5573
0,0,64,128,112.788
0,0,64,256,212.619
0,0,64,512,402.708
0,0,64,1024,695.06
0,0,64,2048,1272.11
0,0,64,4096,2421.3
0,0,64,8192,4709.57
16,0,0,0,11.3707
16,0,1,16,16.725
16,0,1,32,16.651
16,0,1,64,16.64
16,0,1,128,16.9603
16,0,1,256,21.9193
16,0,1,512,26.816
16,0,1,1024,35.2427
16,0,1,2048,49.312
16,0,1,4096,77.887
16,0,1,8192,134.176
16,0,2,16,17.2477
16,0,2,32,17.152
16,0,2,64,17.301
16,0,2,128,17.323
16,0,2,256,28.768
16,0,2,512,43.8713
16,0,2,1024,59.616
16,0,2,2048,88.4377
16,0,2,4096,149.429
16,0,2,8192,276.532
16,0,4,16,22.8047
16,0,4,32,22.9013
16,0,4,64,23.1357
16,0,4,128,23.68
16,0,4,256,40.6077
16,0,4,512,59.669
16,0,4,1024,83.3387
16,0,4,2048,129.556
16,0,4,4096,232.234
16,0,4,8192,431.018
16,0,8,16,34.4747
16,0,8,32,34.485
16,0,8,64,35.37
16,0,8,128,36.3837
16,0,8,256,64.0533
16,0,8,512,90.464
16,0,8,1024,129.599
16,0,8,2048,224.17
16,0,8,4096,400.521
16,0,8,8192,775.218
16,0,16,16,62.3147
16,0,16,32,62.6237
16,0,16,64,63.3067
16,0,16,128,65.3437
16,0,16,256,113.866
16,0,16,512,157.088
16,0,16,1024,244.48
16,0,16,2048,414.527
16,0,16,4096,735.476
16,0,16,8192,2077.25
16,0,32,16,111.808
16,0,32,32,112.639
16,0,32,64,113.888
16,0,32,128,118.72
16,0,32,256,220.245
16,0,32,512,341.578
16,0,32,1024,559.476
16,0,32,2048,976.456
16,0,32,4096,1915.08
16,0,32,8192,6192.03
16,16,0,0,11.6477
16,16,1,16,17.0023
16,16,1,32,17.152
16,16,1,64,17.0237
16,16,1,128,17.408
16,16,1,256,22.0477
16,16,1,512,26.6667
16,16,1,1024,35.093
16,16,1,2048,49.7497
16,16,1,4096,78.112
16,16,1,8192,134.378
16,16,2,16,17.291
16,16,2,32,17.3223
16,16,2,64,17.6
16,16,2,128,17.9947
16,16,2,256,28.693
16,16,2,512,43.5407
16,16,2,1024,59.168
16,16,2,2048,88.9703
16,16,2,4096,149.429
16,16,2,8192,276.149
16,16,4,16,23.093
16,16,4,32,23.1677
16,16,4,64,23.584
16,16,4,128,24.4163
16,16,4,256,40.4693
16,16,4,512,59.9673
16,16,4,1024,83.188
16,16,4,2048,128.981
16,16,4,4096,231.253
16,16,4,8192,428.489
16,16,8,16,34.7197
16,16,8,32,34.9117
16,16,8,64,35.5953
16,16,8,128,37.429
16,16,8,256,64.0423
16,16,8,512,91.082
16,16,8,1024,130.165
16,16,8,2048,224.181
16,16,8,4096,401.875
16,16,8,8192,771.358
16,16,16,16,62.496
16,16,16,32,62.6243
16,16,16,64,63.872
16,16,16,128,66.5493
16,16,16,256,114.175
16,16,16,512,156.523
16,16,16,1024,244.149
16,16,16,2048,414.858
16,16,16,4096,733.811
16,16,16,8192,2085.59
16,16,32,16,111.627
16,16,32,32,112.566
16,16,32,64,114.133
16,16,32,128,119.69
16,16,32,256,220.117
16,16,32,512,340.916
16,16,32,1024,562.654
16,16,32,2048,976.125
16,16,32,4096,1933.47
16,16,32,8192,6037.87
16,32,0,0,11.605
16,32,1,16,17.0667
16,32,1,32,17.0343
16,32,1,64,17.2053
16,32,1,128,17.4397
16,32,1,256,22.1333
16,32,1,512,26.7307
16,32,1,1024,35.0933
16,32,1,2048,49.6
16,32,1,4096,78.1013
16,32,1,8192,134.069
16,32,2,16,17.3867
16,32,2,32,17.4613
16,32,2,64,17.6107
16,32,2,128,18.24
16,32,2,256,28.608
16,32,2,512,43.093
