layer,tokens,time_us
act_fn,1,2.34633
act_fn,2,2.57067
act_fn,3,2.592
act_fn,4,2.64533
act_fn,5,2.61333
act_fn,6,2.61333
act_fn,7,2.68767
act_fn,8,2.624
act_fn,9,2.54933
act_fn,10,2.624
act_fn,11,2.624
act_fn,12,2.58133
act_fn,13,2.58133
act_fn,14,2.496
act_fn,15,2.54933
act_fn,16,2.56
act_fn,20,2.95467
act_fn,24,2.90133
act_fn,28,2.83733
act_fn,32,2.92233
act_fn,36,2.83733
act_fn,40,2.90133
act_fn,44,2.89067
act_fn,48,2.944
act_fn,52,3.07233
act_fn,56,3.08267
act_fn,60,4.48
act_fn,64,4.522
act_fn,80,5.62133
act_fn,96,5.88767
act_fn,112,6.37833
act_fn,128,6.96533
act_fn,144,8.288
act_fn,160,8.74667
act_fn,176,9.504
act_fn,192,10.4637
act_fn,208,9.23733
act_fn,224,9.56767
act_fn,240,10.336
act_fn,256,10.901
act_fn,272,16.032
act_fn,288,17.024
act_fn,304,18.336
act_fn,320,16.384
act_fn,336,17.3227
act_fn,352,18.699
act_fn,368,19.776
act_fn,384,17.3763
act_fn,400,24.736
act_fn,416,26.3357
act_fn,432,27.712
act_fn,448,29.269
act_fn,464,30.8157
act_fn,480,32.416
act_fn,496,34.9647
act_fn,512,37.1513
act_fn,528,41.7597
act_fn,544,44.2453
act_fn,560,46.613
act_fn,576,48.5543
act_fn,592,50.3037
act_fn,608,52.768
act_fn,624,55.4877
act_fn,640,57.482
act_fn,656,63.4133
act_fn,672,66.6877
act_fn,688,68.0637
act_fn,704,70.688
act_fn,720,72.8847
act_fn,736,75.4667
act_fn,752,78.357
act_fn,768,80.1273
act_fn,784,76.181
act_fn,800,78.655
act_fn,816,81.8343
act_fn,832,85.525
act_fn,848,88.928
act_fn,864,91.285
act_fn,880,93.5883
act_fn,896,96.8747
act_fn,912,107.263
act_fn,928,109.739
act_fn,944,112.469
act_fn,960,114.496
act_fn,976,116.917
act_fn,992,119.765
act_fn,1008,123.775
act_fn,1024,126.752
act_fn,1040,133.439
act_fn,1056,134.858
act_fn,1072,139.732
act_fn,1088,143.828
act_fn,1104,147.029
act_fn,1120,147.797
act_fn,1136,153.77
act_fn,1152,158.26
act_fn,1168,167.039
act_fn,1184,169.397
act_fn,1200,172.949
act_fn,1216,176.885
act_fn,1232,182.623
act_fn,1248,186.548
act_fn,1264,190.239
act_fn,1280,193.087
act_fn,1296,196.66
act_fn,1312,200.383
act_fn,1328,206.836
act_fn,1344,209.417
act_fn,1360,214.463
act_fn,1376,217.802
act_fn,1392,221.63
act_fn,1408,224.308
act_fn,1424,232.703
act_fn,1440,235.764
act_fn,1456,238.057
act_fn,1472,239.913
act_fn,1488,248.66
act_fn,1504,250.687
act_fn,1520,254.047
act_fn,1536,258.74
act_fn,1552,263.369
act_fn,1568,267.262
act_fn,1584,270.985
act_fn,1600,273.865
act_fn,1616,274.804
act_fn,1632,279.54
act_fn,1648,285.449
act_fn,1664,289.897
act_fn,1680,291.423
act_fn,1696,294.239
act_fn,1712,297.961
act_fn,1728,299.85
act_fn,1744,306.527
act_fn,1760,308.799
act_fn,1776,312.681
act_fn,1792,316.019
act_fn,1808,319.657
act_fn,1824,322.644
act_fn,1840,326.068
act_fn,1856,327.71
act_fn,1872,334.11
act_fn,1888,341.62
act_fn,1904,344.052
act_fn,1920,345.31
act_fn,1936,348.766
act_fn,1952,354.75
act_fn,1968,357.087
act_fn,1984,359.795
act_fn,2000,363.326
act_fn,2016,367.977
act_fn,2032,371.913
act_fn,2048,377.918
act_fn,2064,384.489
act_fn,2080,387.859
act_fn,2096,389.694
act_fn,2112,392.724
act_fn,2128,397.097
act_fn,2144,397.15
act_fn,2160,398.718
act_fn,2176,405.481
act_fn,2192,412.979
act_fn,2208,415.23
act_fn,2224,419.114
act_fn,2240,421.598
act_fn,2256,423.539
act_fn,2272,431.582
act_fn,2288,431.987
act_fn,2304,436.393
act_fn,2320,436.211
act_fn,2336,440.627
act_fn,2352,443.475
act_fn,2368,450.313
act_fn,2384,454.76
act_fn,2400,455.347
act_fn,2416,460.894
act_fn,2432,462.153
act_fn,2448,471.304
act_fn,2464,466.046
act_fn,2480,472.755
act_fn,2496,478.75
act_fn,2512,475.997
act_fn,2528,480.542
act_fn,2544,485.182
act_fn,2560,488.403
act_fn,2576,494.728
act_fn,2592,496.264
act_fn,2608,497.907
act_fn,2624,500.925
act_fn,2640,499.24
act_fn,2656,502.526
act_fn,2672,510.397
act_fn,2688,507.614
act_fn,2704,520.008
act_fn,2720,521.587
act_fn,2736,522.739
act_fn,2752,533.416
act_fn,2768,530.195
act_fn,2784,535.709
act_fn,2800,540.232
act_fn,2816,543.646
act_fn,2832,545.694
act_fn,2848,548.904
act_fn,2864,556.509
act_fn,2880,558.398
act_fn,2896,558.899
act_fn,2912,561.469
act_fn,2928,568.595
act_fn,2944,569.843
act_fn,2960,575.197
act_fn,2976,580.883
act_fn,2992,582.995
act_fn,3008,588.744
act_fn,3024,592.008
act_fn,3040,595.422
act_fn,3056,601.362
act_fn,3072,599.027
act_fn,3088,605.608
act_fn,3104,607.816
act_fn,3120,609.437
act_fn,3136,614.653
act_fn,3152,616.584
act_fn,3168,622.386
act_fn,3184,628.232
act_fn,3200,631.635
act_fn,3216,623.325
act_fn,3232,632.146
act_fn,3248,628.861
act_fn,3264,631.282
act_fn,3280,641.384
act_fn,3296,642.727
act_fn,3312,645.747
act_fn,3328,654.12
act_fn,3344,653.789
act_fn,3360,656.231
act_fn,3376,661.042
act_fn,3392,663.057
act_fn,3408,667.869
act_fn,3424,669.298
act_fn,3440,673.149
act_fn,3456,682.375
act_fn,3472,680.125
act_fn,3488,687.037
act_fn,3504,686.002
act_fn,3520,690.664
act_fn,3536,692.029
act_fn,3552,699.282
act_fn,3568,700.083
act_fn,3584,705.949
act_fn,3600,714.695
act_fn,3616,717.672
act_fn,3632,718.504
act_fn,3648,726.791
act_fn,3664,728.2
act_fn,3680,728.904
act_fn,3696,733.479
act_fn,3712,736.285
act_fn,3728,728.104
act_fn,3744,736.882
act_fn,3760,740.434
act_fn,3776,741.084
act_fn,3792,747.794
act_fn,3808,747.261
act_fn,3824,755.836
act_fn,3840,753.714
act_fn,3856,761.351
act_fn,3872,763.687
act_fn,3888,770.641
act_fn,3904,771.517
act_fn,3920,776.018
act_fn,3936,777.714
act_fn,3952,781.17
act_fn,3968,791.453
act_fn,3984,786.023
act_fn,4000,789.959
act_fn,4016,793.117
act_fn,4032,796.167
act_fn,4048,801.436
act_fn,4064,802.908
act_fn,4080,812.572
act_fn,4096,814.844
act_fn,4112,810.62
act_fn,4128,814.877
act_fn,4144,824.872
act_fn,4160,829.682
act_fn,4176,826.994
act_fn,4192,833.106
act_fn,4208,838.408
act_fn,4224,835.645
act_fn,4240,839.036
act_fn,4256,848.135
act_fn,4272,844.68
act_fn,4288,849.17
act_fn,4304,855.505
act_fn,4320,861.629
act_fn,4336,867.39
act_fn,4352,868.455
act_fn,4368,909.341
act_fn,4384,872.274
act_fn,4400,870.834
act_fn,4416,870.365
act_fn,4432,880.796
act_fn,4448,886.332
act_fn,4464,890.141
act_fn,4480,895.516
act_fn,4496,900.178
act_fn,4512,897.234
act_fn,4528,911.901
act_fn,4544,904.861
act_fn,4560,913.693
act_fn,4576,915.473
act_fn,4592,922.044
act_fn,4608,922.194
act_fn,4624,922.215
act_fn,4640,924.092
act_fn,4656,928.807
act_fn,4672,935.858
act_fn,4688,934.289
act_fn,4704,940.54
act_fn,4720,946.588
act_fn,4736,945.415
act_fn,4752,953.192
act_fn,4768,953.948
act_fn,4784,957.169
act_fn,4800,965.618
act_fn,4816,964.615
act_fn,4832,964.871
act_fn,4848,971.292
act_fn,4864,975.91
act_fn,4880,977.18
act_fn,4896,973.297
act_fn,4912,978.951
act_fn,4928,988.369
act_fn,4944,988.817
act_fn,4960,1000.46
act_fn,4976,1003.6
act_fn,4992,1007.88
act_fn,5008,1005.36
act_fn,5024,998.791
act_fn,5040,1010.72
act_fn,5056,1014.36
act_fn,5072,1022.91
act_fn,5088,1024.94
act_fn,5104,1030.03
act_fn,5120,1030
act_fn,5136,1030.33
act_fn,5152,1039.08
act_fn,5168,1033.77
act_fn,5184,1042.55
act_fn,5200,1045.95
act_fn,5216,1049.97
act_fn,5232,1053.52
act_fn,5248,1055.72
act_fn,5264,1117.02
act_fn,5280,1058.51
act_fn,5296,1071.93
act_fn,5312,1071.77
act_fn,5328,1072.06
act_fn,5344,1082.15
act_fn,5360,1078.17
act_fn,5376,1083.05
act_fn,5392,1084.42
act_fn,5408,1096.26
act_fn,5424,1098.5
act_fn,5440,1095.92
act_fn,5456,1097.63
act_fn,5472,1103.13
act_fn,5488,1111.91
act_fn,5504,1108.6
act_fn,5520,1116.49
act_fn,5536,1113.7
act_fn,5552,1121.37
act_fn,5568,1125.44
act_fn,5584,1125.05
act_fn,5600,1132.69
act_fn,5616,1133.81
act_fn,5632,1133.26
act_fn,5648,1143.36
act_fn,5664,1146.82
act_fn,5680,1151.49
act_fn,5696,1158.04
act_fn,5712,1162.43
act_fn,5728,1160.58
act_fn,5744,1166.52
act_fn,5760,1170.09
act_fn,5776,1167.25
act_fn,5792,1169.98
act_fn,5808,1180.76
act_fn,5824,1183.12
act_fn,5840,1186.11
act_fn,5856,1186.53
act_fn,5872,1197.1
act_fn,5888,1198.8
act_fn,5904,1192.94
act_fn,5920,1198.98
act_fn,5936,1201.8
act_fn,5952,1209.09
act_fn,5968,1213.42
act_fn,5984,1210.77
act_fn,6000,1213.39
act_fn,6016,1219
act_fn,6032,1294.43
act_fn,6048,1230.62
act_fn,6064,1239.57
act_fn,6080,1234.5
act_fn,6096,1239.41
act_fn,6112,1239.2
act_fn,6128,1235.38
act_fn,6144,1250.23
act_fn,6160,1246.31
act_fn,6176,1245.06
act_fn,6192,1254.74
act_fn,6208,1259.48
act_fn,6224,1262.32
act_fn,6240,1260.09
act_fn,6256,1264.92
act_fn,6272,1274.12
act_fn,6288,1275.92
act_fn,6304,1272.29
act_fn,6320,1280.23
act_fn,6336,1283.8
act_fn,6352,1288.09
act_fn,6368,1288.5
act_fn,6384,1291.11
act_fn,6400,1297.02
act_fn,6416,1300.72
act_fn,6432,1301.17
act_fn,6448,1308.09
act_fn,6464,1316.85
act_fn,6480,1311.58
act_fn,6496,1326.96
act_fn,6512,1322.64
act_fn,6528,1325.24
act_fn,6544,1327.57
act_fn,6560,1332.85
act_fn,6576,1336.94
act_fn,6592,1341.22
act_fn,6608,1343.29
act_fn,6624,1350.88
act_fn,6640,1347.5
act_fn,6656,1348.98
act_fn,6672,1393.87
act_fn,6688,1367.54
act_fn,6704,1369.77
act_fn,6720,1360.76
act_fn,6736,1378.32
act_fn,6752,1379.93
act_fn,6768,1378.76
act_fn,6784,1376.73
act_fn,6800,1390.68
act_fn,6816,1397.78
act_fn,6832,1399.43
act_fn,6848,1397.78
act_fn,6864,1401.74
act_fn,6880,1401.34
act_fn,6896,1412.44
act_fn,6912,1416.12
act_fn,6928,1412.85
act_fn,6944,1420.75
act_fn,6960,1420.84
act_fn,6976,1431.96
act_fn,6992,1420.7
act_fn,7008,1429.95
act_fn,7024,1431.17
act_fn,7040,1439.15
act_fn,7056,1437.81
act_fn,7072,1447.38
act_fn,7088,1438.94
act_fn,7104,1447.56
act_fn,7120,1454.73
act_fn,7136,1451.77
act_fn,7152,1463.84
act_fn,7168,1465.11
act_fn,7184,1466.05
act_fn,7200,1476.43
act_fn,7216,1471.8
act_fn,7232,1469.13
act_fn,7248,1554.93
act_fn,7264,1483.72
act_fn,7280,1483.05
act_fn,7296,1496.21
act_fn,7312,1487.71
act_fn,7328,1496.17
act_fn,7344,1495.44
act_fn,7360,1503.07
act_fn,7376,1509.2
act_fn,7392,1515.21
act_fn,7408,1518.75
act_fn,7424,1521.45
act_fn,7440,1511.19
act_fn,7456,1523.94
act_fn,7472,1522.56
act_fn,7488,1534.19
act_fn,7504,1533.66
act_fn,7520,1535.63
act_fn,7536,1542.48
act_fn,7552,1543.72
act_fn,7568,1545.18
act_fn,7584,1551.15
act_fn,7600,1549.5
act_fn,7616,1553.48
act_fn,7632,1559.6
act_fn,7648,1568.84
act_fn,7664,1567
act_fn,7680,1576.29
act_fn,7696,1564.4
act_fn,7712,1566.36
act_fn,7728,1576.33
act_fn,7744,1579.58
act_fn,7760,1586.3
act_fn,7776,1586.49
act_fn,7792,1588.78
act_fn,7808,1593.9
act_fn,7824,1607.69
act_fn,7840,1609.04
act_fn,7856,1607.82
act_fn,7872,1608.36
act_fn,7888,1612.92
act_fn,7904,1615.56
act_fn,7920,1621.02
act_fn,7936,1627.52
act_fn,7952,1632.01
act_fn,7968,1630.52
act_fn,7984,1636.09
act_fn,8000,1641.21
act_fn,8016,1637.79
act_fn,8032,1639.84
act_fn,8048,1642.57
act_fn,8064,1651.74
act_fn,8080,1656.73
act_fn,8096,1661.43
act_fn,8112,1662.67
act_fn,8128,1668.95
act_fn,8144,1674.27
act_fn,8160,1675.65
act_fn,8176,1680.46
act_fn,8192,1680.13
down_proj,1,130.826
down_proj,2,136.821
down_proj,3,136.895
down_proj,4,137.034
down_proj,5,137.216
down_proj,6,136.842
down_proj,7,136.735
down_proj,8,136.949
down_proj,9,136.821
down_proj,10,136.938
down_proj,11,136.565
down_proj,12,137.088
down_proj,13,137.482
down_proj,14,137.13
down_proj,15,137.397
down_proj,16,137.386
down_proj,20,138.347
down_proj,24,138.655
down_proj,28,138.719
down_proj,32,139.114
down_proj,36,137.62
down_proj,40,137.855
down_proj,44,137.823
down_proj,48,137.802
down_proj,52,138.452
down_proj,56,137.898
down_proj,60,138.175
down_proj,64,137.727
down_proj,80,143.253
down_proj,96,142.72
down_proj,112,142.783
down_proj,128,157.514
down_proj,144,159.646
down_proj,160,147.765
down_proj,176,147.616
down_proj,192,148.042
down_proj,208,166.293
down_proj,224,167.733
down_proj,240,167.668
down_proj,256,167.541
down_proj,272,185.652
down_proj,288,187.988
down_proj,304,190.314
down_proj,320,193.78
down_proj,336,194.837
down_proj,352,198.667
down_proj,368,201.396
down_proj,384,210.154
down_proj,400,218.804
down_proj,416,221.962
down_proj,432,223.135
down_proj,448,224.928
down_proj,464,228.97
down_proj,480,230.442
down_proj,496,232.223
down_proj,512,232.948
down_proj,528,251.103
down_proj,544,252.148
down_proj,560,251.231
down_proj,576,253.407
down_proj,592,257.812
down_proj,608,259.273
down_proj,624,260.67
down_proj,640,261.002
down_proj,656,319.54
down_proj,672,317.044
down_proj,688,319.774
down_proj,704,320.265
down_proj,720,321.802
down_proj,736,322.622
down_proj,752,323.849
down_proj,768,323.828
down_proj,784,331.487
down_proj,800,332.564
down_proj,816,332.638
down_proj,832,334.228
down_proj,848,336.478
down_proj,864,337.566
down_proj,880,337.748
down_proj,896,338.921
down_proj,912,446.035
down_proj,928,447.55
down_proj,944,448.872
down_proj,960,451.465
down_proj,976,453.661
down_proj,992,454.729
down_proj,1008,441.15
down_proj,1024,443.144
down_proj,1040,442.654
down_proj,1056,443.379
