layer,sequences,time_us
lm_head,1,2059.35
lm_head,2,2083.47
lm_head,3,2086.68
lm_head,4,2090.12
lm_head,5,2093.82
lm_head,6,2097.34
lm_head,7,2100.29
lm_head,8,2103.43
lm_head,9,2106.39
lm_head,10,2108.47
lm_head,11,2111.57
lm_head,12,2113.55
lm_head,13,2116.7
lm_head,14,2119.83
lm_head,15,2122.5
lm_head,16,2124.42
lm_head,20,2277.25
lm_head,24,2312.88
lm_head,28,2320.08
lm_head,32,2325.33
lm_head,36,2333.23
lm_head,40,2338.53
lm_head,44,2344.21
lm_head,48,2348.3
lm_head,52,2353.43
lm_head,56,2358.62
lm_head,60,2363.28
lm_head,64,2368.05
sampler,1,31.7763
sampler,2,34.4417
sampler,3,35.84
sampler,4,36.9173
sampler,5,37.7803
sampler,6,39.051
sampler,7,40.203
sampler,8,40.544
sampler,9,41.8563
sampler,10,42.8377
sampler,11,43.6057
sampler,12,44.6187
sampler,13,45.7177
sampler,14,46.4533
sampler,15,47.8617
sampler,16,48.64
sampler,20,53.0453
sampler,24,56.3197
sampler,28,60.736
sampler,32,64.779
sampler,36,69.024
sampler,40,73.9087
sampler,44,79.4347
sampler,48,87.3703
sampler,52,96.8537
sampler,56,105.408
sampler,60,126.24
sampler,64,133.941
