regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,65.694,75.619,66.367,0.0678
pure,2,1,0.5,4.0,0,0,256,1024,640,82.208,101.696,82.272,0.0033
pure,2,1,0.5,4.0,0,0,512,2048,1280,115.552,155.616,112.094,-0.0863
pure,2,1,0.5,4.0,0,0,1024,4096,2560,177.565,253.952,180.51,0.0386
pure,2,1,0.5,4.0,0,0,2048,8192,5120,305.215,463.9,300.958,-0.0268
mixed,2,1,0.5,4.0,16,0,128,512,320,87.424,131.2,80.0,-0.1696
mixed,2,1,0.5,4.0,16,0,256,1024,640,135.583,177.439,119.711,-0.3792
mixed,2,1,0.5,4.0,16,0,512,2048,1280,198.655,265.184,190.976,-0.1154
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,312.767,448.957,297.118,-0.1149
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,541.695,832.959,500.703,-0.1407
mixed,2,1,0.5,4.0,16,512,128,512,320,109.056,142.144,131.295,0.6721
mixed,2,1,0.5,4.0,16,512,256,1024,640,141.44,178.687,153.343,0.3196
mixed,2,1,0.5,4.0,16,512,512,2048,1280,198.848,259.966,205.568,0.11
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,305.92,437.824,298.143,-0.059
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,529.696,832.062,498.302,-0.1038
mixed,2,1,0.5,4.0,16,1024,128,512,320,130.046,165.056,152.351,0.6371
mixed,2,1,0.5,4.0,16,1024,256,1024,640,163.935,188.575,176.094,0.4935
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,204.224,268.416,218.336,0.2198
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,312.064,444.223,311.906,-0.0012
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,534.848,834.942,507.807,-0.0901
mixed,2,1,0.5,4.0,16,2048,128,512,320,170.816,204.383,192.256,0.6387
mixed,2,1,0.5,4.0,16,2048,256,1024,640,204.509,230.08,216.448,0.4669
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,240.159,277.856,258.688,0.4915
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,314.144,448.8,349.632,0.2635
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,539.583,824.479,521.664,-0.0629
mixed,2,1,0.5,4.0,16,4096,128,512,320,251.712,284.256,270.752,0.5851
mixed,2,1,0.5,4.0,16,4096,256,1024,640,284.288,312.416,295.297,0.3914
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,320.479,362.589,342.56,0.5244
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,386.016,455.872,443.102,0.8172
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,541.791,838.334,611.744,0.2359
mixed,2,1,0.5,4.0,32,0,128,512,320,89.376,130.24,81.759,-0.1864
mixed,2,1,0.5,4.0,32,0,256,1024,640,136.414,180.352,121.92,-0.3299
mixed,2,1,0.5,4.0,32,0,512,2048,1280,201.088,268.704,194.11,-0.1032
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,314.432,449.568,297.183,-0.1276
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,541.119,837.183,503.166,-0.1282
mixed,2,1,0.5,4.0,32,512,128,512,320,110.272,142.592,131.072,0.6436
mixed,2,1,0.5,4.0,32,512,256,1024,640,142.177,181.343,153.952,0.3006
mixed,2,1,0.5,4.0,32,512,512,2048,1280,199.456,265.023,205.696,0.0952
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,308.319,440.672,300.64,-0.058
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,533.472,836.702,503.038,-0.1004
mixed,2,1,0.5,4.0,32,1024,128,512,320,131.968,163.327,154.048,0.7041
mixed,2,1,0.5,4.0,32,1024,256,1024,640,166.591,189.698,178.08,0.4972
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,203.807,268.289,216.416,0.1955
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,312.767,443.905,312.16,-0.0046
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,533.953,837.47,509.887,-0.0793
mixed,2,1,0.5,4.0,32,2048,128,512,320,172.928,205.6,194.689,0.666
mixed,2,1,0.5,4.0,32,2048,256,1024,640,205.378,233.216,217.471,0.4344
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,241.887,278.24,260.446,0.5105
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,315.839,452.032,353.313,0.2752
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,540.223,823.328,520.224,-0.0706
mixed,2,1,0.5,4.0,32,4096,128,512,320,252.577,283.777,271.84,0.6174
mixed,2,1,0.5,4.0,32,4096,256,1024,640,284.8,313.439,297.152,0.4313
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,321.984,363.167,340.767,0.4561
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,390.047,460.736,443.743,0.7596
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,543.455,835.261,615.711,0.2476
mixed,2,1,0.5,4.0,64,0,128,512,320,90.111,133.15,82.176,-0.1844
mixed,2,1,0.5,4.0,64,0,256,1024,640,138.21,181.792,122.976,-0.3495
mixed,2,1,0.5,4.0,64,0,512,2048,1280,201.791,268.608,192.32,-0.1417
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,314.559,452.83,299.68,-0.1076
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,542.399,838.718,503.743,-0.1305
mixed,2,1,0.5,4.0,64,512,128,512,320,112.32,144.543,133.185,0.6475
mixed,2,1,0.5,4.0,64,512,256,1024,640,140.96,182.432,156.959,0.3858
mixed,2,1,0.5,4.0,64,512,512,2048,1280,202.336,263.84,206.08,0.0609
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,309.535,439.806,302.304,-0.0555
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,533.375,838.813,503.041,-0.0993
mixed,2,1,0.5,4.0,64,1024,128,512,320,133.088,165.566,155.072,0.6769
mixed,2,1,0.5,4.0,64,1024,256,1024,640,169.057,190.625,178.081,0.4184
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,206.144,270.143,218.913,0.1995
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,315.23,444.544,317.279,0.0158
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,536.989,842.11,512.832,-0.0792
mixed,2,1,0.5,4.0,64,2048,128,512,320,174.047,204.735,195.136,0.6872
mixed,2,1,0.5,4.0,64,2048,256,1024,640,206.367,233.056,218.559,0.4568
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,241.44,279.327,261.183,0.5211
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,315.584,451.839,349.952,0.2522
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,542.974,821.344,521.888,-0.0757
mixed,2,1,0.5,4.0,64,4096,128,512,320,255.294,284.511,274.176,0.6463
mixed,2,1,0.5,4.0,64,4096,256,1024,640,288.224,315.584,298.079,0.3602
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,321.92,365.888,345.855,0.5444
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,390.911,460.703,446.814,0.801
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,543.39,843.776,618.238,0.2492
mixed,2,1,0.5,4.0,128,0,128,512,320,96.255,133.535,103.616,0.1975
mixed,2,1,0.5,4.0,128,0,256,1024,640,138.624,180.672,143.167,0.108
mixed,2,1,0.5,4.0,128,0,512,2048,1280,199.136,266.977,197.729,-0.0207
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,311.905,449.759,302.913,-0.0652
mixed,2,1,0.5,4.0,128,0,2048,8192,5120,541.919,838.431,500.671,-0.1391
mixed,2,1,0.5,4.0,128,512,128,512,320,149.951,187.424,138.977,-0.2929
mixed,2,1,0.5,4.0,128,512,256,1024,640,189.281,216.992,185.697,-0.1293
mixed,2,1,0.5,4.0,128,512,512,2048,1280,227.615,264.735,248.639,0.5664
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,309.312,437.088,350.528,0.3226
mixed,2,1,0.5,4.0,128,512,2048,8192,5120,526.305,831.743,542.014,0.0514
mixed,2,1,0.5,4.0,128,1024,128,512,320,177.664,209.504,178.24,0.0181
mixed,2,1,0.5,4.0,128,1024,256,1024,640,215.457,252.095,201.406,-0.3835
mixed,2,1,0.5,4.0,128,1024,512,2048,1280,263.647,297.949,265.376,0.0504
mixed,2,1,0.5,4.0,128,1024,1024,4096,2560,318.048,440.96,372.0,0.4389
mixed,2,1,0.5,4.0,128,1024,2048,8192,5120,529.536,813.566,571.327,0.1471
mixed,2,1,0.5,4.0,128,2048,128,512,320,260.608,259.358,257.694,
mixed,2,1,0.5,4.0,128,2048,256,1024,640,264.865,294.623,263.169,-0.057
mixed,2,1,0.5,4.0,128,2048,512,2048,1280,315.103,374.048,308.191,-0.1173
mixed,2,1,0.5,4.0,128,2048,1024,4096,2560,401.856,469.153,428.192,0.3913
mixed,2,1,0.5,4.0,128,2048,2048,8192,5120,536.032,815.68,619.776,0.2995
mixed,2,1,0.5,4.0,128,4096,128,512,320,418.846,422.109,416.127,-0.8333
mixed,2,1,0.5,4.0,128,4096,256,1024,640,422.784,434.495,422.273,-0.0436
mixed,2,1,0.5,4.0,128,4096,512,2048,1280,432.863,464.382,428.383,-0.1421
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,508.543,635.614,499.166,-0.0738
mixed,2,1,0.5,4.0,128,4096,2048,8192,5120,687.678,826.848,772.798,0.6116
mixed,2,1,0.5,4.0,256,0,128,512,320,133.536,157.311,135.328,0.0754
mixed,2,1,0.5,4.0,256,0,256,1024,640,159.936,194.368,171.007,0.3215
mixed,2,1,0.5,4.0,256,0,512,2048,1280,210.72,266.366,235.199,0.4399
mixed,2,1,0.5,4.0,256,0,1024,4096,2560,309.664,440.862,322.273,0.0961
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,534.558,841.727,513.726,-0.0678
mixed,2,1,0.5,4.0,256,512,128,512,320,210.879,237.535,207.23,-0.1369
mixed,2,1,0.5,4.0,256,512,256,1024,640,238.045,271.807,242.88,0.1432
mixed,2,1,0.5,4.0,256,512,512,2048,1280,282.175,349.472,302.303,0.2991
mixed,2,1,0.5,4.0,256,512,1024,4096,2560,368.542,477.246,422.751,0.4987
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,554.943,809.182,619.839,0.2553
mixed,2,1,0.5,4.0,256,1024,128,512,320,257.856,285.12,251.902,-0.2184
mixed,2,1,0.5,4.0,256,1024,256,1024,640,289.919,319.55,281.918,-0.27
mixed,2,1,0.5,4.0,256,1024,512,2048,1280,334.72,377.471,346.432,0.274
mixed,2,1,0.5,4.0,256,1024,1024,4096,2560,435.711,511.582,484.128,0.6381
mixed,2,1,0.5,4.0,256,1024,2048,8192,5120,583.454,838.495,676.353,0.3643
mixed,2,1,0.5,4.0,256,2048,128,512,320,370.303,372.0,367.585,-1.6016
mixed,2,1,0.5,4.0,256,2048,256,1024,640,375.648,427.294,389.088,0.2602
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,442.368,479.776,417.855,-0.6553
mixed,2,1,0.5,4.0,256,2048,1024,4096,2560,515.807,630.847,552.831,0.3218
