pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0529,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0356,4
0,n<=16,sr<=15%,kvB<=8k,kp=0,0.0422,2
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0307,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0218,4
0,n<=16,sr<=40%,kvB<=8k,kp=0,0.0286,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0202,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0252,2
0,n<=16,sr<=70%,kvB<=8k,kp=0,0.0323,1
0,n<=16,sr>70%,kvB<=1k,kp=0,0.0636,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0543,4
0,n<=16,sr>70%,kvB<=8k,kp=0,0.0262,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0166,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0116,2
0,n<=2,sr<=70%,kvB<=8k,kp=0,-0.0268,1
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0161,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0197,6
0,n<=32,sr<=15%,kvB<=8k,kp=0,0.0187,3
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0069,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0057,2
0,n<=32,sr<=40%,kvB<=8k,kp=0,0.0075,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0146,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0299,2
0,n<=32,sr<=5%,kvB<=8k,kp=0,0.0308,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.008,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0028,2
0,n<=32,sr<=70%,kvB<=8k,kp=0,0.0163,1
0,n<=32,sr>70%,kvB<=1k,kp=0,0.0185,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0009,4
0,n<=32,sr>70%,kvB<=8k,kp=0,0.0167,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,-0.0513,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,-0.0336,3
0,n<=4,sr<=40%,kvB<=8k,kp=0,0.0032,1
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.2164,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.0063,2
0,n<=4,sr<=70%,kvB<=8k,kp=0,0.0536,1
0,n<=4,sr>70%,kvB<=1k,kp=0,-1.2558,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.0222,2
0,n<=4,sr>70%,kvB<=8k,kp=0,0.0036,1
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0075,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0067,4
0,n<=64,sr<=15%,kvB<=8k,kp=0,0.0059,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0042,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0028,2
0,n<=64,sr<=40%,kvB<=8k,kp=0,-0.0003,1
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0042,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0097,6
0,n<=64,sr<=5%,kvB<=8k,kp=0,0.0104,3
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0085,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.0033,2
0,n<=64,sr<=70%,kvB<=8k,kp=0,0.0063,1
0,n<=64,sr>70%,kvB<=1k,kp=0,0.015,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0041,4
0,n<=64,sr>70%,kvB<=8k,kp=0,-0.0003,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0345,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,-0.0038,2
0,n<=8,sr<=15%,kvB<=8k,kp=0,0.0035,1
0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0161,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,-0.0044,4
0,n<=8,sr<=40%,kvB<=8k,kp=0,-0.0017,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.0386,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0101,2
0,n<=8,sr<=70%,kvB<=8k,kp=0,0.0359,1
0,n<=8,sr>70%,kvB<=1k,kp=0,-0.1774,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.0404,4
0,n<=8,sr>70%,kvB<=8k,kp=0,0.0509,2
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0539,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0463,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0518,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.0757,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.1085,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.082,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.063,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0254,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.0794,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.0735,4
16,n<=16,sr<=15%,kvB<=8k,kp<=1k,0.0347,2
16,n<=16,sr<=15%,kvB<=8k,kp<=2k,0.0356,2
16,n<=16,sr<=15%,kvB<=8k,kp<=4k,0.0355,2
16,n<=16,sr<=15%,kvB<=8k,kp<=512,0.0331,2
