layer,sequences,time_us
lm_head,1,697.196000
lm_head,2,695.979000
lm_head,3,696.897000
lm_head,4,697.005000
lm_head,5,698.572000
lm_head,6,698.507000
lm_head,7,698.532000
lm_head,8,698.546000
lm_head,9,701.606000
lm_head,10,701.683000
lm_head,11,701.647000
lm_head,12,701.660000
lm_head,13,701.670000
lm_head,14,701.692000
lm_head,15,701.652000
lm_head,16,701.665000
lm_head,17,705.412000
lm_head,18,705.315000
lm_head,19,705.403000
lm_head,20,705.318000
lm_head,21,705.278000
lm_head,22,705.203000
lm_head,23,705.224000
lm_head,24,705.202000
lm_head,25,708.506000
lm_head,26,708.486000
lm_head,27,708.507000
lm_head,28,708.540000
lm_head,29,708.507000
lm_head,30,708.501000
lm_head,31,708.576000
lm_head,32,708.546000
lm_head,64,721.804000
lm_head,96,739.114000
lm_head,128,753.417000
lm_head,160,764.705000
lm_head,192,785.401000
lm_head,224,811.554000
lm_head,256,868.600000
lm_head,288,934.600000
lm_head,320,996.191000
lm_head,352,1106.064000
lm_head,384,1061.422000
lm_head,416,1147.617000
lm_head,448,1233.658000
lm_head,480,1310.044000
lm_head,512,1395.561000
lm_head,544,1481.282000
lm_head,576,1566.734000
lm_head,608,1652.302000
lm_head,640,1737.961000
lm_head,672,1838.638000
lm_head,704,1924.392000
lm_head,736,2010.167000
lm_head,768,2096.143000
lm_head,800,2181.841000
lm_head,832,2267.499000
lm_head,864,2353.295000
lm_head,896,2439.117000
lm_head,928,2530.407000
lm_head,960,2616.097000
lm_head,992,2701.706000
lm_head,1024,2786.670000
lm_head,1056,2873.228000
lm_head,1088,2958.876000
lm_head,1120,3044.642000
lm_head,1152,3130.469000
lm_head,1184,3216.016000
lm_head,1216,3301.682000
lm_head,1248,3381.768000
lm_head,1280,3467.297000
lm_head,1312,3552.808000
lm_head,1344,3638.469000
lm_head,1376,3723.918000
lm_head,1408,3809.335000
lm_head,1440,3894.794000
lm_head,1472,3980.526000
lm_head,1504,4066.150000
lm_head,1536,4151.659000
lm_head,1568,4237.137000
lm_head,1600,4322.701000
lm_head,1632,4441.467000
lm_head,1664,4527.297000
lm_head,1696,4612.941000
lm_head,1728,4698.786000
lm_head,1760,4770.371000
lm_head,1792,4855.845000
lm_head,1824,4941.437000
lm_head,1856,5026.906000
lm_head,1888,5112.434000
lm_head,1920,5198.038000
lm_head,1952,5283.570000
lm_head,1984,5369.217000
lm_head,2016,5454.529000
lm_head,2048,5540.135000
lm_head,2080,5625.605000
lm_head,2112,5711.024000
lm_head,2144,5823.803000
lm_head,2176,5909.632000
lm_head,2208,5995.088000
lm_head,2240,6080.812000
lm_head,2272,6166.451000
lm_head,2304,6252.183000
lm_head,2336,6337.845000
lm_head,2368,6423.538000
lm_head,2400,6509.263000
lm_head,2432,6594.892000
lm_head,2464,6675.048000
lm_head,2496,6760.443000
lm_head,2528,6846.012000
lm_head,2560,6931.561000
lm_head,2592,7016.953000
lm_head,2624,7102.503000
lm_head,2656,7188.057000
lm_head,2688,7273.549000
lm_head,2720,7359.141000
lm_head,2752,7444.656000
lm_head,2784,7530.140000
lm_head,2816,7615.636000
lm_head,2848,7701.048000
lm_head,2880,7786.683000
lm_head,2912,7872.271000
lm_head,2944,7957.789000
lm_head,2976,8043.304000
lm_head,3008,8128.958000
lm_head,3040,8214.397000
lm_head,3072,8299.815000
lm_head,3104,8385.404000
lm_head,3136,8470.869000
lm_head,3168,8556.301000
lm_head,3200,8641.883000
lm_head,3232,8788.758000
lm_head,3264,8859.637000
lm_head,3296,8960.240000
lm_head,3328,9046.059000
lm_head,3360,9116.761000
lm_head,3392,9217.497000
lm_head,3424,9303.352000
lm_head,3456,9373.705000
lm_head,3488,9474.856000
lm_head,3520,9560.673000
lm_head,3552,9630.846000
lm_head,3584,9732.213000
lm_head,3616,9817.937000
lm_head,3648,9887.898000
lm_head,3680,9966.262000
lm_head,3712,10052.026000
lm_head,3744,10137.412000
lm_head,3776,10222.921000
lm_head,3808,10308.484000
lm_head,3840,10394.063000
lm_head,3872,10479.505000
lm_head,3904,10565.208000
lm_head,3936,10650.656000
lm_head,3968,10736.113000
lm_head,4000,10821.686000
lm_head,4032,10907.139000
lm_head,4064,10992.642000
lm_head,4096,11078.082000
lm_head,4128,11163.858000
lm_head,4160,11248.982000
lm_head,4192,11334.753000
lm_head,4224,11420.178000
lm_head,4256,11505.731000
lm_head,4288,11629.008000
lm_head,4320,11677.791000
lm_head,4352,11809.946000
lm_head,4384,11885.492000
lm_head,4416,11934.428000
lm_head,4448,12066.356000
lm_head,4480,12142.145000
lm_head,4512,12190.953000
lm_head,4544,12324.063000
lm_head,4576,12398.651000
lm_head,4608,12447.498000
lm_head,4640,12580.441000
lm_head,4672,12655.227000
lm_head,4704,12703.995000
lm_head,4736,12838.122000
lm_head,4768,12911.898000
lm_head,4800,12960.602000
lm_head,4832,13094.671000
lm_head,4864,13180.810000
lm_head,4896,13260.120000
lm_head,4928,13345.648000
lm_head,4960,13431.027000
lm_head,4992,13516.592000
lm_head,5024,13602.141000
lm_head,5056,13687.553000
lm_head,5088,13773.240000
lm_head,5120,13858.632000
lm_head,5152,13944.221000
lm_head,5184,14029.701000
lm_head,5216,14115.237000
lm_head,5248,14200.676000
lm_head,5280,14286.227000
lm_head,5312,14371.695000
lm_head,5344,14457.246000
lm_head,5376,14542.662000
lm_head,5408,14628.161000
lm_head,5440,14713.777000
lm_head,5472,14799.451000
lm_head,5504,14884.727000
lm_head,5536,14970.291000
lm_head,5568,15055.800000
lm_head,5600,15141.351000
lm_head,5632,15226.817000
lm_head,5664,15312.277000
lm_head,5696,15397.845000
lm_head,5728,15483.343000
lm_head,5760,15568.938000
lm_head,5792,15654.457000
lm_head,5824,15739.932000
lm_head,5856,15825.573000
lm_head,5888,15910.847000
lm_head,5920,15996.575000
lm_head,5952,16081.963000
lm_head,5984,16167.602000
lm_head,6016,16253.032000
lm_head,6048,16338.713000
lm_head,6080,16424.016000
lm_head,6112,16509.541000
lm_head,6144,16595.154000
lm_head,6176,16680.571000
lm_head,6208,16766.236000
lm_head,6240,16851.662000
lm_head,6272,16937.062000
lm_head,6304,17022.688000
lm_head,6336,17108.167000
lm_head,6368,17193.640000
lm_head,6400,17279.368000
lm_head,6432,17453.438000
lm_head,6464,17568.999000
lm_head,6496,17661.976000
lm_head,6528,17710.546000
lm_head,6560,17749.783000
lm_head,6592,17882.302000
lm_head,6624,17967.457000
lm_head,6656,18083.450000
lm_head,6688,18133.227000
lm_head,6720,18177.372000
lm_head,6752,18309.848000
lm_head,6784,18416.706000
lm_head,6816,18481.570000
lm_head,6848,18598.096000
lm_head,6880,18604.872000
lm_head,6912,18738.630000
lm_head,6944,18844.325000
lm_head,6976,18941.231000
lm_head,7008,18995.667000
lm_head,7040,19032.446000
lm_head,7072,19164.879000
lm_head,7104,19252.685000
lm_head,7136,19378.115000
lm_head,7168,19455.902000
lm_head,7200,19460.182000
lm_head,7232,19592.557000
lm_head,7264,19699.458000
lm_head,7296,19766.818000
lm_head,7328,19843.496000
lm_head,7360,19887.593000
lm_head,7392,20020.112000
lm_head,7424,20126.807000
lm_head,7456,20185.486000
lm_head,7488,20271.143000
lm_head,7520,20315.213000
lm_head,7552,20447.618000
lm_head,7584,20554.513000
lm_head,7616,20613.082000
lm_head,7648,20698.627000
lm_head,7680,20742.905000
lm_head,7712,20875.278000
lm_head,7744,20981.998000
lm_head,7776,21040.613000
lm_head,7808,21126.111000
lm_head,7840,21170.284000
lm_head,7872,21302.668000
lm_head,7904,21409.761000
lm_head,7936,21468.281000
lm_head,7968,21553.666000
lm_head,8000,21597.755000
lm_head,8032,21724.703000
lm_head,8064,21810.162000
lm_head,8096,21895.624000
lm_head,8128,21981.271000
lm_head,8160,22066.726000
lm_head,8192,22152.219000
sampler,1,4.302000
sampler,2,4.299000
sampler,3,4.296000
sampler,4,4.296000
sampler,5,4.295000
sampler,6,4.295000
sampler,7,4.435000
sampler,8,4.049000
sampler,9,7.917000
sampler,10,7.917000
sampler,11,7.917000
sampler,12,7.917000
sampler,13,7.917000
sampler,14,7.917000
sampler,15,7.917000
sampler,16,7.431000
sampler,17,12.336000
sampler,18,12.337000
sampler,19,12.336000
sampler,20,12.336000
sampler,21,12.337000
sampler,22,12.337000
sampler,23,12.336000
sampler,24,12.223000
sampler,25,15.356000
sampler,26,15.355000
sampler,27,15.355000
sampler,28,15.355000
sampler,29,15.355000
sampler,30,15.356000
sampler,31,15.355000
sampler,32,15.591000
sampler,64,31.840000
sampler,96,44.508000
sampler,128,51.983000
sampler,160,63.923000
sampler,192,77.520000
sampler,224,89.099000
sampler,256,104.325000
sampler,288,112.253000
sampler,320,119.071000
sampler,352,130.065000
sampler,384,156.332000
sampler,416,142.811000
sampler,448,152.493000
sampler,480,167.862000
sampler,512,179.411000
sampler,544,190.446000
sampler,576,206.231000
sampler,608,215.976000
sampler,640,265.723000
sampler,672,232.326000
sampler,704,244.267000
sampler,736,255.438000
sampler,768,318.182000
sampler,800,276.795000
sampler,832,286.735000
sampler,864,297.735000
sampler,896,370.700000
sampler,928,319.325000
sampler,960,330.275000
sampler,992,341.241000
sampler,1024,359.042000
sampler,1056,363.135000
sampler,1088,374.093000
sampler,1120,384.975000
sampler,1152,475.664000
sampler,1184,406.986000
sampler,1216,415.077000
sampler,1248,425.850000
sampler,1280,528.121000
sampler,1312,447.738000
sampler,1344,458.557000
sampler,1376,469.607000
sampler,1408,580.608000
sampler,1440,492.622000
sampler,1472,503.480000
sampler,1504,514.543000
sampler,1536,536.791000
sampler,1568,536.366000
sampler,1600,547.302000
sampler,1632,558.371000
sampler,1664,685.610000
sampler,1696,579.420000
sampler,1728,590.449000
sampler,1760,600.986000
sampler,1792,738.126000
sampler,1824,623.063000
sampler,1856,634.156000
sampler,1888,644.617000
sampler,1920,790.558000
sampler,1952,667.621000
sampler,1984,677.350000
sampler,2016,688.073000
sampler,2048,699.031000
sampler,2080,710.472000
sampler,2112,720.844000
sampler,2144,921.768000
sampler,2176,895.477000
sampler,2208,752.832000
sampler,2240,763.371000
sampler,2272,975.818000
sampler,2304,947.966000
sampler,2336,796.422000
sampler,2368,808.257000
sampler,2400,818.922000
sampler,2432,1000.455000
sampler,2464,840.882000
sampler,2496,850.786000
sampler,2528,861.821000
sampler,2560,892.331000
sampler,2592,883.634000
sampler,2624,894.642000
