layer,tokens,time_us
embedding,1,1.573000
embedding,2,2.698000
embedding,3,2.826000
embedding,4,2.678000
embedding,5,2.790000
embedding,6,2.652000
embedding,7,2.733000
embedding,8,2.741000
embedding,9,2.991000
embedding,10,2.959000
embedding,11,2.926000
embedding,12,2.956000
embedding,13,2.902000
embedding,14,2.871000
embedding,15,2.867000
embedding,16,2.883000
embedding,20,3.276000
embedding,24,3.291000
embedding,28,3.256000
embedding,32,3.116000
embedding,36,4.005000
embedding,40,3.929000
embedding,44,4.501000
embedding,48,4.213000
embedding,52,3.808000
embedding,56,3.896000
embedding,60,3.776000
embedding,64,3.710000
embedding,80,6.773000
embedding,96,5.281000
embedding,112,5.026000
embedding,128,4.830000
embedding,144,9.495000
embedding,160,9.272000
embedding,176,8.136000
embedding,192,9.586000
embedding,208,7.827000
embedding,224,7.527000
embedding,240,7.470000
embedding,256,7.112000
embedding,272,15.017000
embedding,288,14.782000
embedding,304,16.426000
embedding,320,14.121000
embedding,336,13.547000
embedding,352,17.891000
embedding,368,17.148000
embedding,384,13.807000
embedding,400,11.707000
embedding,416,13.947000
embedding,432,12.851000
embedding,448,10.398000
embedding,464,10.033000
embedding,480,9.930000
embedding,496,10.081000
embedding,512,9.896000
embedding,544,20.788000
embedding,576,19.559000
embedding,608,17.235000
embedding,640,16.440000
embedding,672,16.562000
embedding,704,15.146000
embedding,736,14.502000
embedding,768,14.486000
embedding,800,29.351000
embedding,832,21.836000
embedding,864,21.237000
embedding,896,21.457000
embedding,928,28.395000
embedding,960,26.801000
embedding,992,26.614000
embedding,1024,25.032000
embedding,1056,28.742000
embedding,1088,27.453000
embedding,1120,24.982000
embedding,1152,28.015000
embedding,1184,23.703000
embedding,1216,24.423000
embedding,1248,22.908000
embedding,1280,22.232000
embedding,1312,30.436000
embedding,1344,29.138000
embedding,1376,29.926000
embedding,1408,31.632000
embedding,1440,30.248000
embedding,1472,27.838000
embedding,1504,25.788000
embedding,1536,25.737000
embedding,1568,33.766000
embedding,1600,34.786000
embedding,1632,32.465000
embedding,1664,32.500000
embedding,1696,30.767000
embedding,1728,29.957000
embedding,1760,29.932000
embedding,1792,29.359000
embedding,1824,39.691000
embedding,1856,38.592000
embedding,1888,35.897000
embedding,1920,36.246000
embedding,1952,53.142000
embedding,1984,49.125000
embedding,2016,48.080000
embedding,2048,48.067000
embedding,2112,46.243000
embedding,2176,40.026000
embedding,2240,37.615000
embedding,2304,36.913000
embedding,2368,49.661000
embedding,2432,43.548000
embedding,2496,41.034000
embedding,2560,40.648000
embedding,2624,47.711000
embedding,2688,50.141000
embedding,2752,45.248000
embedding,2816,44.269000
embedding,2880,57.047000
embedding,2944,53.682000
embedding,3008,72.755000
embedding,3072,70.451000
embedding,3136,55.168000
embedding,3200,53.781000
embedding,3264,52.175000
embedding,3328,51.629000
embedding,3392,60.706000
embedding,3456,61.202000
embedding,3520,56.106000
embedding,3584,55.523000
embedding,3648,64.289000
embedding,3712,61.149000
embedding,3776,59.473000
embedding,3840,59.167000
embedding,3904,66.362000
embedding,3968,64.897000
embedding,4032,95.188000
embedding,4096,93.248000
embedding,4224,68.415000
embedding,4352,66.490000
embedding,4480,75.981000
embedding,4608,70.467000
embedding,4736,75.988000
embedding,4864,73.876000
embedding,4992,79.725000
embedding,5120,115.778000
embedding,5248,87.162000
embedding,5376,81.410000
embedding,5504,88.626000
embedding,5632,85.126000
embedding,5760,91.994000
embedding,5888,88.975000
embedding,6016,95.691000
embedding,6144,139.448000
embedding,6272,98.419000
embedding,6400,96.310000
embedding,6528,103.271000
embedding,6656,99.946000
embedding,6784,109.535000
embedding,6912,103.653000
embedding,7040,110.522000
embedding,7168,162.583000
embedding,7296,116.771000
embedding,7424,111.100000
embedding,7552,120.587000
embedding,7680,114.832000
embedding,7808,124.523000
embedding,7936,118.536000
embedding,8064,124.503000
embedding,8192,185.463000
layernorm,1,2.783000
layernorm,2,1.856000
layernorm,3,1.960000
layernorm,4,1.951000
layernorm,5,1.949000
layernorm,6,1.981000
layernorm,7,1.955000
layernorm,8,1.961000
layernorm,9,2.009000
layernorm,10,2.008000
layernorm,11,1.971000
layernorm,12,2.042000
layernorm,13,2.053000
layernorm,14,2.043000
layernorm,15,2.023000
layernorm,16,1.990000
layernorm,20,2.065000
layernorm,24,2.097000
layernorm,28,2.151000
layernorm,32,2.208000
layernorm,36,2.277000
layernorm,40,2.220000
layernorm,44,2.378000
layernorm,48,2.341000
layernorm,52,2.452000
layernorm,56,2.417000
layernorm,60,2.517000
layernorm,64,2.479000
layernorm,80,2.614000
layernorm,96,2.852000
layernorm,112,2.990000
layernorm,128,3.063000
layernorm,144,3.217000
layernorm,160,3.382000
layernorm,176,3.566000
layernorm,192,3.751000
layernorm,208,3.818000
layernorm,224,3.900000
layernorm,240,4.097000
layernorm,256,4.383000
layernorm,272,4.088000
layernorm,288,3.938000
layernorm,304,4.051000
layernorm,320,4.427000
layernorm,336,4.336000
layernorm,352,4.485000
layernorm,368,4.629000
layernorm,384,4.741000
layernorm,400,4.897000
layernorm,416,5.028000
layernorm,432,5.212000
layernorm,448,5.306000
layernorm,464,5.683000
layernorm,480,5.597000
layernorm,496,5.764000
layernorm,512,5.894000
layernorm,544,6.192000
layernorm,576,6.492000
layernorm,608,6.746000
layernorm,640,7.028000
layernorm,672,7.337000
layernorm,704,7.646000
layernorm,736,7.917000
layernorm,768,8.206000
layernorm,800,8.578000
layernorm,832,8.813000
layernorm,864,9.071000
layernorm,896,9.382000
layernorm,928,9.633000
layernorm,960,9.953000
layernorm,992,10.225000
layernorm,1024,10.523000
layernorm,1056,10.868000
layernorm,1088,11.152000
layernorm,1120,11.404000
layernorm,1152,11.700000
layernorm,1184,11.986000
layernorm,1216,12.251000
layernorm,1248,12.592000
layernorm,1280,12.887000
layernorm,1312,13.157000
layernorm,1344,12.876000
layernorm,1376,13.172000
layernorm,1408,13.450000
layernorm,1440,13.586000
layernorm,1472,13.887000
layernorm,1504,14.193000
layernorm,1536,14.368000
layernorm,1568,14.788000
layernorm,1600,14.978000
layernorm,1632,15.137000
layernorm,1664,15.461000
layernorm,1696,15.744000
layernorm,1728,16.021000
layernorm,1760,16.170000
layernorm,1792,16.557000
layernorm,1824,16.799000
layernorm,1856,17.048000
layernorm,1888,17.297000
layernorm,1920,17.459000
layernorm,1952,17.725000
layernorm,1984,17.996000
layernorm,2016,18.318000
layernorm,2048,18.541000
layernorm,2112,19.066000
layernorm,2176,19.586000
layernorm,2240,20.361000
layernorm,2304,20.850000
layernorm,2368,21.328000
layernorm,2432,21.769000
layernorm,2496,22.213000
layernorm,2560,22.751000
layernorm,2624,23.326000
layernorm,2688,23.975000
layernorm,2752,24.504000
layernorm,2816,25.005000
layernorm,2880,25.427000
layernorm,2944,25.922000
layernorm,3008,26.372000
layernorm,3072,26.842000
layernorm,3136,28.163000
layernorm,3200,27.913000
layernorm,3264,28.760000
layernorm,3328,29.280000
layernorm,3392,29.766000
layernorm,3456,30.117000
layernorm,3520,30.627000
layernorm,3584,31.183000
layernorm,3648,32.097000
layernorm,3712,32.546000
layernorm,3776,32.952000
layernorm,3840,33.343000
layernorm,3904,34.032000
layernorm,3968,34.253000
layernorm,4032,34.778000
layernorm,4096,35.266000
layernorm,4224,36.292000
layernorm,4352,37.598000
layernorm,4480,38.328000
layernorm,4608,39.662000
layernorm,4736,40.729000
layernorm,4864,41.791000
layernorm,4992,44.094000
layernorm,5120,43.817000
layernorm,5248,44.986000
layernorm,5376,45.969000
