prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
32,0,1,True,2526,2506,2584,2688
64,0,1,True,4349,4347,4471,4509
96,0,1,True,3167,3156,3233,3265
128,0,1,True,3354,3326,3404,3711
128,0,1,True,3343,3317,3431,3521
160,0,1,True,6170,6177,6191,6342
192,0,1,True,6599,6572,6717,6746
224,0,1,True,7316,7307,7374,7451
256,0,1,True,7679,7674,7731,7803
288,0,1,True,12920,12905,12998,13061
320,0,1,True,13734,13685,13861,14002
352,0,1,True,14680,14668,14763,14766
384,0,1,True,15463,15447,15541,15561
416,0,1,True,22317,22309,22426,22498
448,0,1,True,23172,23173,23213,23242
480,0,1,True,25715,25700,25793,25840
512,0,1,True,26135,26126,26182,26282
544,0,1,True,36401,36387,36468,36586
576,0,1,True,39675,39668,39743,39775
608,0,1,True,39939,39927,40055,40123
640,0,1,True,39985,40003,40102,40134
672,0,1,True,51503,51499,51584,51606
704,0,1,True,53465,53446,53537,53559
736,0,1,True,56273,56271,56360,56377
768,0,1,True,54131,54118,54248,54326
800,0,1,True,72522,72507,72641,72684
832,0,1,True,71998,71999,72128,72170
864,0,1,True,201903,201730,202548,203665
896,0,1,True,208407,208382,208942,209176
928,0,1,True,248331,248356,248706,248922
960,0,1,True,254282,254212,254894,255458
992,0,1,True,260018,259918,260795,261084
1024,0,1,True,267750,267711,268350,268436
1024,0,1,True,267595,267483,267878,269011
1088,0,1,True,322909,322895,323201,323386
1152,0,1,True,337860,337848,338128,338265
1216,0,1,True,400308,394883,407212,490215
1280,0,1,True,425085,418006,452772,524192
1344,0,1,True,501400,485194,553671,622943
1408,0,1,True,522072,497009,654732,786583
1472,0,1,True,621256,575960,787862,968641
1536,0,1,True,652016,598415,884843,1187485
1600,0,1,True,756432,667650,1140231,1297186
1664,0,1,True,795112,688723,1096948,1663123
1728,0,1,True,875735,793454,1134325,1444943
1792,0,1,True,914909,811101,1233931,1803844
1856,0,1,True,1013832,891229,1347363,2057512
1920,0,1,True,1098382,922091,1701842,2053486
1984,0,1,True,1211057,1068238,1799658,1999581
2048,0,1,True,1234370,1040186,1980182,2442323
2112,0,1,True,1396281,1205056,2282498,2345060
2176,0,1,True,1445807,1218488,2703168,2730241
2240,0,1,True,1579258,1308642,3014995,3071766
2304,0,1,True,1603827,1340308,2999955,3077638
2368,0,1,True,1730859,1470826,2721933,2811815
2432,0,1,True,1832287,1481461,2846193,3199508
2496,0,1,True,1961811,1622064,3285461,3420281
2560,0,1,True,2024162,1689858,3213771,3355417
2624,0,1,True,2149257,1907051,3128899,3321651
2688,0,1,True,2193034,1973627,3746347,3822137
2752,0,1,True,2408102,2084053,3472157,3658353
2816,0,1,True,2497996,2121437,3328222,3522607
2880,0,1,True,2633602,2207831,3705622,3887960
2944,0,1,True,2696798,2228649,4255950,4371556
3008,0,1,True,2868590,2411004,4483032,4528166
3072,0,1,True,2928343,2465608,4489468,4652232
3136,0,1,True,3173390,2733102,4553718,4648788
3200,0,1,True,3272282,2884121,4664288,4997746
3264,0,1,True,3443592,2820473,5043394,5274793
3328,0,1,True,3522934,2787502,5337285,5373965
3392,0,1,True,3701921,2965800,5498957,5505989
3456,0,1,True,3755345,3112111,5431904,5487890
3520,0,1,True,3942491,3490961,5302627,5399878
3584,0,1,True,4037230,3718163,5155337,5422483
3648,0,1,True,4313473,4264832,5242417,5813756
3712,0,1,True,4389617,4361811,5653197,5727022
3776,0,1,True,4678515,4143515,5784581,5818170
3840,0,1,True,4768520,4273619,6068532,6117884
3904,0,1,True,4961724,4938254,6038662,6234473
