prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
1,0,0,0,268.385000
32,0,0,0,297.742000
64,0,0,0,293.948000
96,0,0,0,296.114000
128,0,0,0,296.161000
160,0,0,0,294.388000
192,0,0,0,294.505000
224,0,0,0,294.589000
256,0,0,0,295.312000
288,0,0,0,294.880000
320,0,0,0,293.093000
352,0,0,0,291.990000
384,0,0,0,292.297000
416,0,0,0,298.996000
448,0,0,0,292.580000
480,0,0,0,297.371000
512,0,0,0,293.047000
544,0,0,0,294.598000
576,0,0,0,295.768000
608,0,0,0,293.342000
640,0,0,0,295.925000
672,0,0,0,295.052000
704,0,0,0,294.905000
736,0,0,0,295.976000
768,0,0,0,296.136000
800,0,0,0,296.658000
832,0,0,0,297.243000
864,0,0,0,297.095000
896,0,0,0,294.904000
928,0,0,0,295.189000
960,0,0,0,296.738000
992,0,0,0,292.405000
1024,0,0,0,294.040000
1056,0,0,0,296.582000
1088,0,0,0,290.836000
1120,0,0,0,294.525000
1152,0,0,0,295.314000
1184,0,0,0,294.143000
1216,0,0,0,293.417000
1248,0,0,0,293.262000
1280,0,0,0,292.909000
1312,0,0,0,292.215000
1344,0,0,0,291.806000
1376,0,0,0,292.329000
1408,0,0,0,290.955000
1440,0,0,0,289.580000
1472,0,0,0,295.353000
1504,0,0,0,292.376000
1536,0,0,0,293.905000
1568,0,0,0,292.658000
1600,0,0,0,292.713000
1632,0,0,0,293.554000
1664,0,0,0,291.672000
1696,0,0,0,293.284000
1728,0,0,0,292.941000
1760,0,0,0,300.459000
1792,0,0,0,291.819000
1824,0,0,0,293.041000
1856,0,0,0,293.597000
1888,0,0,0,292.997000
1920,0,0,0,291.889000
1952,0,0,0,290.534000
1984,0,0,0,293.592000
2016,0,0,0,292.245000
2048,0,0,0,291.450000
2080,0,0,0,292.610000
2112,0,0,0,291.794000
2144,0,0,0,294.098000
2176,0,0,0,294.138000
2208,0,0,0,291.813000
2240,0,0,0,292.402000
2272,0,0,0,295.294000
2304,0,0,0,293.055000
2336,0,0,0,292.998000
2368,0,0,0,290.575000
2400,0,0,0,291.962000
2432,0,0,0,291.721000
2464,0,0,0,292.742000
2496,0,0,0,293.255000
2528,0,0,0,292.228000
2560,0,0,0,289.501000
2592,0,0,0,290.529000
2624,0,0,0,293.573000
2656,0,0,0,293.316000
2688,0,0,0,289.932000
2720,0,0,0,291.260000
2752,0,0,0,290.210000
2784,0,0,0,291.953000
2816,0,0,0,290.268000
2848,0,0,0,292.359000
2880,0,0,0,292.596000
2912,0,0,0,293.387000
2944,0,0,0,295.785000
2976,0,0,0,293.658000
3008,0,0,0,295.063000
3040,0,0,0,293.298000
3072,0,0,0,301.305000
0,0,1,32,285.140000
0,0,2,32,280.900000
0,0,3,32,287.070000
0,0,4,32,288.090000
0,0,5,32,283.550000
0,0,6,32,286.930000
0,0,7,32,282.840000
0,0,8,32,287.980000
0,0,9,32,287.340000
0,0,10,32,283.550000
0,0,11,32,287.070000
0,0,12,32,286.259000
0,0,13,32,285.270000
0,0,14,32,285.080000
0,0,15,32,282.880000
0,0,16,32,287.980000
0,0,17,32,287.870000
0,0,18,32,281.380000
0,0,19,32,280.710000
0,0,20,32,282.660000
0,0,21,32,279.460000
0,0,22,32,281.350000
0,0,23,32,279.410000
0,0,24,32,280.610000
0,0,25,32,282.530000
0,0,26,32,282.740000
0,0,27,32,283.520000
0,0,28,32,276.340000
0,0,29,32,281.440000
0,0,30,32,281.130000
0,0,31,32,282.720000
0,0,32,32,285.780000
0,0,1,64,281.930000
0,0,2,64,282.960000
0,0,3,64,280.980000
0,0,4,64,284.990000
0,0,5,64,282.010000
0,0,6,64,282.010000
0,0,7,64,279.180000
0,0,8,64,283.450000
0,0,9,64,283.630000
0,0,10,64,282.430000
0,0,11,64,283.420000
0,0,12,64,284.200000
0,0,13,64,282.020000
0,0,14,64,286.970000
0,0,15,64,282.800000
0,0,16,64,280.910000
0,0,17,64,281.890000
0,0,18,64,284.950000
