prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,32,1,False,285005,285140,302010,310970
0,32,2,False,278764,280900,295540,300210
0,32,3,False,286306,287070,304470,307570
0,32,4,False,285388,288090,300780,303060
0,32,5,False,287533,283550,308010,332410
0,32,6,False,287968,286930,306430,310940
0,32,7,False,285667,282840,310910,319700
0,32,8,False,292665,287980,316300,394560
0,32,9,False,286562,287340,307950,310460
0,32,10,False,287255,283550,306940,318500
0,32,11,False,285399,287070,302480,346629
0,32,12,False,285351,286259,308900,311820
0,32,13,False,283722,285270,300900,302140
0,32,14,False,286008,285080,304680,308860
0,32,15,False,283630,282880,305940,310730
0,32,16,False,286640,287980,304010,308540
0,32,17,False,286797,287870,304450,312580
0,32,18,False,282467,281380,302120,303200
0,32,19,False,284817,280710,301940,318910
0,32,20,False,281174,282660,296770,303499
0,32,21,False,282680,279460,299700,310560
0,32,22,False,281139,281350,302330,304490
0,32,23,False,283319,279410,303150,319890
0,32,24,False,281710,280610,300310,323020
0,32,25,False,285631,282530,303010,324600
0,32,26,False,285665,282740,309600,313680
0,32,27,False,284619,283520,305620,306420
0,32,28,False,282028,276340,304840,312650
0,32,29,False,282245,281440,301670,307750
0,32,30,False,282367,281130,299660,317340
0,32,31,False,284604,282720,303870,311600
0,32,32,False,285970,285780,308350,334450
0,64,1,False,281799,281930,299400,300810
0,64,2,False,283897,282960,308620,309630
0,64,3,False,284654,280980,301650,328190
0,64,4,False,284293,284990,299200,307200
0,64,5,False,281241,282010,300470,303990
0,64,6,False,282790,282010,298450,322190
0,64,7,False,281641,279180,301100,305160
0,64,8,False,281344,283450,301440,308280
0,64,9,False,286280,283630,308560,332710
0,64,10,False,282579,282430,297080,307850
0,64,11,False,282084,283420,296250,301210
0,64,12,False,284569,284200,301520,305940
0,64,13,False,283174,282020,299570,306980
0,64,14,False,285023,286970,307560,320780
0,64,15,False,283683,282800,310060,321310
0,64,16,False,286735,280910,311260,348040
0,64,17,False,285052,281890,303120,310960
0,64,18,False,282888,284950,302320,306230
0,64,19,False,282772,283600,300080,305541
0,64,20,False,282420,281889,300730,311770
0,64,21,False,283684,285010,300770,304880
0,64,22,False,281997,280420,302900,314600
0,64,23,False,283261,283430,301060,306040
0,64,24,False,285710,284280,304820,337050
0,64,25,False,279325,276750,299840,318920
0,64,26,False,291313,284930,308540,383090
0,64,27,False,283532,281070,299840,321930
0,64,28,False,285610,284080,304510,315599
0,64,29,False,285125,283270,303880,311480
0,64,30,False,284923,285750,301880,304750
0,64,31,False,284199,283300,301390,307990
0,64,32,False,284699,285930,303700,304550
0,96,1,False,287691,286520,305080,323220
0,96,2,False,287174,289050,304820,308320
0,96,3,False,287357,288250,304250,326490
0,96,4,False,286202,285050,303470,314510
0,96,5,False,283923,281320,300450,310290
0,96,6,False,283181,283490,299900,308140
0,96,7,False,286687,286320,305640,306990
0,96,8,False,285705,281910,310580,314950
0,96,9,False,287050,290140,300180,314820
0,96,10,False,285714,282880,307120,322510
0,96,11,False,286156,285210,306260,310540
0,96,12,False,285502,282560,303290,312680
0,96,13,False,286549,288640,300330,304010
0,96,14,False,286626,287310,304650,310000
0,96,15,False,286379,283020,309660,319440
0,96,16,False,297817,298330,314460,317180
0,96,17,False,297810,293290,316950,325730
0,96,18,False,298504,297670,315010,322620
0,96,19,False,300724,297380,317950,329640
0,96,20,False,300876,298050,317560,331140
0,96,21,False,305150,303300,318150,432700
0,96,22,False,301960,299080,326840,338890
