layer,sequences,time_us
lm_head,1,47.533000
lm_head,32,47.021000
lm_head,64,47.657000
lm_head,96,47.203000
lm_head,128,48.205000
lm_head,160,46.353000
lm_head,192,49.789000
lm_head,224,47.154000
lm_head,256,47.755000
lm_head,288,46.847000
lm_head,320,47.814000
lm_head,352,47.730000
lm_head,384,47.107000
lm_head,416,47.444000
lm_head,448,47.118000
lm_head,480,48.036000
lm_head,512,47.567000
lm_head,544,47.348000
lm_head,576,47.657000
lm_head,608,47.190000
lm_head,640,47.268000
lm_head,672,47.459000
lm_head,704,47.381000
lm_head,736,47.561000
lm_head,768,47.259000
lm_head,800,47.448000
lm_head,832,47.370000
lm_head,864,47.415000
lm_head,896,47.639000
lm_head,928,47.036000
lm_head,960,47.403000
lm_head,992,46.607000
lm_head,1024,47.617000
lm_head,1056,47.586000
lm_head,1088,47.112000
lm_head,1120,47.564000
lm_head,1152,47.099000
lm_head,1184,47.201000
lm_head,1216,47.177000
lm_head,1248,46.831000
lm_head,1280,47.416000
lm_head,1312,47.189000
lm_head,1344,47.118000
lm_head,1376,46.939000
lm_head,1408,46.451000
lm_head,1440,46.806000
lm_head,1472,47.260000
lm_head,1504,47.694000
lm_head,1536,46.924000
lm_head,1568,47.059000
lm_head,1600,47.376000
lm_head,1632,46.719000
lm_head,1664,47.723000
lm_head,1696,47.068000
lm_head,1728,47.497000
lm_head,1760,47.499000
lm_head,1792,47.015000
lm_head,1824,46.886000
lm_head,1856,47.357000
lm_head,1888,47.702000
lm_head,1920,46.289000
lm_head,1952,45.933000
lm_head,1984,46.940000
lm_head,2016,46.922000
lm_head,2048,47.058000
lm_head,2080,46.945000
lm_head,2112,47.370000
lm_head,2144,46.549000
lm_head,2176,47.212000
lm_head,2208,47.280000
lm_head,2240,47.196000
lm_head,2272,47.474000
lm_head,2304,47.163000
lm_head,2336,46.322000
lm_head,2368,46.696000
lm_head,2400,46.840000
lm_head,2432,47.218000
lm_head,2464,46.710000
lm_head,2496,47.144000
lm_head,2528,46.901000
lm_head,2560,46.334000
lm_head,2592,48.230000
lm_head,2624,47.535000
lm_head,2656,46.975000
lm_head,2688,47.490000
lm_head,2720,46.830000
lm_head,2752,46.936000
lm_head,2784,46.546000
lm_head,2816,46.745000
lm_head,2848,47.509000
lm_head,2880,46.761000
lm_head,2912,46.926000
lm_head,2944,47.369000
lm_head,2976,46.948000
lm_head,3008,47.105000
lm_head,3040,47.217000
lm_head,3072,48.002000
sampler,1,1.050000
sampler,32,2.600000
sampler,64,4.200000
sampler,96,5.800000
sampler,128,7.400000
sampler,160,9.000000
sampler,192,10.600000
sampler,224,12.200000
sampler,256,13.800000
sampler,288,15.400000
sampler,320,17.000000
sampler,352,18.600000
sampler,384,20.200000
sampler,416,21.800000
sampler,448,23.400000
sampler,480,25.000000
sampler,512,26.600000
sampler,544,28.200000
sampler,576,29.800000
sampler,608,31.400000
sampler,640,33.000000
sampler,672,34.600000
sampler,704,36.200000
sampler,736,37.800000
sampler,768,39.400000
sampler,800,41.000000
sampler,832,42.600000
sampler,864,44.200000
sampler,896,45.800000
sampler,928,47.400000
sampler,960,49.000000
sampler,992,50.600000
sampler,1024,52.200000
sampler,1056,53.800000
sampler,1088,55.400000
sampler,1120,57.000000
sampler,1152,58.600000
sampler,1184,60.200000
sampler,1216,61.800000
sampler,1248,63.400000
sampler,1280,65.000000
sampler,1312,66.600000
sampler,1344,68.200000
sampler,1376,69.800000
sampler,1408,71.400000
sampler,1440,73.000000
sampler,1472,74.600000
sampler,1504,76.200000
sampler,1536,77.800000
sampler,1568,79.400000
sampler,1600,81.000000
sampler,1632,82.600000
sampler,1664,84.200000
sampler,1696,85.800000
sampler,1728,87.400000
sampler,1760,89.000000
sampler,1792,90.600000
sampler,1824,92.200000
sampler,1856,93.800000
sampler,1888,95.400000
sampler,1920,97.000000
sampler,1952,98.600000
sampler,1984,100.200000
sampler,2016,101.800000
sampler,2048,103.400000
sampler,2080,105.000000
sampler,2112,106.600000
sampler,2144,108.200000
sampler,2176,109.800000
sampler,2208,111.400000
sampler,2240,113.000000
sampler,2272,114.600000
sampler,2304,116.200000
sampler,2336,117.800000
sampler,2368,119.400000
sampler,2400,121.000000
sampler,2432,122.600000
sampler,2464,124.200000
sampler,2496,125.800000
sampler,2528,127.400000
sampler,2560,129.000000
sampler,2592,130.600000
sampler,2624,132.200000
sampler,2656,133.800000
sampler,2688,135.400000
sampler,2720,137.000000
sampler,2752,138.600000
sampler,2784,140.200000
sampler,2816,141.800000
sampler,2848,143.400000
sampler,2880,145.000000
sampler,2912,146.600000
sampler,2944,148.200000
sampler,2976,149.800000
sampler,3008,151.400000
sampler,3040,153.000000
sampler,3072,154.600000
