hardware,model,layer_name,input,kv_cache,latency(ns)
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,3072,0,71563
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,3072,0,44605
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,3072,0,41694
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,3072,0,40105
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,3072,0,301305
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,3072,0,52407
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,3072,0,67225
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,3072,0,41172
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,3072,0,43504
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,3072,0,53496
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,3072,0,41919
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,3072,0,42516
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,3072,0,64310
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,3072,0,48002
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,3040,0,71124
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,3040,0,42533
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,3040,0,41850
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,3040,0,40677
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,3040,0,293298
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,3040,0,51766
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,3040,0,67476
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,3040,0,41298
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,3040,0,39917
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,3040,0,52646
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,3040,0,41374
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,3040,0,41677
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,3040,0,63083
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,3040,0,47217
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,3008,0,70274
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,3008,0,41976
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,3008,0,41725
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,3008,0,40129
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,3008,0,295063
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,3008,0,51519
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,3008,0,66800
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,3008,0,40515
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,3008,0,39660
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,3008,0,52369
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,3008,0,41129
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,3008,0,41198
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,3008,0,63420
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,3008,0,47105
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2976,0,70049
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2976,0,41547
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2976,0,41015
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,2976,0,39720
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,2976,0,293658
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,2976,0,51099
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,2976,0,66926
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,2976,0,40869
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,2976,0,39245
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,2976,0,52460
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,2976,0,40634
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,2976,0,41444
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,2976,0,62514
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,2976,0,46948
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2944,0,70667
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2944,0,42153
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2944,0,41561
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,2944,0,39766
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,2944,0,295785
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,2944,0,51505
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,2944,0,66933
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,2944,0,40920
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,2944,0,39813
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,2944,0,52431
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,2944,0,41145
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,2944,0,40948
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,2944,0,63399
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,2944,0,47369
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2912,0,70044
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2912,0,41837
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2912,0,41480
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,2912,0,41009
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,2912,0,293387
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,2912,0,50803
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,2912,0,66877
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,2912,0,40226
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,2912,0,39523
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,2912,0,52968
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,2912,0,41208
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,2912,0,41383
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,2912,0,63214
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,2912,0,46926
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2880,0,70452
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2880,0,42119
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2880,0,41464
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,2880,0,39605
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,2880,0,292596
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,2880,0,50998
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,2880,0,66742
