hardware,model,layer_name,input,kv_cache,latency(ns),scaled_latency(ns)
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,3072,0,71563,71776
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,3072,0,44605,44737
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,3072,0,41694,41818
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,3072,0,40105,40224
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,3072,0,301305,302203
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,3072,0,52407,52563
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,3072,0,67225,67425
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,3072,0,41172,41294
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,3072,0,43504,43633
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,3072,0,53496,53655
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,3072,0,41919,42043
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,3072,0,42516,42642
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,3072,0,64310,64501
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,3072,0,48002,48145
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,3040,0,71124,71336
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,3040,0,42533,42659
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,3040,0,41850,41974
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,3040,0,40677,40798
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,3040,0,293298,294172
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,3040,0,51766,51920
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,3040,0,67476,67677
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,3040,0,41298,41421
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,3040,0,39917,40036
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,3040,0,52646,52802
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,3040,0,41374,41497
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,3040,0,41677,41801
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,3040,0,63083,63271
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,3040,0,47217,47357
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,3008,0,70274,70483
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,3008,0,41976,42101
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,3008,0,41725,41849
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,3008,0,40129,40248
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,3008,0,295063,295942
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,3008,0,51519,51672
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,3008,0,66800,66999
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,3008,0,40515,40635
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,3008,0,39660,39778
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,3008,0,52369,52525
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,3008,0,41129,41251
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,3008,0,41198,41320
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,3008,0,63420,63609
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,3008,0,47105,47245
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2976,0,70049,70257
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2976,0,41547,41670
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2976,0,41015,41137
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,v_proj,2976,0,39720,39838
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,attn,2976,0,293658,294533
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,o_proj,2976,0,51099,51251
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,post_layernorm,2976,0,66926,67125
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,gate_proj,2976,0,40869,40990
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,up_proj,2976,0,39245,39361
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,act_fn,2976,0,52460,52616
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,down_proj,2976,0,40634,40755
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,embedding,2976,0,41444,41567
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,final_layernorm,2976,0,62514,62700
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,lm_head,2976,0,46948,47087
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,input_layernorm,2944,0,70667,70877
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,q_proj,2944,0,42153,42278
TPU-v6e-1,meta-llama/Llama-3.2-1B-Instruct,k_proj,2944,0,41561,41684
