run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,1,[4003],[2619],[300],2619,300,300,,1979.013,
1,OK,1,[6171],[473],[72],473,72,72,,453.689,
2,OK,1,[9237],[3],[87],3,87,87,,529.922,
3,OK,1,[8023],[11],[138],11,138,138,,836.587,
4,OK,1,[8],[42],[27],42,27,27,,167.874,
5,OK,1,[3781],[22],[285],22,285,285,,1723.033,
6,OK,1,[3819],[52],[154],52,154,154,,932.888,
7,OK,1,[1627],[391],[439],391,439,439,,2668.324,
8,OK,1,[4109],[26],[171],26,171,171,,1035.089,
9,OK,1,[9009],[11],[44],11,44,44,,270.4,
10,OK,1,[7641],[24],[332],24,332,332,,2006.325,
11,OK,1,[9766],[19],[165],19,165,165,,999.97,
12,OK,1,[9680],[8],[236],8,236,236,,1427.544,
13,OK,1,[957],[41],[611],41,611,611,,3689.945,
14,OK,1,[593],[1025],[152],1025,152,152,,962.113,
15,OK,1,[688],[55],[529],55,529,529,,3196.308,
16,OK,1,[9710],[39],[768],39,768,768,,4639.688,
17,OK,1,[9343],[14],[139],14,139,139,,842.962,
18,OK,1,[5863],[7],[334],7,334,334,,2019.103,
19,OK,1,[4897],[3389],[107],3389,107,107,,807.315,
20,OK,1,[9075],[221],[767],221,767,767,,4641.652,
21,OK,1,[251],[1300],[277],1300,277,277,,1730.883,
22,OK,1,[5671],[18],[648],18,648,648,,3914.356,
23,OK,1,[6681],[13],[250],13,250,250,,1511.772,
24,OK,1,[1452],[229],[115],229,115,115,,703.232,
25,OK,1,[4762],[138],[224],138,224,224,,1357.898,
26,OK,1,[6446],[9],[104],9,104,104,,631.641,
27,OK,1,[2706],[7],[47],7,47,47,,287.882,
28,OK,1,[8328],[18],[104],18,104,104,,632.178,
29,OK,1,[6759],[1853],[306],1853,306,306,,1943.908,
30,OK,1,[9435],[19],[227],19,227,227,,1373.991,
31,OK,1,[9584],[25],[226],25,226,226,,1367.064,
32,OK,1,[464],[79],[451],79,451,451,,2725.846,
33,OK,1,[2840],[42],[257],42,257,257,,1554.114,
34,OK,1,[7847],[13],[19],13,19,19,,119.2,
35,OK,1,[5796],[570],[184],570,184,184,,1132.139,
36,OK,1,[8404],[47],[164],47,164,164,,993.188,
37,OK,1,[8505],[136],[125],136,125,125,,761.055,
38,OK,1,[8566],[4],[245],4,245,245,,1481.836,
39,OK,1,[9965],[20],[126],20,126,126,,763.802,
40,OK,1,[5910],[10],[320],10,320,320,,1933.571,
41,OK,1,[1003],[1784],[150],1784,150,150,,988.743,
42,OK,1,[5031],[18],[237],18,237,237,,1433.511,
43,OK,1,[9264],[13],[198],13,198,198,,1198.036,
44,OK,1,[78],[72],[373],72,373,373,,2254.576,
45,OK,1,[1245],[11],[390],11,390,390,,2356.478,
46,OK,1,[5405],[22],[191],22,191,191,,1155.486,
47,OK,1,[7389],[381],[278],381,278,278,,1691.201,
48,OK,1,[9070],[26],[371],26,371,371,,2241.601,
49,OK,1,[7808],[28],[355],28,355,355,,2144.85,
