run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,1,[4003],[8],[1043],8,1043,1043,,6302.872,
1,OK,1,[6171],[15],[189],15,189,189,,1144.442,
2,OK,1,[9237],[12],[418],12,418,418,,2525.997,
3,OK,1,[8023],[15],[301],15,301,301,,1820.451,
4,OK,1,[8],[25],[1418],25,1418,1418,,8576.822,
5,OK,1,[3781],[51],[461],51,461,461,,2785.15,
6,OK,1,[3819],[29],[576],29,576,576,,3480.215,
7,OK,1,[1627],[50],[1031],50,1031,1031,,6230.875,
8,OK,1,[4109],[55],[232],55,232,232,,1404.016,
9,OK,1,[9009],[10],[834],10,834,834,,5038.832,
10,OK,1,[7641],[27],[720],27,720,720,,4349.939,
11,OK,1,[9766],[16],[560],16,560,560,,3383.698,
12,OK,1,[9680],[28],[1296],28,1296,1296,,7836.066,
13,OK,1,[957],[19],[450],19,450,450,,2719.684,
14,OK,1,[593],[28],[356],28,356,356,,2151.579,
15,OK,1,[688],[28],[1811],28,1811,1811,,10965.391,
16,OK,1,[9710],[56],[1835],56,1835,1835,,11115.304,
17,OK,1,[9343],[38],[692],38,692,692,,4180.169,
18,OK,1,[5863],[58],[1511],58,1511,1511,,9142.682,
19,OK,1,[4897],[31],[2357],31,2357,2357,,14303.991,
20,OK,1,[9075],[34],[179],34,179,179,,1084.518,
21,OK,1,[251],[25],[350],25,350,350,,2115.005,
22,OK,1,[5671],[22],[124],22,124,124,,752.439,
23,OK,1,[6681],[40],[321],40,321,321,,1940.318,
24,OK,1,[1452],[35],[896],35,896,896,,5414.499,
25,OK,1,[4762],[19],[1601],19,1601,1601,,9686.349,
26,OK,1,[6446],[11],[1475],11,1475,1475,,8922.909,
27,OK,1,[2706],[32],[375],32,375,375,,2267.127,
28,OK,1,[8328],[54],[1172],54,1172,1172,,7085.222,
29,OK,1,[6759],[31],[523],31,523,523,,3159.758,
30,OK,1,[9435],[30],[1059],30,1059,1059,,6400.252,
31,OK,1,[9584],[29],[550],29,550,550,,3323.029,
32,OK,1,[464],[33],[1053],33,1053,1053,,6363.445,
33,OK,1,[2840],[33],[597],33,597,597,,3606.376,
34,OK,1,[7847],[11],[1409],11,1409,1409,,8521.927,
35,OK,1,[5796],[36],[1996],36,1996,1996,,12095.246,
36,OK,1,[8404],[18],[604],18,604,604,,3648.736,
37,OK,1,[8505],[28],[394],28,394,394,,2381.355,
38,OK,1,[8566],[24],[262],24,262,262,,1584.112,
39,OK,1,[9965],[32],[235],32,235,235,,1422.371,
40,OK,1,[5910],[19],[167],19,167,167,,1011.568,
41,OK,1,[1003],[14],[503],14,503,503,,3039.002,
42,OK,1,[5031],[30],[1229],30,1229,1229,,7430.479,
43,OK,1,[9264],[41],[1440],41,1440,1440,,8710.002,
44,OK,1,[78],[40],[786],40,786,786,,4748.661,
45,OK,1,[1245],[6],[641],6,641,641,,3871.756,
46,OK,1,[5405],[18],[1924],18,1924,1924,,11655.733,
47,OK,1,[7389],[22],[1238],22,1238,1238,,7484.508,
48,OK,1,[9070],[25],[840],25,840,840,,5074.769,
49,OK,1,[7808],[65],[1328],65,1328,1328,,8031.969,
