run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,2,"[1912, 297]","[6015, 6939]","[201, 393]",6939,393,393,,2834.888,
1,OK,2,"[4144, 3687]","[2482, 2839]","[136, 95]",2839,136,136,,897.073,
2,OK,2,"[6561, 1403]","[2057, 4839]","[225, 273]",4839,273,273,,1859.198,
3,OK,2,"[1506, 1012]","[5968, 1669]","[351, 241]",5968,351,351,,2354.705,
4,OK,2,"[1594, 6597]","[2285, 2491]","[72, 121]",2491,121,121,,776.347,
5,OK,2,"[7479, 9164]","[3200, 3854]","[371, 172]",3854,371,371,,2434.908,
6,OK,2,"[134, 5011]","[6766, 5210]","[145, 88]",6766,145,145,,1005.034,
7,OK,2,"[1318, 8838]","[4413, 6209]","[178, 127]",6209,178,178,,1231.064,
8,OK,2,"[5152, 5937]","[5800, 6961]","[189, 151]",6961,189,189,,1334.53,
9,OK,2,"[7339, 579]","[7704, 2570]","[303, 307]",7704,307,307,,2145.561,
10,OK,2,"[1508, 4697]","[7700, 4741]","[249, 124]",7700,249,249,,1710.652,
11,OK,2,"[153, 7502]","[5588, 6474]","[250, 150]",6474,250,250,,1727.748,
12,OK,2,"[7759, 4657]","[6144, 5594]","[106, 244]",6144,244,244,,1669.983,
13,OK,2,"[693, 258]","[7185, 4753]","[341, 85]",7185,341,341,,2283.755,
14,OK,2,"[439, 8288]","[6324, 3699]","[147, 230]",6324,230,230,,1560.13,
15,OK,2,"[6304, 5603]","[6653, 5368]","[240, 131]",6653,240,240,,1658.165,
16,OK,2,"[1805, 912]","[7451, 4280]","[160, 181]",7451,181,181,,1270.357,
17,OK,2,"[3526, 8847]","[6781, 1098]","[174, 59]",6781,174,174,,1172.473,
18,OK,2,"[4569, 2964]","[6119, 6357]","[122, 247]",6357,247,247,,1703.787,
19,OK,2,"[1908, 1888]","[6649, 6231]","[104, 259]",6649,259,259,,1772.964,
20,OK,2,"[1777, 3778]","[4599, 6672]","[218, 154]",6672,218,218,,1509.912,
21,OK,2,"[1864, 6695]","[2266, 4635]","[63, 309]",4635,309,309,,1993.203,
22,OK,2,"[1992, 884]","[4585, 4114]","[271, 295]",4585,295,295,,2038.78,
23,OK,2,"[7089, 9227]","[2272, 6554]","[189, 168]",6554,189,189,,1312.645,
24,OK,2,"[3160, 2585]","[5165, 3229]","[131, 30]",5165,131,131,,867.752,
25,OK,2,"[5338, 534]","[6579, 5091]","[112, 105]",6579,112,112,,797.217,
26,OK,2,"[8478, 9857]","[6216, 6214]","[180, 183]",6216,183,183,,1320.152,
27,OK,2,"[3765, 1928]","[6095, 6996]","[252, 152]",6996,252,252,,1750.957,
28,OK,2,"[4750, 7259]","[3824, 3771]","[144, 194]",3824,194,194,,1305.034,
29,OK,2,"[4693, 2056]","[7826, 5232]","[198, 229]",7826,229,229,,1633.347,
30,OK,2,"[4100, 2619]","[2190, 5581]","[219, 120]",5581,219,219,,1441.531,
31,OK,2,"[4179, 1735]","[2710, 1294]","[201, 158]",2710,201,201,,1307.376,
32,OK,2,"[1582, 3457]","[2973, 6175]","[284, 124]",6175,284,284,,1877.637,
33,OK,2,"[3931, 8638]","[6463, 5665]","[270, 199]",6463,270,270,,1891.773,
34,OK,2,"[4799, 5115]","[6605, 3304]","[314, 104]",6605,314,314,,2100.517,
35,OK,2,"[1790, 6870]","[2386, 3678]","[31, 134]",3678,134,134,,860.996,
36,OK,2,"[4826, 6355]","[3642, 7128]","[69, 222]",7128,222,222,,1511.688,
37,OK,2,"[5008, 7030]","[5793, 3866]","[243, 114]",5793,243,243,,1645.454,
38,OK,2,"[6534, 7156]","[2410, 7359]","[111, 285]",7359,285,285,,1939.589,
39,OK,2,"[6591, 9050]","[4576, 7145]","[84, 234]",7145,234,234,,1602.887,
40,OK,2,"[8813, 4828]","[7335, 4942]","[221, 271]",7335,271,271,,1893.65,
41,OK,2,"[4749, 9316]","[6347, 4763]","[277, 100]",6347,277,277,,1871.202,
42,OK,2,"[7505, 3498]","[4977, 5697]","[94, 155]",5697,155,155,,1073.534,
43,OK,2,"[6750, 3117]","[4688, 5907]","[214, 382]",5907,382,382,,2627.57,
44,OK,2,"[535, 1378]","[7804, 1848]","[145, 100]",7804,145,145,,994.983,
45,OK,2,"[8469, 6076]","[2876, 4743]","[132, 193]",4743,193,193,,1305.74,
46,OK,2,"[1158, 7099]","[2131, 4118]","[222, 167]",4118,222,222,,1473.506,
47,OK,2,"[387, 1391]","[6569, 6523]","[233, 197]",6569,233,233,,1655.829,
48,OK,2,"[839, 7115]","[4480, 1120]","[202, 104]",4480,202,202,,1316.301,
49,OK,2,"[5398, 9034]","[2971, 6593]","[99, 160]",6593,160,160,,1104.793,
