run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,2,"[4003, 6171]","[1751, 733]","[44, 75]",1751,75,75,,474.463,
1,OK,2,"[9237, 8023]","[1279, 508]","[57, 58]",1279,58,58,,380.997,
2,OK,2,"[8, 3781]","[606, 822]","[49, 79]",822,79,79,,496.828,
3,OK,2,"[3819, 1627]","[826, 1714]","[69, 142]",1714,142,142,,897.776,
4,OK,2,"[4109, 9009]","[1536, 708]","[39, 42]",1536,42,42,,273.427,
5,OK,2,"[7641, 9766]","[1230, 737]","[78, 51]",1230,78,78,,493.664,
6,OK,2,"[9680, 957]","[1673, 1042]","[61, 101]",1673,101,101,,651.01,
7,OK,2,"[593, 688]","[764, 947]","[40, 83]",947,83,83,,518.873,
8,OK,2,"[9710, 9343]","[490, 387]","[74, 62]",490,74,74,,469.129,
9,OK,2,"[5863, 4897]","[271, 398]","[72, 72]",398,72,72,,458.572,
10,OK,2,"[9075, 251]","[838, 1027]","[95, 108]",1027,108,108,,692.599,
11,OK,2,"[5671, 6681]","[379, 838]","[59, 96]",838,96,96,,602.463,
12,OK,2,"[1452, 4762]","[854, 803]","[43, 55]",854,55,55,,356.719,
13,OK,2,"[6446, 2706]","[954, 639]","[58, 53]",954,58,58,,372.759,
14,OK,2,"[8328, 6759]","[689, 882]","[12, 45]",882,45,45,,285.084,
15,OK,2,"[9435, 9584]","[1340, 802]","[62, 63]",1340,63,63,,405.01,
16,OK,2,"[464, 2840]","[495, 993]","[42, 67]",993,67,67,,428.756,
17,OK,2,"[7847, 5796]","[523, 846]","[41, 63]",846,63,63,,405.704,
18,OK,2,"[8404, 8505]","[1138, 2033]","[39, 57]",2033,57,57,,367.294,
19,OK,2,"[8566, 9965]","[731, 863]","[70, 47]",863,70,70,,443.322,
20,OK,2,"[5910, 1003]","[1401, 1044]","[55, 60]",1401,60,60,,391.824,
21,OK,2,"[5031, 9264]","[1879, 830]","[72, 63]",1879,72,72,,467.064,
22,OK,2,"[78, 1245]","[561, 1109]","[43, 63]",1109,63,63,,399.153,
23,OK,2,"[5405, 7389]","[884, 656]","[37, 43]",884,43,43,,281.067,
24,OK,2,"[9070, 7808]","[793, 422]","[56, 67]",793,67,67,,433.195,
25,OK,2,"[9858, 256]","[442, 1292]","[49, 50]",1292,50,50,,330.46,
26,OK,2,"[787, 3072]","[588, 249]","[136, 69]",588,136,136,,845.38,
27,OK,2,"[4360, 4464]","[661, 1236]","[59, 92]",1236,92,92,,588.017,
28,OK,2,"[1592, 2279]","[572, 245]","[50, 47]",572,50,50,,321.529,
29,OK,2,"[9148, 817]","[685, 719]","[64, 62]",719,64,64,,408.956,
30,OK,2,"[2824, 1252]","[561, 652]","[47, 48]",652,48,48,,307.643,
31,OK,2,"[2402, 2138]","[427, 838]","[36, 29]",838,36,36,,231.03,
32,OK,2,"[603, 9216]","[231, 576]","[27, 77]",576,77,77,,485.486,
33,OK,2,"[8275, 743]","[488, 519]","[24, 106]",519,106,106,,652.186,
34,OK,2,"[829, 3997]","[1314, 1182]","[73, 64]",1314,73,73,,474.342,
35,OK,2,"[1209, 423]","[1800, 1052]","[125, 82]",1800,125,125,,798.728,
36,OK,2,"[5585, 3713]","[649, 964]","[77, 108]",964,108,108,,680.524,
37,OK,2,"[846, 5715]","[690, 887]","[77, 46]",887,77,77,,483.55,
38,OK,2,"[6439, 9133]","[346, 2001]","[45, 68]",2001,68,68,,442.382,
39,OK,2,"[5555, 909]","[194, 2055]","[64, 54]",2055,64,64,,413.124,
40,OK,2,"[3071, 6133]","[540, 1292]","[106, 125]",1292,125,125,,793.222,
41,OK,2,"[9258, 4021]","[723, 1087]","[81, 80]",1087,81,81,,518.351,
42,OK,2,"[6806, 5401]","[2230, 557]","[53, 79]",2230,79,79,,511.938,
43,OK,2,"[726, 9769]","[432, 1178]","[93, 61]",1178,93,93,,587.26,
44,OK,2,"[4310, 307]","[499, 736]","[95, 58]",736,95,95,,594.649,
45,OK,2,"[1300, 8318]","[634, 619]","[13, 72]",634,72,72,,444.234,
46,OK,2,"[2212, 6705]","[798, 300]","[76, 43]",798,76,76,,476.541,
47,OK,2,"[7407, 1539]","[936, 408]","[89, 71]",936,89,89,,563.132,
48,OK,2,"[9030, 359]","[874, 819]","[75, 53]",874,75,75,,473.919,
49,OK,2,"[5118, 376]","[775, 1109]","[59, 61]",1109,61,61,,391.08,
