run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,1,[4003],[1751],[44],1751,44,44,,527.691,
1,OK,1,[6171],[733],[75],733,75,75,,801.239,
2,OK,1,[9237],[1279],[57],1279,57,57,,643.404,
3,OK,1,[8023],[508],[58],508,58,58,,617.226,
4,OK,1,[8],[606],[49],606,49,49,,526.397,
5,OK,1,[3781],[822],[79],822,79,79,,845.847,
6,OK,1,[3819],[826],[69],826,69,69,,744.191,
7,OK,1,[1627],[1714],[142],1714,142,142,,1568.552,
8,OK,1,[4109],[1536],[39],1536,39,39,,462.785,
9,OK,1,[9009],[708],[42],708,42,42,,458.738,
10,OK,1,[7641],[1230],[78],1230,78,78,,861.509,
11,OK,1,[9766],[737],[51],737,51,51,,551.822,
12,OK,1,[9680],[1673],[61],1673,61,61,,706.649,
13,OK,1,[957],[1042],[101],1042,101,101,,1088.062,
14,OK,1,[593],[764],[40],764,40,40,,438.47,
15,OK,1,[688],[947],[83],947,83,83,,898.681,
16,OK,1,[9710],[490],[74],490,74,74,,783.043,
17,OK,1,[9343],[387],[62],387,62,62,,656.012,
18,OK,1,[5863],[271],[72],271,72,72,,758.047,
19,OK,1,[4897],[398],[72],398,72,72,,760.69,
20,OK,1,[9075],[838],[95],838,95,95,,1016.026,
21,OK,1,[251],[1027],[108],1027,108,108,,1163.053,
22,OK,1,[5671],[379],[59],379,59,59,,623.405,
23,OK,1,[6681],[838],[96],838,96,96,,1024.776,
24,OK,1,[1452],[854],[43],854,43,43,,474.937,
25,OK,1,[4762],[803],[55],803,55,55,,598.14,
26,OK,1,[6446],[954],[58],954,58,58,,638.229,
27,OK,1,[2706],[639],[53],639,53,53,,569.385,
28,OK,1,[8328],[689],[12],689,12,12,,145.315,
29,OK,1,[6759],[882],[45],882,45,45,,494.272,
30,OK,1,[9435],[1340],[62],1340,62,62,,698.217,
31,OK,1,[9584],[802],[63],802,63,63,,680.579,
32,OK,1,[464],[495],[42],495,42,42,,451.095,
33,OK,1,[2840],[993],[67],993,67,67,,731.258,
34,OK,1,[7847],[523],[41],523,41,41,,443.443,
35,OK,1,[5796],[846],[63],846,63,63,,681.554,
36,OK,1,[8404],[1138],[39],1138,39,39,,443.803,
37,OK,1,[8505],[2033],[57],2033,57,57,,685.379,
38,OK,1,[8566],[731],[70],731,70,70,,750.312,
39,OK,1,[9965],[863],[47],863,47,47,,515.73,
40,OK,1,[5910],[1401],[55],1401,55,55,,631.225,
41,OK,1,[1003],[1044],[60],1044,60,60,,662.013,
42,OK,1,[5031],[1879],[72],1879,72,72,,836.299,
43,OK,1,[9264],[830],[63],830,63,63,,681.914,
44,OK,1,[78],[561],[43],561,43,43,,464.815,
45,OK,1,[1245],[1109],[63],1109,63,63,,694.212,
46,OK,1,[5405],[884],[37],884,37,37,,412.436,
47,OK,1,[7389],[656],[43],656,43,43,,468.22,
48,OK,1,[9070],[793],[56],793,56,56,,607.09,
49,OK,1,[7808],[422],[67],422,67,67,,709.596,
