instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,1751,44,0,348623408,348623408,1,85496941,6119220,"[6118057, 6118105, 6118169, 6118217, 6118281, 6118329, 6118393, 6118441, 6118505, 6118553, 6118617, 6118665, 6118729, 6118777, 6118841, 6118889, 6118953, 6119001, 6119065, 6119113, 6119161, 6119225, 6119273, 6119337, 6119385, 6119449, 6119497, 6119561, 6119609, 6119657, 6119721, 6119769, 6119833, 6119881, 6119945, 6119993, 6120041, 6120105, 6120153, 6120217, 6120265, 6120313, 6120377]"
0,1,meta-llama/Llama-3.2-1B-Instruct,733,75,0,830953193,830953193,348623408,382776575,6056440,"[6054905, 6054937, 6054985, 6055033, 6055065, 6055113, 6055161, 6055209, 6055241, 6055289, 6055337, 6055369, 6055417, 6055465, 6055497, 6055545, 6055593, 6055625, 6055673, 6055721, 6055753, 6055801, 6055849, 6055881, 6055929, 6055977, 6056009, 6056057, 6056105, 6056137, 6056185, 6056217, 6056265, 6056313, 6056345, 6056393, 6056425, 6056473, 6056521, 6056553, 6056601, 6056633, 6056681, 6056729, 6056761, 6056809, 6056841, 6056889, 6056921, 6056969, 6057017, 6057049, 6057097, 6057129, 6057177, 6057209, 6057257, 6057289, 6057337, 6057369, 6057417, 6057449, 6057497, 6057529, 6057577, 6057625, 6057657, 6057705, 6057737, 6057785, 6057817, 6057865, 6057897, 6057929]"
0,2,meta-llama/Llama-3.2-1B-Instruct,1279,57,0,1226495845,1226495845,830953193,885488557,6089415,"[6087337, 6087417, 6087497, 6087577, 6087641, 6087721, 6087801, 6087881, 6087961, 6088025, 6088105, 6088185, 6088249, 6088329, 6088409, 6088489, 6088553, 6088633, 6088713, 6088793, 6088857, 6088937, 6089017, 6089081, 6089161, 6089241, 6089305, 6089385, 6089465, 6089529, 6089609, 6089689, 6089753, 6089833, 6089913, 6089977, 6090057, 6090137, 6090201, 6090281, 6090361, 6090425, 6090505, 6090569, 6090649, 6090729, 6090793, 6090873, 6090953, 6091017, 6091097, 6091161, 6091241, 6091321, 6091385, 6091465]"
0,3,meta-llama/Llama-3.2-1B-Instruct,508,58,0,1594877859,1594877859,1226495845,1250320498,6044865,"[6043289, 6043321, 6043353, 6043385, 6043417, 6043465, 6043529, 6043593, 6043657, 6043721, 6043785, 6043849, 6043913, 6043961, 6044025, 6044089, 6044153, 6044217, 6044265, 6044329, 6044393, 6044457, 6044521, 6044569, 6044633, 6044697, 6044761, 6044809, 6044873, 6044937, 6045001, 6045049, 6045113, 6045177, 6045225, 6045289, 6045353, 6045401, 6045465, 6045529, 6045577, 6045641, 6045705, 6045753, 6045817, 6045881, 6045929, 6045993, 6046041, 6046105, 6046169, 6046217, 6046281, 6046329, 6046393, 6046457, 6046505]"
0,4,meta-llama/Llama-3.2-1B-Instruct,606,49,0,1913719908,1913719908,1594877859,1623319156,6050015,"[6048809, 6048857, 6048905, 6048969, 6049017, 6049065, 6049113, 6049177, 6049225, 6049273, 6049337, 6049385, 6049433, 6049481, 6049529, 6049593, 6049641, 6049689, 6049737, 6049801, 6049849, 6049897, 6049945, 6049993, 6050057, 6050105, 6050153, 6050201, 6050249, 6050297, 6050345, 6050409, 6050457, 6050505, 6050553, 6050601, 6050649, 6050697, 6050745, 6050809, 6050857, 6050905, 6050953, 6051001, 6051049, 6051097, 6051145, 6051193]"
0,5,meta-llama/Llama-3.2-1B-Instruct,822,79,0,2427006128,2427006128,1913719908,1954324482,6060021,"[6058569, 6058601, 6058649, 6058681, 6058729, 6058761, 6058793, 6058841, 6058873, 6058921, 6058953, 6058985, 6059033, 6059065, 6059113, 6059145, 6059177, 6059225, 6059257, 6059305, 6059337, 6059369, 6059417, 6059449, 6059481, 6059529, 6059561, 6059593, 6059641, 6059673, 6059721, 6059753, 6059785, 6059833, 6059865, 6059897, 6059945, 6059977, 6060009, 6060057, 6060089, 6060121, 6060169, 6060201, 6060233, 6060265, 6060313, 6060345, 6060377, 6060425, 6060457, 6060489, 6060537, 6060569, 6060601, 6060633, 6060681, 6060713, 6060745, 6060793, 6060825, 6060857, 6060889, 6060937, 6060969, 6061001, 6061033, 6061081, 6061113, 6061145, 6061177, 6061225, 6061257, 6061289, 6061321, 6061369, 6061401, 6061433]"
0,6,meta-llama/Llama-3.2-1B-Instruct,826,69,0,2879744582,2879744582,2427006128,2467665506,6059986,"[6058729, 6058761, 6058793, 6058841, 6058873, 6058921, 6058953, 6058985, 6059033, 6059065, 6059113, 6059145, 6059177, 6059225, 6059257, 6059305, 6059337, 6059369, 6059417, 6059449, 6059481, 6059529, 6059561, 6059593, 6059641, 6059673, 6059721, 6059753, 6059785, 6059833, 6059865, 6059897, 6059945, 6059977, 6060009, 6060057, 6060089, 6060121, 6060169, 6060201, 6060233, 6060265, 6060313, 6060345, 6060377, 6060425, 6060457, 6060489, 6060537, 6060569, 6060601, 6060633, 6060681, 6060713, 6060745, 6060793, 6060825, 6060857, 6060889, 6060937, 6060969, 6061001, 6061033, 6061081, 6061113, 6061145, 6061177, 6061225]"
0,7,meta-llama/Llama-3.2-1B-Instruct,1714,142,0,3827642845,3827642845,2879744582,2964742984,6119857,"[6115961, 6116025, 6116089, 6116137, 6116201, 6116249, 6116313, 6116361, 6116425, 6116473, 6116537, 6116601, 6116649, 6116713, 6116761, 6116825, 6116873, 6116937, 6116985, 6117049, 6117097, 6117161, 6117209, 6117273, 6117321, 6117385, 6117433, 6117497, 6117561, 6117609, 6117673, 6117721, 6117785, 6117833, 6117897, 6117945, 6118009, 6118057, 6118105, 6118169, 6118217, 6118281, 6118329, 6118393, 6118441, 6118505, 6118553, 6118617, 6118665, 6118729, 6118777, 6118841, 6118889, 6118953, 6119001, 6119065, 6119113, 6119161, 6119225, 6119273, 6119337, 6119385, 6119449, 6119497, 6119561, 6119609, 6119657, 6119721, 6119769, 6119833, 6119881, 6119945, 6119993, 6120041, 6120105, 6120153, 6120217, 6120265, 6120313, 6120377, 6120425, 6120489, 6120537, 6120585, 6120649, 6120697, 6120761, 6120809, 6120857, 6120921, 6120969, 6121033, 6121081, 6121129, 6121193, 6121241, 6121305, 6121353, 6121401, 6121465, 6121513, 6121561, 6121625, 6121673, 6121721, 6121785, 6121833, 6121897, 6121945, 6121993, 6122057, 6122105, 6122153, 6122217, 6122265, 6122313, 6122377, 6122425, 6122473, 6122537, 6122585, 6122633, 6122697, 6122745, 6122793, 6122857, 6122905, 6122953, 6123017, 6123065, 6123113, 6123177, 6123225, 6123273, 6123337, 6123385, 6123433, 6123481, 6123545, 6123593, 6123641]"
0,8,meta-llama/Llama-3.2-1B-Instruct,1536,39,0,4129100502,4129100502,3827642845,3897056736,6106414,"[6105241, 6105305, 6105369, 6105433, 6105497, 6105561, 6105625, 6105689, 6105753, 6105817, 6105881, 6105945, 6106009, 6106073, 6106137, 6106201, 6106265, 6106329, 6106393, 6106457, 6106505, 6106569, 6106633, 6106697, 6106761, 6106825, 6106889, 6106953, 6107017, 6107081, 6107145, 6107209, 6107257, 6107321, 6107385, 6107449, 6107513, 6107577]"
0,9,meta-llama/Llama-3.2-1B-Instruct,708,42,0,4411098262,4411098262,4129100502,4162856613,6054674,"[6053785, 6053833, 6053881, 6053929, 6053961, 6054009, 6054057, 6054105, 6054153, 6054185, 6054233, 6054281, 6054329, 6054361, 6054409, 6054457, 6054505, 6054553, 6054585, 6054633, 6054681, 6054729, 6054761, 6054809, 6054857, 6054905, 6054937, 6054985, 6055033, 6055065, 6055113, 6055161, 6055209, 6055241, 6055289, 6055337, 6055369, 6055417, 6055465, 6055497, 6055545]"
