instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,6015,201,0,1597033691,1597033691,1,289040819,6539964,"[6532521, 6532601, 6532681, 6532745, 6532825, 6532905, 6532985, 6533049, 6533129, 6533209, 6533273, 6533353, 6533433, 6533513, 6533577, 6533657, 6533737, 6533801, 6533881, 6533961, 6534041, 6534105, 6534185, 6534265, 6534329, 6534409, 6534489, 6534553, 6534633, 6534713, 6534793, 6534857, 6534937, 6535017, 6535081, 6535161, 6535241, 6535305, 6535385, 6535465, 6535545, 6535609, 6535689, 6535769, 6535833, 6535913, 6535993, 6536057, 6536137, 6536217, 6536281, 6536361, 6536441, 6536521, 6536585, 6536665, 6536745, 6536809, 6536889, 6536969, 6537033, 6537113, 6537193, 6537257, 6537337, 6537417, 6537481, 6537561, 6537641, 6537705, 6537785, 6537865, 6537929, 6538009, 6538089, 6538153, 6538233, 6538313, 6538377, 6538457, 6538537, 6538601, 6538681, 6538761, 6538825, 6538905, 6538985, 6539049, 6539129, 6539209, 6539273, 6539353, 6539433, 6539497, 6539577, 6539657, 6539721, 6539801, 6539865, 6539945, 6540025, 6540089, 6540169, 6540249, 6540313, 6540393, 6540473, 6540537, 6540617, 6540697, 6540761, 6540841, 6540921, 6540985, 6541065, 6541129, 6541209, 6541289, 6541353, 6541433, 6541513, 6541577, 6541657, 6541721, 6541801, 6541881, 6541945, 6542025, 6542105, 6542169, 6542249, 6542329, 6542393, 6542473, 6542537, 6542617, 6542697, 6542761, 6542841, 6542905, 6542985, 6543065, 6543129, 6543209, 6543289, 6543353, 6543433, 6543497, 6543577, 6543657, 6543721, 6543801, 6543865, 6543945, 6544025, 6544089, 6544169, 6544233, 6544313, 6544393, 6544457, 6544537, 6544617, 6544681, 6544761, 6544825, 6544905, 6544985, 6545049, 6545129, 6545193, 6545273, 6545337, 6545417, 6545497, 6545561, 6545641, 6545705, 6545785, 6545865, 6545929, 6546009, 6546073, 6546153, 6546233, 6546297, 6546377, 6546441, 6546521, 6546585, 6546665, 6546745, 6546809, 6546889, 6546953, 6547033, 6547113, 6547177, 6547257, 6547321]"
0,1,meta-llama/Llama-3.2-1B-Instruct,6939,393,0,4531401404,4531401404,1597033691,1940248884,6610082,"[6597513, 6597577, 6597641, 6597705, 6597769, 6597833, 6597897, 6597961, 6598025, 6598089, 6598169, 6598233, 6598297, 6598361, 6598425, 6598489, 6598553, 6598617, 6598681, 6598745, 6598809, 6598873, 6598953, 6599017, 6599081, 6599145, 6599209, 6599273, 6599337, 6599401, 6599465, 6599529, 6599593, 6599657, 6599737, 6599801, 6599865, 6599929, 6599993, 6600057, 6600121, 6600185, 6600249, 6600313, 6600377, 6600441, 6600505, 6600569, 6600649, 6600713, 6600777, 6600841, 6600905, 6600969, 6601033, 6601097, 6601161, 6601225, 6601289, 6601353, 6601417, 6601481, 6601545, 6601609, 6601689, 6601753, 6601817, 6601881, 6601945, 6602009, 6602073, 6602137, 6602201, 6602265, 6602329, 6602393, 6602457, 6602521, 6602585, 6602649, 6602713, 6602777, 6602841, 6602921, 6602985, 6603049, 6603113, 6603177, 6603241, 6603305, 6603369, 6603433, 6603497, 6603561, 6603625, 6603689, 6603753, 6603817, 6603881, 6603945, 6604009, 6604073, 6604137, 6604201, 6604265, 6604329, 6604393, 6604457, 6604537, 6604601, 6604665, 6604729, 6604793, 6604857, 6604921, 6604985, 6605049, 6605113, 6605177, 6605241, 6605305, 6605369, 6605433, 6605497, 6605561, 6605625, 6605689, 6605753, 6605817, 6605881, 6605945, 6606009, 6606073, 6606137, 6606201, 6606265, 6606329, 6606393, 6606457, 6606521, 6606585, 6606649, 6606713, 6606777, 6606841, 6606905, 6606969, 6607033, 6607097, 6607161, 6607225, 6607289, 6607353, 6607417, 6607481, 6607545, 6607609, 6607673, 6607737, 6607801, 6607865, 6607929, 6607993, 6608057, 6608121, 6608185, 6608249, 6608313, 6608377, 6608441, 6608505, 6608569, 6608633, 6608697, 6608761, 6608825, 6608889, 6608953, 6609017, 6609081, 6609145, 6609209, 6609273, 6609337, 6609401, 6609465, 6609529, 6609593, 6609657, 6609721, 6609785, 6609849, 6609913, 6609977, 6610041, 6610105, 6610169, 6610233, 6610297, 6610361, 6610425, 6610489, 6610553, 6610617, 6610681, 6610745, 6610809, 6610873, 6610937, 6611001, 6611065, 6611129, 6611193, 6611257, 6611321, 6611385, 6611449, 6611513, 6611577, 6611641, 6611705, 6611769, 6611833, 6611897, 6611961, 6612025, 6612073, 6612137, 6612201, 6612265, 6612329, 6612393, 6612457, 6612521, 6612585, 6612649, 6612713, 6612777, 6612841, 6612905, 6612969, 6613033, 6613097, 6613161, 6613225, 6613289, 6613353, 6613417, 6613481, 6613545, 6613609, 6613657, 6613721, 6613785, 6613849, 6613913, 6613977, 6614041, 6614105, 6614169, 6614233, 6614297, 6614361, 6614425, 6614489, 6614553, 6614617, 6614681, 6614745, 6614809, 6614857, 6614921, 6614985, 6615049, 6615113, 6615177, 6615241, 6615305, 6615369, 6615433, 6615497, 6615561, 6615625, 6615689, 6615753, 6615817, 6615881, 6615929, 6615993, 6616057, 6616121, 6616185, 6616249, 6616313, 6616377, 6616441, 6616505, 6616569, 6616633, 6616697, 6616761, 6616809, 6616873, 6616937, 6617001, 6617065, 6617129, 6617193, 6617257, 6617321, 6617385, 6617449, 6617513, 6617577, 6617625, 6617689, 6617753, 6617817, 6617881, 6617945, 6618009, 6618073, 6618137, 6618201, 6618265, 6618329, 6618377, 6618441, 6618505, 6618569, 6618633, 6618697, 6618761, 6618825, 6618889, 6618953, 6619017, 6619065, 6619129, 6619193, 6619257, 6619321, 6619385, 6619449, 6619513, 6619577, 6619641, 6619689, 6619753, 6619817, 6619881, 6619945, 6620009, 6620073, 6620137, 6620201, 6620265, 6620313, 6620377, 6620441, 6620505, 6620569, 6620633, 6620697, 6620761, 6620825, 6620873, 6620937, 6621001, 6621065, 6621129, 6621193, 6621257, 6621321, 6621385, 6621433, 6621497, 6621561, 6621625, 6621689, 6621753, 6621817, 6621881, 6621945, 6621993, 6622057, 6622121, 6622185, 6622249, 6622313, 6622377, 6622441]"
0,2,meta-llama/Llama-3.2-1B-Instruct,2482,136,0,5477202613,5477202613,4531401404,4639636934,6204190,"[6195609, 6195737, 6195865, 6195993, 6196121, 6196249, 6196393, 6196521, 6196649, 6196777, 6196905, 6197033, 6197161, 6197289, 6197433, 6197561, 6197689, 6197817, 6197945, 6198073, 6198201, 6198329, 6198457, 6198585, 6198713, 6198857, 6198985, 6199113, 6199241, 6199369, 6199497, 6199625, 6199753, 6199881, 6200009, 6200137, 6200265, 6200393, 6200521, 6200649, 6200777, 6200905, 6201033, 6201161, 6201289, 6201417, 6201545, 6201673, 6201801, 6201929, 6202057, 6202185, 6202313, 6202441, 6202569, 6202697, 6202825, 6202953, 6203081, 6203209, 6203337, 6203465, 6203593, 6203721, 6203849, 6203977, 6204105, 6204233, 6204361, 6204489, 6204617, 6204729, 6204857, 6204985, 6205113, 6205241, 6205369, 6205497, 6205625, 6205753, 6205881, 6206009, 6206121, 6206249, 6206377, 6206505, 6206633, 6206761, 6206889, 6207017, 6207129, 6207257, 6207385, 6207513, 6207641, 6207769, 6207897, 6208009, 6208137, 6208265, 6208393, 6208521, 6208649, 6208777, 6208889, 6209017, 6209145, 6209273, 6209401, 6209513, 6209641, 6209769, 6209897, 6210025, 6210137, 6210265, 6210393, 6210521, 6210649, 6210761, 6210889, 6211017, 6211145, 6211257, 6211385, 6211513, 6211641, 6211769, 6211881, 6212009, 6212137, 6212265, 6212377, 6212505, 6212633]"
0,3,meta-llama/Llama-3.2-1B-Instruct,2839,95,0,6200835558,6200835558,5477202613,5613865816,6244358,"[6239113, 6239225, 6239337, 6239449, 6239577, 6239689, 6239801, 6239913, 6240025, 6240137, 6240249, 6240361, 6240473, 6240601, 6240713, 6240825, 6240937, 6241049, 6241161, 6241273, 6241385, 6241497, 6241609, 6241721, 6241833, 6241961, 6242073, 6242185, 6242297, 6242409, 6242521, 6242633, 6242745, 6242857, 6242969, 6243081, 6243193, 6243305, 6243417, 6243529, 6243641, 6243753, 6243865, 6243977, 6244089, 6244201, 6244313, 6244425, 6244537, 6244649, 6244761, 6244873, 6244985, 6245097, 6245209, 6245321, 6245433, 6245545, 6245657, 6245769, 6245881, 6245993, 6246105, 6246217, 6246329, 6246441, 6246553, 6246665, 6246777, 6246889, 6247001, 6247113, 6247225, 6247337, 6247449, 6247561, 6247673, 6247785, 6247897, 6247993, 6248105, 6248217, 6248329, 6248441, 6248553, 6248665, 6248777, 6248889, 6249001, 6249113, 6249225, 6249337, 6249433, 6249545]"
0,4,meta-llama/Llama-3.2-1B-Instruct,2057,225,0,7672419726,7672419726,6200835558,6294429214,6151743,"[6134793, 6134953, 6135113, 6135273, 6135433, 6135577, 6135737, 6135897, 6136057, 6136217, 6136361, 6136521, 6136681, 6136841, 6136985, 6137145, 6137305, 6137465, 6137625, 6137769, 6137929, 6138089, 6138249, 6138393, 6138553, 6138713, 6138857, 6139017, 6139177, 6139337, 6139481, 6139641, 6139801, 6139945, 6140105, 6140265, 6140409, 6140569, 6140729, 6140873, 6141033, 6141193, 6141337, 6141497, 6141657, 6141801, 6141961, 6142105, 6142265, 6142425, 6142569, 6142729, 6142873, 6143033, 6143193, 6143337, 6143497, 6143641, 6143801, 6143945, 6144105, 6144265, 6144409, 6144569, 6144713, 6144873, 6145017, 6145177, 6145321, 6145481, 6145625, 6145785, 6145929, 6146089, 6146233, 6146393, 6146537, 6146697, 6146841, 6147001, 6147145, 6147305, 6147449, 6147609, 6147753, 6147913, 6148057, 6148201, 6148361, 6148505, 6148665, 6148809, 6148969, 6149113, 6149257, 6149417, 6149561, 6149721, 6149865, 6150009, 6150169, 6150313, 6150473, 6150617, 6150761, 6150921, 6151065, 6151209, 6151369, 6151513, 6151657, 6151817, 6151961, 6152105, 6152265, 6152409, 6152553, 6152713, 6152857, 6153001, 6153161, 6153305, 6153449, 6153593, 6153753, 6153897, 6154041, 6154201, 6154345, 6154489, 6154633, 6154793, 6154937, 6155081, 6155225, 6155369, 6155529, 6155673, 6155817, 6155961, 6156121, 6156265, 6156409, 6156553, 6156697, 6156857, 6157001, 6157145, 6157289, 6157433, 6157577, 6157737, 6157881, 6158025, 6158169, 6158313, 6158457, 6158617, 6158761, 6158905, 6159049, 6159193, 6159337, 6159481, 6159625, 6159785, 6159929, 6160073, 6160217, 6160361, 6160505, 6160649, 6160793, 6160937, 6161081, 6161225, 6161369, 6161529, 6161673, 6161817, 6161961, 6162105, 6162249, 6162393, 6162537, 6162681, 6162825, 6162969, 6163113, 6163257, 6163401, 6163545, 6163689, 6163833, 6163977, 6164121, 6164265, 6164409, 6164553, 6164697, 6164841, 6164985, 6165129, 6165273, 6165417, 6165561, 6165705, 6165833, 6165977, 6166121, 6166265, 6166409, 6166553, 6166697, 6166841, 6166985, 6167129, 6167273, 6167417, 6167545, 6167689, 6167833, 6167977, 6168121]"
0,5,meta-llama/Llama-3.2-1B-Instruct,4839,273,0,9651094752,9651094752,7672419726,7897756000,6446098,"[6433593, 6433689, 6433785, 6433881, 6433977, 6434073, 6434153, 6434249, 6434345, 6434441, 6434537, 6434633, 6434729, 6434809, 6434905, 6435001, 6435097, 6435193, 6435289, 6435385, 6435465, 6435561, 6435657, 6435753, 6435849, 6435945, 6436041, 6436121, 6436217, 6436313, 6436409, 6436505, 6436601, 6436681, 6436777, 6436873, 6436969, 6437065, 6437161, 6437241, 6437337, 6437433, 6437529, 6437625, 6437705, 6437801, 6437897, 6437993, 6438089, 6438185, 6438265, 6438361, 6438457, 6438553, 6438649, 6438729, 6438825, 6438921, 6439017, 6439113, 6439193, 6439289, 6439385, 6439481, 6439577, 6439657, 6439753, 6439849, 6439945, 6440041, 6440121, 6440217, 6440313, 6440409, 6440505, 6440585, 6440681, 6440777, 6440873, 6440953, 6441049, 6441145, 6441241, 6441337, 6441417, 6441513, 6441609, 6441705, 6441785, 6441881, 6441977, 6442073, 6442153, 6442249, 6442345, 6442441, 6442537, 6442617, 6442713, 6442809, 6442905, 6442985, 6443081, 6443177, 6443273, 6443353, 6443449, 6443545, 6443641, 6443721, 6443817, 6443913, 6444009, 6444089, 6444185, 6444281, 6444361, 6444457, 6444553, 6444649, 6444729, 6444825, 6444921, 6445017, 6445097, 6445193, 6445289, 6445385, 6445465, 6445561, 6445657, 6445737, 6445833, 6445929, 6446025, 6446105, 6446201, 6446297, 6446377, 6446473, 6446569, 6446665, 6446745, 6446841, 6446937, 6447017, 6447113, 6447209, 6447289, 6447385, 6447481, 6447577, 6447657, 6447753, 6447849, 6447929, 6448025, 6448121, 6448201, 6448297, 6448393, 6448473, 6448569, 6448665, 6448745, 6448841, 6448937, 6449033, 6449113, 6449209, 6449305, 6449385, 6449481, 6449577, 6449657, 6449753, 6449849, 6449929, 6450025, 6450121, 6450201, 6450297, 6450393, 6450473, 6450569, 6450665, 6450745, 6450841, 6450921, 6451017, 6451113, 6451193, 6451289, 6451385, 6451465, 6451561, 6451657, 6451737, 6451833, 6451929, 6452009, 6452105, 6452201, 6452281, 6452377, 6452457, 6452553, 6452649, 6452729, 6452825, 6452921, 6453001, 6453097, 6453177, 6453273, 6453369, 6453449, 6453545, 6453641, 6453721, 6453817, 6453897, 6453993, 6454089, 6454169, 6454265, 6454361, 6454441, 6454537, 6454617, 6454713, 6454809, 6454889, 6454985, 6455065, 6455161, 6455257, 6455337, 6455433, 6455513, 6455609, 6455705, 6455785, 6455881, 6455961, 6456057, 6456153, 6456233, 6456329, 6456409, 6456505, 6456585, 6456681, 6456777, 6456857, 6456953, 6457033, 6457129, 6457225, 6457305, 6457401, 6457481, 6457577, 6457657, 6457753, 6457849, 6457929, 6458025, 6458105, 6458201, 6458281, 6458377]"
0,6,meta-llama/Llama-3.2-1B-Instruct,5968,351,0,12229111385,12229111385,9651094752,9939411163,6542000,"[6528953, 6529033, 6529113, 6529193, 6529257, 6529337, 6529417, 6529497, 6529561, 6529641, 6529721, 6529801, 6529865, 6529945, 6530025, 6530105, 6530169, 6530249, 6530329, 6530409, 6530473, 6530553, 6530633, 6530713, 6530777, 6530857, 6530937, 6531017, 6531081, 6531161, 6531241, 6531305, 6531385, 6531465, 6531545, 6531609, 6531689, 6531769, 6531849, 6531913, 6531993, 6532073, 6532153, 6532217, 6532297, 6532377, 6532441, 6532521, 6532601, 6532681, 6532745, 6532825, 6532905, 6532985, 6533049, 6533129, 6533209, 6533273, 6533353, 6533433, 6533513, 6533577, 6533657, 6533737, 6533801, 6533881, 6533961, 6534041, 6534105, 6534185, 6534265, 6534329, 6534409, 6534489, 6534553, 6534633, 6534713, 6534793, 6534857, 6534937, 6535017, 6535081, 6535161, 6535241, 6535305, 6535385, 6535465, 6535545, 6535609, 6535689, 6535769, 6535833, 6535913, 6535993, 6536057, 6536137, 6536217, 6536281, 6536361, 6536441, 6536521, 6536585, 6536665, 6536745, 6536809, 6536889, 6536969, 6537033, 6537113, 6537193, 6537257, 6537337, 6537417, 6537481, 6537561, 6537641, 6537705, 6537785, 6537865, 6537929, 6538009, 6538089, 6538153, 6538233, 6538313, 6538377, 6538457, 6538537, 6538601, 6538681, 6538761, 6538825, 6538905, 6538985, 6539049, 6539129, 6539209, 6539273, 6539353, 6539433, 6539497, 6539577, 6539657, 6539721, 6539801, 6539865, 6539945, 6540025, 6540089, 6540169, 6540249, 6540313, 6540393, 6540473, 6540537, 6540617, 6540697, 6540761, 6540841, 6540921, 6540985, 6541065, 6541129, 6541209, 6541289, 6541353, 6541433, 6541513, 6541577, 6541657, 6541721, 6541801, 6541881, 6541945, 6542025, 6542105, 6542169, 6542249, 6542329, 6542393, 6542473, 6542537, 6542617, 6542697, 6542761, 6542841, 6542905, 6542985, 6543065, 6543129, 6543209, 6543289, 6543353, 6543433, 6543497, 6543577, 6543657, 6543721, 6543801, 6543865, 6543945, 6544025, 6544089, 6544169, 6544233, 6544313, 6544393, 6544457, 6544537, 6544617, 6544681, 6544761, 6544825, 6544905, 6544985, 6545049, 6545129, 6545193, 6545273, 6545337, 6545417, 6545497, 6545561, 6545641, 6545705, 6545785, 6545865, 6545929, 6546009, 6546073, 6546153, 6546233, 6546297, 6546377, 6546441, 6546521, 6546585, 6546665, 6546745, 6546809, 6546889, 6546953, 6547033, 6547113, 6547177, 6547257, 6547321, 6547401, 6547465, 6547545, 6547625, 6547689, 6547769, 6547833, 6547913, 6547977, 6548057, 6548137, 6548201, 6548281, 6548345, 6548425, 6548489, 6548569, 6548633, 6548713, 6548793, 6548857, 6548937, 6549001, 6549081, 6549145, 6549225, 6549289, 6549369, 6549449, 6549513, 6549593, 6549657, 6549737, 6549801, 6549881, 6549945, 6550025, 6550105, 6550169, 6550249, 6550313, 6550393, 6550457, 6550537, 6550601, 6550681, 6550745, 6550825, 6550889, 6550969, 6551049, 6551113, 6551193, 6551257, 6551337, 6551401, 6551481, 6551545, 6551625, 6551689, 6551769, 6551833, 6551913, 6551977, 6552057, 6552137, 6552201, 6552281, 6552345, 6552425, 6552489, 6552569, 6552633, 6552713, 6552777, 6552857, 6552921, 6553001, 6553065, 6553145, 6553209, 6553289, 6553353, 6553433, 6553497, 6553577, 6553641, 6553721, 6553785, 6553865, 6553929, 6554009, 6554073, 6554153, 6554217, 6554297, 6554361, 6554441, 6554505, 6554585, 6554649, 6554729, 6554793]"
0,7,meta-llama/Llama-3.2-1B-Instruct,1669,241,0,13774927634,13774927634,12229111385,12306114290,6120055,"[6113369, 6113433, 6113481, 6113545, 6113609, 6113657, 6113721, 6113769, 6113833, 6113897, 6113945, 6114009, 6114073, 6114121, 6114185, 6114249, 6114297, 6114361, 6114409, 6114473, 6114537, 6114585, 6114649, 6114713, 6114761, 6114825, 6114873, 6114937, 6115001, 6115049, 6115113, 6115161, 6115225, 6115289, 6115337, 6115401, 6115449, 6115513, 6115561, 6115625, 6115689, 6115737, 6115801, 6115849, 6115913, 6115961, 6116025, 6116089, 6116137, 6116201, 6116249, 6116313, 6116361, 6116425, 6116473, 6116537, 6116601, 6116649, 6116713, 6116761, 6116825, 6116873, 6116937, 6116985, 6117049, 6117097, 6117161, 6117209, 6117273, 6117321, 6117385, 6117433, 6117497, 6117561, 6117609, 6117673, 6117721, 6117785, 6117833, 6117897, 6117945, 6118009, 6118057, 6118105, 6118169, 6118217, 6118281, 6118329, 6118393, 6118441, 6118505, 6118553, 6118617, 6118665, 6118729, 6118777, 6118841, 6118889, 6118953, 6119001, 6119065, 6119113, 6119161, 6119225, 6119273, 6119337, 6119385, 6119449, 6119497, 6119561, 6119609, 6119657, 6119721, 6119769, 6119833, 6119881, 6119945, 6119993, 6120041, 6120105, 6120153, 6120217, 6120265, 6120313, 6120377, 6120425, 6120489, 6120537, 6120585, 6120649, 6120697, 6120761, 6120809, 6120857, 6120921, 6120969, 6121033, 6121081, 6121129, 6121193, 6121241, 6121305, 6121353, 6121401, 6121465, 6121513, 6121561, 6121625, 6121673, 6121721, 6121785, 6121833, 6121897, 6121945, 6121993, 6122057, 6122105, 6122153, 6122217, 6122265, 6122313, 6122377, 6122425, 6122473, 6122537, 6122585, 6122633, 6122697, 6122745, 6122793, 6122857, 6122905, 6122953, 6123017, 6123065, 6123113, 6123177, 6123225, 6123273, 6123337, 6123385, 6123433, 6123481, 6123545, 6123593, 6123641, 6123705, 6123753, 6123801, 6123849, 6123913, 6123961, 6124009, 6124073, 6124121, 6124169, 6124217, 6124281, 6124329, 6124377, 6124441, 6124489, 6124537, 6124585, 6124649, 6124697, 6124745, 6124793, 6124857, 6124905, 6124953, 6125001, 6125065, 6125113, 6125161, 6125209, 6125273, 6125321, 6125369, 6125417, 6125481, 6125529, 6125577, 6125625, 6125689, 6125737, 6125785, 6125833, 6125881, 6125945, 6125993, 6126041, 6126089, 6126153, 6126201, 6126249, 6126297, 6126345, 6126409, 6126457]"
0,8,meta-llama/Llama-3.2-1B-Instruct,2285,72,0,14314911897,14314911897,13774927634,13876576442,6173738,"[6168825, 6168969, 6169113, 6169257, 6169401, 6169545, 6169673, 6169817, 6169961, 6170105, 6170249, 6170377, 6170521, 6170665, 6170809, 6170953, 6171097, 6171225, 6171369, 6171513, 6171657, 6171785, 6171929, 6172073, 6172217, 6172345, 6172489, 6172633, 6172777, 6172921, 6173049, 6173193, 6173337, 6173465, 6173609, 6173753, 6173897, 6174025, 6174169, 6174313, 6174441, 6174585, 6174729, 6174873, 6175001, 6175145, 6175289, 6175417, 6175561, 6175705, 6175833, 6175977, 6176121, 6176249, 6176393, 6176537, 6176665, 6176809, 6176953, 6177081, 6177225, 6177353, 6177497, 6177641, 6177769, 6177913, 6178041, 6178185, 6178329, 6178457, 6178601]"
0,9,meta-llama/Llama-3.2-1B-Instruct,2491,121,0,15167800426,15167800426,14314911897,14423273810,6204388,"[6196777, 6196905, 6197033, 6197161, 6197289, 6197433, 6197561, 6197689, 6197817, 6197945, 6198073, 6198201, 6198329, 6198457, 6198585, 6198713, 6198857, 6198985, 6199113, 6199241, 6199369, 6199497, 6199625, 6199753, 6199881, 6200009, 6200137, 6200265, 6200393, 6200521, 6200649, 6200777, 6200905, 6201033, 6201161, 6201289, 6201417, 6201545, 6201673, 6201801, 6201929, 6202057, 6202185, 6202313, 6202441, 6202569, 6202697, 6202825, 6202953, 6203081, 6203209, 6203337, 6203465, 6203593, 6203721, 6203849, 6203977, 6204105, 6204233, 6204361, 6204489, 6204617, 6204729, 6204857, 6204985, 6205113, 6205241, 6205369, 6205497, 6205625, 6205753, 6205881, 6206009, 6206121, 6206249, 6206377, 6206505, 6206633, 6206761, 6206889, 6207017, 6207129, 6207257, 6207385, 6207513, 6207641, 6207769, 6207897, 6208009, 6208137, 6208265, 6208393, 6208521, 6208649, 6208777, 6208889, 6209017, 6209145, 6209273, 6209401, 6209513, 6209641, 6209769, 6209897, 6210025, 6210137, 6210265, 6210393, 6210521, 6210649, 6210761, 6210889, 6211017, 6211145, 6211257, 6211385, 6211513, 6211641, 6211769, 6211881]"
