instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,1751,44,0,717016910,717016910,1,402707318,7309525,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191]"
0,4,meta-llama/Llama-3.2-1B-Instruct,606,49,0,818778515,818778515,1,402707318,8668149,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191, 72774377, 7245735, 7246439, 7247175, 7247879]"
0,2,meta-llama/Llama-3.2-1B-Instruct,1279,57,0,905724288,905724288,1,402707318,8982445,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191, 72774377, 7245735, 7246439, 7247175, 7247879, 36152556, 7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295]"
0,3,meta-llama/Llama-3.2-1B-Instruct,508,58,0,961833964,961833964,1,402707318,9809239,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191, 72774377, 7245735, 7246439, 7247175, 7247879, 36152556, 7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295, 56109676]"
0,6,meta-llama/Llama-3.2-1B-Instruct,826,69,0,1071116303,1071116303,1,402707318,9829543,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191, 72774377, 7245735, 7246439, 7247175, 7247879, 36152556, 7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295, 56109676, 36593629, 7265735, 7266439, 7267127, 7267831, 7268519, 7269223, 7269911, 7270615, 7271303, 7272007]"
0,1,meta-llama/Llama-3.2-1B-Instruct,733,75,0,1194794908,1194794908,1,402707318,10703886,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191, 72774377, 7245735, 7246439, 7247175, 7247879, 36152556, 7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295, 56109676, 36593629, 7265735, 7266439, 7267127, 7267831, 7268519, 7269223, 7269911, 7270615, 7271303, 7272007, 87000458, 7334359, 7334999, 7335623, 7336263, 7336903]"
0,5,meta-llama/Llama-3.2-1B-Instruct,822,79,0,1269824297,1269824297,1,402707318,11116884,"[9696466, 7238007, 7238743, 7239463, 7240183, 7240919, 7241623, 7242359, 7243079, 7243783, 7244519, 7245223, 7245959, 7246663, 7247383, 7248103, 7248807, 7249543, 7250247, 7250967, 7251671, 7252391, 7253095, 7253799, 7254519, 7255223, 7255943, 7256647, 7257367, 7258055, 7258775, 7259479, 7260167, 7260887, 7261575, 7262295, 7262983, 7263703, 7264391, 7265095, 7265799, 7266503, 7267191, 72774377, 7245735, 7246439, 7247175, 7247879, 36152556, 7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295, 56109676, 36593629, 7265735, 7266439, 7267127, 7267831, 7268519, 7269223, 7269911, 7270615, 7271303, 7272007, 87000458, 7334359, 7334999, 7335623, 7336263, 7336903, 52961512, 7355335, 7355959, 7356583]"
0,8,meta-llama/Llama-3.2-1B-Instruct,1536,39,0,1330043831,1330043831,717016910,789791287,14217172,"[7245735, 7246439, 7247175, 7247879, 36152556, 7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295, 56109676, 36593629, 7265735, 7266439, 7267127, 7267831, 7268519, 7269223, 7269911, 7270615, 7271303, 7272007, 87000458, 7334359, 7334999, 7335623, 7336263, 7336903, 52961512, 7355335, 7355959, 7356583, 38174105, 7347847, 7348471, 7349111]"
0,9,meta-llama/Llama-3.2-1B-Instruct,708,42,0,1428763705,1428763705,818778515,854931071,13995917,"[7254039, 7254759, 7255463, 7256183, 7256887, 7257591, 7258295, 56109676, 36593629, 7265735, 7266439, 7267127, 7267831, 7268519, 7269223, 7269911, 7270615, 7271303, 7272007, 87000458, 7334359, 7334999, 7335623, 7336263, 7336903, 52961512, 7355335, 7355959, 7356583, 38174105, 7347847, 7348471, 7349111, 47586129, 7302823, 7303495, 7304151, 7304823, 7305495, 7306151, 7306807]"
0,11,meta-llama/Llama-3.2-1B-Instruct,737,51,0,1578816664,1578816664,961833964,998427593,11607781,"[7265735, 7266439, 7267127, 7267831, 7268519, 7269223, 7269911, 7270615, 7271303, 7272007, 87000458, 7334359, 7334999, 7335623, 7336263, 7336903, 52961512, 7355335, 7355959, 7356583, 38174105, 7347847, 7348471, 7349111, 47586129, 7302823, 7303495, 7304151, 7304823, 7305495, 7306151, 7306807, 26078680, 7287191, 7287863, 7288551, 7289223, 7289911, 7290583, 7291255, 7291943, 7292615, 7293287, 7293959, 7294631, 7295319, 7295975, 7296663, 7297319, 7297991]"
