instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,8,meta-llama/Llama-3.2-1B-Instruct,2285,72,0,10080690345,10080690345,1579584996,1985846131,114011890,"[163003722, 338010966, 245458526, 197087808, 301477652, 288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838]"
0,13,meta-llama/Llama-3.2-1B-Instruct,5210,88,0,11183539029,11183539029,2486860819,2732319345,97140456,"[197087808, 301477652, 288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246]"
0,3,meta-llama/Llama-3.2-1B-Instruct,2839,95,0,11427924893,11427924893,621561428,983654142,111109263,"[212743165, 383187689, 406261135, 163003722, 338010966, 245458526, 197087808, 301477652, 288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864]"
0,27,meta-llama/Llama-3.2-1B-Instruct,4753,85,0,12164830735,12164830735,6766656842,7022731847,61215462,"[352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438]"
0,24,meta-llama/Llama-3.2-1B-Instruct,6144,106,0,12898740154,12898740154,5723537103,6061556907,65116030,"[304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438, 97079861, 37420390, 37425414, 37430454, 37435462, 37440486, 37445510, 37450534, 37455558, 37460566, 37465590, 37470614, 37475622, 37480646, 37485654, 37490678, 37495686, 37500694]"
0,9,meta-llama/Llama-3.2-1B-Instruct,2491,121,0,13252005389,13252005389,1579584996,1985846131,93884660,"[163003722, 338010966, 245458526, 197087808, 301477652, 288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438, 97079861, 37420390, 37425414, 37430454, 37435462, 37440486, 37445510, 37450534, 37455558, 37460566, 37465590, 37470614, 37475622, 37480646, 37485654, 37490678, 37495686, 37500694, 353265235]"
0,15,meta-llama/Llama-3.2-1B-Instruct,6209,127,0,14002906535,14002906535,2929407153,3230884805,85492235,"[288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438, 97079861, 37420390, 37425414, 37430454, 37435462, 37440486, 37445510, 37450534, 37455558, 37460566, 37465590, 37470614, 37475622, 37480646, 37485654, 37490678, 37495686, 37500694, 353265235, 369863742, 38081702, 38086598, 38091494, 38096390, 38101302, 38106182, 38111094, 38115990, 38120886, 38125766]"
0,2,meta-llama/Llama-3.2-1B-Instruct,2482,136,0,14387389391,14387389391,621561428,983654142,99286927,"[212743165, 383187689, 406261135, 163003722, 338010966, 245458526, 197087808, 301477652, 288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438, 97079861, 37420390, 37425414, 37430454, 37435462, 37440486, 37445510, 37450534, 37455558, 37460566, 37465590, 37470614, 37475622, 37480646, 37485654, 37490678, 37495686, 37500694, 353265235, 369863742, 38081702, 38086598, 38091494, 38096390, 38101302, 38106182, 38111094, 38115990, 38120886, 38125766, 384482856]"
0,21,meta-llama/Llama-3.2-1B-Instruct,4741,124,0,14791331443,14791331443,4841795417,5078213869,78968435,"[294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438, 97079861, 37420390, 37425414, 37430454, 37435462, 37440486, 37445510, 37450534, 37455558, 37460566, 37465590, 37470614, 37475622, 37480646, 37485654, 37490678, 37495686, 37500694, 353265235, 369863742, 38081702, 38086598, 38091494, 38096390, 38101302, 38106182, 38111094, 38115990, 38120886, 38125766, 384482856, 365200254, 38741798]"
0,12,meta-llama/Llama-3.2-1B-Instruct,6766,145,0,15485052868,15485052868,2148849853,2486860819,90265222,"[245458526, 197087808, 301477652, 288831063, 361178490, 417200730, 122155687, 421544642, 236418452, 294152771, 351170463, 338019804, 304143905, 400956030, 256075005, 352132480, 202887805, 376194212, 304081061, 36325286, 36330534, 36335750, 36340998, 36346230, 36351478, 36356710, 36361942, 36367174, 36372406, 36377638, 36382870, 36388086, 36393318, 36398550, 36403782, 36409014, 36414214, 36419446, 36424662, 36429894, 36435110, 36440326, 36445542, 36450758, 36455974, 36461190, 36466390, 36471606, 36476822, 36482038, 36487238, 36492454, 36497654, 36502870, 36508070, 36513270, 36518470, 36523686, 36528886, 36534086, 36539270, 36544470, 36549670, 36554870, 36560054, 36565254, 36570454, 36575638, 36580838, 428575824, 37416918, 37421942, 37426966, 37432006, 37437014, 37442038, 37447062, 37452086, 37457110, 37462118, 37467142, 37472166, 37477174, 37482198, 37487206, 37492230, 37497238, 37502246, 244385864, 395097036, 37959062, 37963990, 37968902, 37973846, 37978758, 37983686, 37988598, 37993526, 37998438, 97079861, 37420390, 37425414, 37430454, 37435462, 37440486, 37445510, 37450534, 37455558, 37460566, 37465590, 37470614, 37475622, 37480646, 37485654, 37490678, 37495686, 37500694, 353265235, 369863742, 38081702, 38086598, 38091494, 38096390, 38101302, 38106182, 38111094, 38115990, 38120886, 38125766, 384482856, 365200254, 38741798, 267672079, 38707830, 38712630, 38717414, 38722198, 38726982, 38731750, 38736550, 38741318, 38746118, 38750886, 38755670]"
