instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,1751,44,0,872356347,872356347,1,313529227,12995979,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180]"
0,4,meta-llama/Llama-3.2-1B-Instruct,606,49,0,979599377,979599377,1,313529227,13876461,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180, 60340294, 11723148, 11724844, 11726524, 11728220]"
0,2,meta-llama/Llama-3.2-1B-Instruct,1279,57,0,1091447281,1091447281,1,313529227,13891393,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180, 60340294, 11723148, 11724844, 11726524, 11728220, 29608412, 11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500]"
0,3,meta-llama/Llama-3.2-1B-Instruct,508,58,0,1141389990,1141389990,1,313529227,14523873,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180, 60340294, 11723148, 11724844, 11726524, 11728220, 29608412, 11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500, 49942709]"
0,6,meta-llama/Llama-3.2-1B-Instruct,826,69,0,1289261654,1289261654,1,313529227,14349006,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180, 60340294, 11723148, 11724844, 11726524, 11728220, 29608412, 11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500, 49942709, 30078984, 11771868, 11773516, 11775164, 11776812, 11778460, 11780092, 11781740, 11783372, 11785004, 11786652]"
0,1,meta-llama/Llama-3.2-1B-Instruct,733,75,0,1414227612,1414227612,1,313529227,14874302,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180, 60340294, 11723148, 11724844, 11726524, 11728220, 29608412, 11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500, 49942709, 30078984, 11771868, 11773516, 11775164, 11776812, 11778460, 11780092, 11781740, 11783372, 11785004, 11786652, 65236154, 11942972, 11944460, 11945964, 11947452, 11948956]"
0,5,meta-llama/Llama-3.2-1B-Instruct,822,79,0,1491776265,1491776265,1,313529227,15105731,"[65790648, 11704300, 11706012, 11707724, 11709436, 11711132, 11712844, 11714556, 11716252, 11717964, 11719660, 11721356, 11723052, 11724748, 11726428, 11728124, 11729820, 11731500, 11733196, 11734876, 11736556, 11738236, 11739916, 11741612, 11743276, 11744956, 11746636, 11748300, 11749964, 11751644, 11753292, 11754972, 11756636, 11758284, 11759964, 11761628, 11763276, 11764924, 11766588, 11768236, 11769884, 11771532, 11773180, 60340294, 11723148, 11724844, 11726524, 11728220, 29608412, 11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500, 49942709, 30078984, 11771868, 11773516, 11775164, 11776812, 11778460, 11780092, 11781740, 11783372, 11785004, 11786652, 65236154, 11942972, 11944460, 11945964, 11947452, 11948956, 41559209, 11995036, 11996476, 11997932]"
0,8,meta-llama/Llama-3.2-1B-Instruct,1536,39,0,1558602162,1558602162,872356347,932696641,16471197,"[11723148, 11724844, 11726524, 11728220, 29608412, 11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500, 49942709, 30078984, 11771868, 11773516, 11775164, 11776812, 11778460, 11780092, 11781740, 11783372, 11785004, 11786652, 65236154, 11942972, 11944460, 11945964, 11947452, 11948956, 41559209, 11995036, 11996476, 11997932, 30894165, 11975772, 11977244, 11978716]"
0,9,meta-llama/Llama-3.2-1B-Instruct,708,42,0,1680331793,1680331793,979599377,1009207789,16368878,"[11743484, 11745164, 11746828, 11748508, 11750172, 11751836, 11753500, 49942709, 30078984, 11771868, 11773516, 11775164, 11776812, 11778460, 11780092, 11781740, 11783372, 11785004, 11786652, 65236154, 11942972, 11944460, 11945964, 11947452, 11948956, 41559209, 11995036, 11996476, 11997932, 30894165, 11975772, 11977244, 11978716, 38660411, 11862332, 11863900, 11865484, 11867036, 11868604, 11870156, 11871708]"
0,11,meta-llama/Llama-3.2-1B-Instruct,737,51,0,1903466588,1903466588,1141389990,1171468974,14639952,"[11771868, 11773516, 11775164, 11776812, 11778460, 11780092, 11781740, 11783372, 11785004, 11786652, 65236154, 11942972, 11944460, 11945964, 11947452, 11948956, 41559209, 11995036, 11996476, 11997932, 30894165, 11975772, 11977244, 11978716, 38660411, 11862332, 11863900, 11865484, 11867036, 11868604, 11870156, 11871708, 21940143, 11822236, 11823820, 11825420, 11827020, 11828620, 11830220, 11831804, 11833404, 11835004, 11836588, 11838172, 11839756, 11841356, 11842940, 11844508, 11846108, 11847676]"
