instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,1,meta-llama/Llama-3.2-1B-Instruct,473,72,0,903326762,903326762,1,121271104,11014868,"[11005526, 11005798, 11006070, 11006342, 11006614, 11006870, 11007142, 11007414, 11007686, 11007958, 11008230, 11008502, 11008758, 11009030, 11009302, 11009574, 11009846, 11010102, 11010374, 11010646, 11010918, 11011174, 11011446, 11011718, 11011974, 11012246, 11012518, 11012790, 11013046, 11013318, 11013574, 11013846, 11014118, 11014374, 11014646, 11014902, 11015174, 11015446, 11015702, 11015974, 11016230, 11016502, 11016758, 11017030, 11017286, 11017542, 11017798, 11018070, 11018326, 11018582, 11018854, 11019110, 11019382, 11019638, 11019910, 11020166, 11020422, 11020694, 11020950, 11021206, 11021478, 11021734, 11021990, 11022246, 11022518, 11022774, 11023030, 11023302, 11023558, 11023814, 11024070]"
0,2,meta-llama/Llama-3.2-1B-Instruct,3,87,0,1856652430,1856652430,903326762,914136714,10959485,"[10946518, 10946822, 10947142, 10947446, 10947766, 10948070, 10948374, 10948694, 10948998, 10949302, 10949622, 10949926, 10950230, 10950550, 10950854, 10951158, 10951462, 10951782, 10952086, 10952390, 10952694, 10952998, 10953318, 10953622, 10953926, 10954230, 10954534, 10954838, 10955142, 10955446, 10955750, 10956054, 10956358, 10956662, 10956966, 10957270, 10957574, 10957878, 10958198, 10958502, 10958806, 10959110, 10959414, 10959702, 10960006, 10960310, 10960614, 10960918, 10961222, 10961510, 10961814, 10962118, 10962422, 10962710, 10963014, 10963318, 10963606, 10963910, 10964214, 10964502, 10964806, 10965110, 10965398, 10965702, 10965990, 10966294, 10966598, 10966886, 10967190, 10967478, 10967782, 10968070, 10968374, 10968662, 10968950, 10969254, 10969542, 10969846, 10970134, 10970438, 10970726, 10971014, 10971334, 10971622, 10971910, 10972214]"
0,3,meta-llama/Llama-3.2-1B-Instruct,11,138,0,3372188369,3372188369,1856652430,1867849547,10980575,"[10960742, 10961046, 10961334, 10961638, 10961942, 10962246, 10962534, 10962838, 10963142, 10963430, 10963734, 10964038, 10964326, 10964630, 10964934, 10965222, 10965526, 10965814, 10966118, 10966422, 10966710, 10967014, 10967302, 10967606, 10967894, 10968198, 10968486, 10968774, 10969094, 10969382, 10969686, 10969974, 10970278, 10970566, 10970854, 10971158, 10971446, 10971734, 10972038, 10972326, 10972614, 10972902, 10973206, 10973494, 10973782, 10974070, 10974374, 10974662, 10974950, 10975238, 10975526, 10975814, 10976102, 10976406, 10976694, 10976982, 10977270, 10977558, 10977846, 10978134, 10978422, 10978710, 10978998, 10979286, 10979574, 10979862, 10980150, 10980438, 10980726, 10981014, 10981302, 10981590, 10981862, 10982166, 10982454, 10982742, 10983030, 10983318, 10983590, 10983878, 10984166, 10984454, 10984742, 10985014, 10985302, 10985590, 10985878, 10986150, 10986438, 10986726, 10986998, 10987286, 10987574, 10987846, 10988134, 10988406, 10988694, 10988982, 10989254, 10989542, 10989814, 10990102, 10990374, 10990662, 10990934, 10991222, 10991494, 10991782, 10992054, 10992342, 10992614, 10992886, 10993174, 10993446, 10993734, 10994006, 10994278, 10994566, 10994838, 10995110, 10995398, 10995670, 10995942, 10996230, 10996502, 10996774, 10997046, 10997334, 10997606, 10997878, 10998150, 10998422, 10998726, 10998998, 10999270, 10999542, 10999814]"
0,0,meta-llama/Llama-3.2-1B-Instruct,2619,300,0,3406394397,3406394397,1,121271104,10987034,"[11005526, 11005798, 11006070, 11006342, 11006614, 11006870, 11007142, 11007414, 11007686, 11007958, 11008230, 11008502, 11008758, 11009030, 11009302, 11009574, 11009846, 11010102, 11010374, 11010646, 11010918, 11011174, 11011446, 11011718, 11011974, 11012246, 11012518, 11012790, 11013046, 11013318, 11013574, 11013846, 11014118, 11014374, 11014646, 11014902, 11015174, 11015446, 11015702, 11015974, 11016230, 11016502, 11016758, 11017030, 11017286, 11017542, 11017798, 11018070, 11018326, 11018582, 11018854, 11019110, 11019382, 11019638, 11019910, 11020166, 11020422, 11020694, 11020950, 11021206, 11021478, 11021734, 11021990, 11022246, 11022518, 11022774, 11023030, 11023302, 11023558, 11023814, 11024070, 10809952, 10946518, 10946822, 10947142, 10947446, 10947766, 10948070, 10948374, 10948694, 10948998, 10949302, 10949622, 10949926, 10950230, 10950550, 10950854, 10951158, 10951462, 10951782, 10952086, 10952390, 10952694, 10952998, 10953318, 10953622, 10953926, 10954230, 10954534, 10954838, 10955142, 10955446, 10955750, 10956054, 10956358, 10956662, 10956966, 10957270, 10957574, 10957878, 10958198, 10958502, 10958806, 10959110, 10959414, 10959702, 10960006, 10960310, 10960614, 10960918, 10961222, 10961510, 10961814, 10962118, 10962422, 10962710, 10963014, 10963318, 10963606, 10963910, 10964214, 10964502, 10964806, 10965110, 10965398, 10965702, 10965990, 10966294, 10966598, 10966886, 10967190, 10967478, 10967782, 10968070, 10968374, 10968662, 10968950, 10969254, 10969542, 10969846, 10970134, 10970438, 10970726, 10971014, 10971334, 10971622, 10971910, 10972214, 11197117, 10960742, 10961046, 10961334, 10961638, 10961942, 10962246, 10962534, 10962838, 10963142, 10963430, 10963734, 10964038, 10964326, 10964630, 10964934, 10965222, 10965526, 10965814, 10966118, 10966422, 10966710, 10967014, 10967302, 10967606, 10967894, 10968198, 10968486, 10968774, 10969094, 10969382, 10969686, 10969974, 10970278, 10970566, 10970854, 10971158, 10971446, 10971734, 10972038, 10972326, 10972614, 10972902, 10973206, 10973494, 10973782, 10974070, 10974374, 10974662, 10974950, 10975238, 10975526, 10975814, 10976102, 10976406, 10976694, 10976982, 10977270, 10977558, 10977846, 10978134, 10978422, 10978710, 10978998, 10979286, 10979574, 10979862, 10980150, 10980438, 10980726, 10981014, 10981302, 10981590, 10981862, 10982166, 10982454, 10982742, 10983030, 10983318, 10983590, 10983878, 10984166, 10984454, 10984742, 10985014, 10985302, 10985590, 10985878, 10986150, 10986438, 10986726, 10986998, 10987286, 10987574, 10987846, 10988134, 10988406, 10988694, 10988982, 10989254, 10989542, 10989814, 10990102, 10990374, 10990662, 10990934, 10991222, 10991494, 10991782, 10992054, 10992342, 10992614, 10992886, 10993174, 10993446, 10993734, 10994006, 10994278, 10994566, 10994838, 10995110, 10995398, 10995670, 10995942, 10996230, 10996502, 10996774, 10997046, 10997334, 10997606, 10997878, 10998150, 10998422, 10998726, 10998998, 10999270, 10999542, 10999814, 12235008, 10985366, 10985654]"
0,4,meta-llama/Llama-3.2-1B-Instruct,42,27,0,3660279322,3660279322,3372188369,3384423377,10609844,"[10985366, 10985654, 11226147, 10549158, 10549286, 10549414, 10549542, 10549670, 10549782, 10549894, 10550006, 10550118, 10550230, 10550326, 10550438, 10550534, 10550630, 10550726, 10550822, 10550918, 10550998, 10551094, 10551174, 10551254, 10551334, 10551430]"
0,6,meta-llama/Llama-3.2-1B-Instruct,52,154,0,5288923554,5288923554,3660279322,3671853468,10569085,"[10550934, 10551014, 10551110, 10551190, 10551270, 10551350, 10551446, 10551526, 10551590, 10551670, 10551750, 10551830, 10551894, 10551974, 10552038, 10552118, 10552246, 10552390, 10552534, 10552662, 10552790, 10552918, 10553062, 10553174, 10553302, 10553430, 10553558, 10553670, 10553798, 10553910, 10554022, 10554134, 10554246, 10554358, 10554470, 10554582, 10554694, 10554790, 10554902, 10555014, 10555110, 10555206, 10555318, 10555414, 10555510, 10555606, 10555702, 10555798, 10555894, 10555990, 10556070, 10556166, 10556262, 10556342, 10556438, 10556518, 10556614, 10556694, 10556790, 10556870, 10556950, 10557030, 10557110, 10557206, 10557286, 10557366, 10557446, 10557526, 10557590, 10557670, 10557750, 10557830, 10557910, 10557974, 10558054, 10558118, 10558198, 10558262, 10558310, 10558390, 10559222, 10560038, 10560870, 10561670, 10562486, 10563286, 10564086, 10564870, 10565654, 10566438, 10567206, 10567974, 10568742, 10569494, 10570246, 10570998, 10571734, 10572470, 10573206, 10573926, 10574646, 10575366, 10576086, 10576790, 10577494, 10578182, 10578886, 10579574, 10580262, 10580934, 10581606, 10582278, 10582950, 10583606, 10584278, 10584934, 10585574, 10586230, 10586870, 10587510, 10588150, 10588774, 10589398, 10590022, 10590646, 10591270, 10591878, 10592486, 10593094, 10593702, 10594294, 10594902, 10595494, 10596086, 10596662, 10597254, 10597830, 10598406, 10598982, 10599558, 10600118, 10600694, 10601254, 10601814, 10602374, 10602918, 10603478, 10604022, 10604566, 10605110, 10605638, 10606182, 10606710]"
0,5,meta-llama/Llama-3.2-1B-Instruct,22,285,0,6437208978,6437208978,3406394397,3417620544,10632353,"[10549158, 10549286, 10549414, 10549542, 10549670, 10549782, 10549894, 10550006, 10550118, 10550230, 10550326, 10550438, 10550534, 10550630, 10550726, 10550822, 10550918, 10550998, 10551094, 10551174, 10551254, 10551334, 10551430, 11574146, 10550934, 10551014, 10551110, 10551190, 10551270, 10551350, 10551446, 10551526, 10551590, 10551670, 10551750, 10551830, 10551894, 10551974, 10552038, 10552118, 10552246, 10552390, 10552534, 10552662, 10552790, 10552918, 10553062, 10553174, 10553302, 10553430, 10553558, 10553670, 10553798, 10553910, 10554022, 10554134, 10554246, 10554358, 10554470, 10554582, 10554694, 10554790, 10554902, 10555014, 10555110, 10555206, 10555318, 10555414, 10555510, 10555606, 10555702, 10555798, 10555894, 10555990, 10556070, 10556166, 10556262, 10556342, 10556438, 10556518, 10556614, 10556694, 10556790, 10556870, 10556950, 10557030, 10557110, 10557206, 10557286, 10557366, 10557446, 10557526, 10557590, 10557670, 10557750, 10557830, 10557910, 10557974, 10558054, 10558118, 10558198, 10558262, 10558310, 10558390, 10559222, 10560038, 10560870, 10561670, 10562486, 10563286, 10564086, 10564870, 10565654, 10566438, 10567206, 10567974, 10568742, 10569494, 10570246, 10570998, 10571734, 10572470, 10573206, 10573926, 10574646, 10575366, 10576086, 10576790, 10577494, 10578182, 10578886, 10579574, 10580262, 10580934, 10581606, 10582278, 10582950, 10583606, 10584278, 10584934, 10585574, 10586230, 10586870, 10587510, 10588150, 10588774, 10589398, 10590022, 10590646, 10591270, 10591878, 10592486, 10593094, 10593702, 10594294, 10594902, 10595494, 10596086, 10596662, 10597254, 10597830, 10598406, 10598982, 10599558, 10600118, 10600694, 10601254, 10601814, 10602374, 10602918, 10603478, 10604022, 10604566, 10605110, 10605638, 10606182, 10606710, 18169828, 10645942, 10646278, 10646598, 10646918, 10647254, 10647574, 10647894, 10648214, 10648550, 10648870, 10649190, 10649494, 10649814, 10650134, 10650438, 10650758, 10651062, 10651382, 10651686, 10652006, 10652310, 10652614, 10652934, 10653238, 10653542, 10653846, 10654150, 10654454, 10654742, 10655046, 10655350, 10655638, 10655942, 10656230, 10656534, 10656822, 10657110, 10657430, 10657718, 10658006, 10658294, 10658582, 10658870, 10659158, 10659446, 10659734, 10660006, 10660294, 10660582, 10660854, 10661142, 10661414, 10661718, 10661990, 10662278, 10662550, 10662822, 10663094, 10663382, 10663654, 10663926, 10664198, 10664470, 10664742, 10665014, 10665270, 10665542, 10665814, 10666086, 10666342, 10666630, 10666886, 10667158, 10667414, 10667686, 10667942, 10668198, 10668470, 10668726, 10668982, 10669238, 10669494, 10669750, 10670006, 10670262, 10670518, 10670774, 10671030, 10671286, 10671558, 10671798, 10672054, 10672310, 10672550, 10672806, 10673046, 10673302, 10673542, 10673798, 10674038, 10674278, 10674534, 10674774, 10675014, 10675254, 10675510]"
0,8,meta-llama/Llama-3.2-1B-Instruct,26,171,0,8260851694,8260851694,6437208978,6448661698,10659941,"[10633910, 10634278, 10634662, 10635014, 10635382, 10635750, 10636118, 10636470, 10636854, 10637206, 10637558, 10637910, 10638262, 10638614, 10638982, 10639334, 10639686, 10640022, 10640358, 10640710, 10641046, 10641398, 10641734, 10642070, 10642422, 10642758, 10643094, 10643430, 10643766, 10644086, 10644422, 10644758, 10645094, 10645414, 10645750, 10646070, 10646390, 10646726, 10647046, 10647366, 10647670, 10647990, 10648310, 10648630, 10648934, 10649254, 10649574, 10649878, 10650198, 10650502, 10650822, 10651126, 10651446, 10651750, 10652054, 10652358, 10652662, 10652966, 10653254, 10653558, 10653862, 10654150, 10654454, 10654758, 10655046, 10655350, 10655638, 10655942, 10656230, 10656518, 10656822, 10657110, 10657398, 10657686, 10657974, 10658262, 10658534, 10658822, 10659110, 10659382, 10659670, 10659958, 10660230, 10660518, 10660790, 10661078, 10661350, 10661638, 10661910, 10662182, 10662454, 10662742, 10662998, 10663270, 10663542, 10663814, 10664086, 10664358, 10664614, 10664886, 10665158, 10665430, 10665686, 10665958, 10666214, 10666486, 10666742, 10667014, 10667254, 10667510, 10667782, 10668038, 10668294, 10668550, 10668806, 10669062, 10669318, 10669574, 10669830, 10670086, 10670342, 10670598, 10670838, 10671078, 10671334, 10671590, 10671830, 10672086, 10672326, 10672582, 10672822, 10673078, 10673318, 10673558, 10673814, 10674054, 10674294, 10674518, 10674774, 10675014, 10675254, 10675494, 10675734, 10675974, 10676214, 10676438, 10676678, 10676918, 10677158, 10677398, 10677622, 10677846, 10678086, 10678310, 10678550, 10678774, 10679014, 10679238, 10679478, 10679702, 10679926, 10680166, 10680390, 10680614, 10680838, 10681062, 10681286, 10681510, 10681734, 10681958]"
0,9,meta-llama/Llama-3.2-1B-Instruct,11,44,0,8730219485,8730219485,8260851694,8271651483,10664372,"[10658646, 10658918, 10659206, 10659494, 10659766, 10660054, 10660326, 10660614, 10660886, 10661174, 10661446, 10661718, 10661990, 10662278, 10662550, 10662822, 10663078, 10663350, 10663622, 10663894, 10664150, 10664422, 10664694, 10664966, 10665222, 10665494, 10665750, 10666022, 10666278, 10666550, 10666806, 10667062, 10667334, 10667590, 10667846, 10668102, 10668358, 10668614, 10668870, 10669126, 10669382, 10669638, 10669894]"
0,7,meta-llama/Llama-3.2-1B-Instruct,391,439,0,9980570689,9980570689,5288923554,5307093382,10670039,"[10645942, 10646278, 10646598, 10646918, 10647254, 10647574, 10647894, 10648214, 10648550, 10648870, 10649190, 10649494, 10649814, 10650134, 10650438, 10650758, 10651062, 10651382, 10651686, 10652006, 10652310, 10652614, 10652934, 10653238, 10653542, 10653846, 10654150, 10654454, 10654742, 10655046, 10655350, 10655638, 10655942, 10656230, 10656534, 10656822, 10657110, 10657430, 10657718, 10658006, 10658294, 10658582, 10658870, 10659158, 10659446, 10659734, 10660006, 10660294, 10660582, 10660854, 10661142, 10661414, 10661718, 10661990, 10662278, 10662550, 10662822, 10663094, 10663382, 10663654, 10663926, 10664198, 10664470, 10664742, 10665014, 10665270, 10665542, 10665814, 10666086, 10666342, 10666630, 10666886, 10667158, 10667414, 10667686, 10667942, 10668198, 10668470, 10668726, 10668982, 10669238, 10669494, 10669750, 10670006, 10670262, 10670518, 10670774, 10671030, 10671286, 10671558, 10671798, 10672054, 10672310, 10672550, 10672806, 10673046, 10673302, 10673542, 10673798, 10674038, 10674278, 10674534, 10674774, 10675014, 10675254, 10675510, 11452720, 10633910, 10634278, 10634662, 10635014, 10635382, 10635750, 10636118, 10636470, 10636854, 10637206, 10637558, 10637910, 10638262, 10638614, 10638982, 10639334, 10639686, 10640022, 10640358, 10640710, 10641046, 10641398, 10641734, 10642070, 10642422, 10642758, 10643094, 10643430, 10643766, 10644086, 10644422, 10644758, 10645094, 10645414, 10645750, 10646070, 10646390, 10646726, 10647046, 10647366, 10647670, 10647990, 10648310, 10648630, 10648934, 10649254, 10649574, 10649878, 10650198, 10650502, 10650822, 10651126, 10651446, 10651750, 10652054, 10652358, 10652662, 10652966, 10653254, 10653558, 10653862, 10654150, 10654454, 10654758, 10655046, 10655350, 10655638, 10655942, 10656230, 10656518, 10656822, 10657110, 10657398, 10657686, 10657974, 10658262, 10658534, 10658822, 10659110, 10659382, 10659670, 10659958, 10660230, 10660518, 10660790, 10661078, 10661350, 10661638, 10661910, 10662182, 10662454, 10662742, 10662998, 10663270, 10663542, 10663814, 10664086, 10664358, 10664614, 10664886, 10665158, 10665430, 10665686, 10665958, 10666214, 10666486, 10666742, 10667014, 10667254, 10667510, 10667782, 10668038, 10668294, 10668550, 10668806, 10669062, 10669318, 10669574, 10669830, 10670086, 10670342, 10670598, 10670838, 10671078, 10671334, 10671590, 10671830, 10672086, 10672326, 10672582, 10672822, 10673078, 10673318, 10673558, 10673814, 10674054, 10674294, 10674518, 10674774, 10675014, 10675254, 10675494, 10675734, 10675974, 10676214, 10676438, 10676678, 10676918, 10677158, 10677398, 10677622, 10677846, 10678086, 10678310, 10678550, 10678774, 10679014, 10679238, 10679478, 10679702, 10679926, 10680166, 10680390, 10680614, 10680838, 10681062, 10681286, 10681510, 10681734, 10681958, 10799789, 10658646, 10658918, 10659206, 10659494, 10659766, 10660054, 10660326, 10660614, 10660886, 10661174, 10661446, 10661718, 10661990, 10662278, 10662550, 10662822, 10663078, 10663350, 10663622, 10663894, 10664150, 10664422, 10664694, 10664966, 10665222, 10665494, 10665750, 10666022, 10666278, 10666550, 10666806, 10667062, 10667334, 10667590, 10667846, 10668102, 10668358, 10668614, 10668870, 10669126, 10669382, 10669638, 10669894, 11478396, 10666214, 10666486, 10666742, 10666998, 10667270, 10667526, 10667782, 10668038, 10668294, 10668550, 10668806, 10669062, 10669318, 10669574, 10669830, 10670070, 10670326, 10670566, 10670822, 10671078, 10671318, 10671574, 10671814, 10672070, 10672310, 10672566, 10672806, 10673046, 10673302, 10673542, 10673782, 10674022, 10674278, 10674518, 10674758, 10674998, 10675238, 10675478, 10675718, 10675942, 10676182, 10676422, 10676662, 10676902, 10677126, 10677366, 10677606, 10677830, 10678070, 10678294, 10678534, 10678758, 10678998, 10679222, 10679430, 10679670, 10679894, 10680118, 10680342, 10680582, 10680806, 10681030, 10681254, 10681478, 10681702, 10681926, 10682150, 10682374, 10682598, 10682822, 10683030, 10683254, 10683478, 10683702, 10683910, 10684134, 10684358, 10684566, 10684790, 10684998, 10685222, 10685430, 10685654, 10685862, 10686086, 10686278, 10686486, 10686710, 10686918, 10687126, 10687334, 10687558, 10687766, 10687974, 10688182, 10688390, 10688598, 10688806, 10689014, 10689222, 10689430, 10689638, 10689846, 10690054, 10690262, 10690454, 10690662, 10690870, 10691078, 10691270, 10691478, 10691686, 10691862, 10692070, 10692262, 10692470]"
