instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,4,meta-llama/Llama-3.2-1B-Instruct,42,27,0,344741573,344741573,1,164373215,6937244,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655]"
0,1,meta-llama/Llama-3.2-1B-Instruct,473,72,0,659199186,659199186,1,164373215,6969379,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655, 8323049, 6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431]"
0,2,meta-llama/Llama-3.2-1B-Instruct,3,87,0,764191400,764191400,1,164373215,6974630,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655, 8323049, 6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431, 7917716, 6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343]"
0,9,meta-llama/Llama-3.2-1B-Instruct,11,44,0,966882317,966882317,659199186,667116902,6971288,"[6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343, 8275617, 6934327, 6935015, 6935703, 6936375, 6937047, 6937735, 6938407, 6939079, 6939751, 6940439, 6941111, 6941783, 6942439, 6943111, 6943783, 6944439, 6945111, 6945767, 6946439, 6947095, 6947751, 6948407, 6949063, 6949719, 6950375, 6951031, 6951671, 6952327]"
0,3,meta-llama/Llama-3.2-1B-Instruct,11,138,0,1121261836,1121261836,1,164373215,6984588,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655, 8323049, 6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431, 7917716, 6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343, 8275617, 6934327, 6935015, 6935703, 6936375, 6937047, 6937735, 6938407, 6939079, 6939751, 6940439, 6941111, 6941783, 6942439, 6943111, 6943783, 6944439, 6945111, 6945767, 6946439, 6947095, 6947751, 6948407, 6949063, 6949719, 6950375, 6951031, 6951671, 6952327, 8285756, 6950423, 6951079, 6951719, 6952375, 6953015, 6953671, 6954311, 6954951, 6955591, 6956231, 6956871, 6957495, 6958135, 6958775, 6959415, 6960039, 6960679, 6961303, 6961927, 6962567, 6963191]"
0,6,meta-llama/Llama-3.2-1B-Instruct,52,154,0,1233284266,1233284266,1,164373215,6986346,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655, 8323049, 6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431, 7917716, 6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343, 8275617, 6934327, 6935015, 6935703, 6936375, 6937047, 6937735, 6938407, 6939079, 6939751, 6940439, 6941111, 6941783, 6942439, 6943111, 6943783, 6944439, 6945111, 6945767, 6946439, 6947095, 6947751, 6948407, 6949063, 6949719, 6950375, 6951031, 6951671, 6952327, 8285756, 6950423, 6951079, 6951719, 6952375, 6953015, 6953671, 6954311, 6954951, 6955591, 6956231, 6956871, 6957495, 6958135, 6958775, 6959415, 6960039, 6960679, 6961303, 6961927, 6962567, 6963191, 7647941, 6953831, 6954471, 6955111, 6955751, 6956391, 6957031, 6957671, 6958311, 6958951, 6959591, 6960215, 6960855, 6961479, 6962103, 6962727]"
0,8,meta-llama/Llama-3.2-1B-Instruct,26,171,0,1541559835,1541559835,344741573,353064622,6991148,"[6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431, 7917716, 6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343, 8275617, 6934327, 6935015, 6935703, 6936375, 6937047, 6937735, 6938407, 6939079, 6939751, 6940439, 6941111, 6941783, 6942439, 6943111, 6943783, 6944439, 6945111, 6945767, 6946439, 6947095, 6947751, 6948407, 6949063, 6949719, 6950375, 6951031, 6951671, 6952327, 8285756, 6950423, 6951079, 6951719, 6952375, 6953015, 6953671, 6954311, 6954951, 6955591, 6956231, 6956871, 6957495, 6958135, 6958775, 6959415, 6960039, 6960679, 6961303, 6961927, 6962567, 6963191, 7647941, 6953831, 6954471, 6955111, 6955751, 6956391, 6957031, 6957671, 6958311, 6958951, 6959591, 6960215, 6960855, 6961479, 6962103, 6962727, 8813076, 6950775, 6951431, 6952071, 6952727, 6953367, 6954023, 6954663, 6955303, 6955943, 6956583, 6957223, 6957863, 6958503, 6959143, 6959783, 6960407, 6961047, 6961671, 6962295, 6962935, 6963559, 6964183, 6964807, 6965431, 6966055, 6966679, 6967287, 6967911, 6968535, 6969143, 6969767, 6970455, 6971159, 6971847, 6972551, 6973239, 6973943, 6974631, 6975335, 6976023, 6976711, 6977399, 6978087]"
0,11,meta-llama/Llama-3.2-1B-Instruct,19,165,0,2170090056,2170090056,966882317,975168073,7286109,"[6950423, 6951079, 6951719, 6952375, 6953015, 6953671, 6954311, 6954951, 6955591, 6956231, 6956871, 6957495, 6958135, 6958775, 6959415, 6960039, 6960679, 6961303, 6961927, 6962567, 6963191, 7647941, 6953831, 6954471, 6955111, 6955751, 6956391, 6957031, 6957671, 6958311, 6958951, 6959591, 6960215, 6960855, 6961479, 6962103, 6962727, 8813076, 6950775, 6951431, 6952071, 6952727, 6953367, 6954023, 6954663, 6955303, 6955943, 6956583, 6957223, 6957863, 6958503, 6959143, 6959783, 6960407, 6961047, 6961671, 6962295, 6962935, 6963559, 6964183, 6964807, 6965431, 6966055, 6966679, 6967287, 6967911, 6968535, 6969143, 6969767, 6970455, 6971159, 6971847, 6972551, 6973239, 6973943, 6974631, 6975335, 6976023, 6976711, 6977399, 6978087, 49138559, 7043495, 7044055, 7044631, 7045207, 7045767, 7046343, 7046903, 7047479, 7048039, 7048599, 7049159, 7049735, 7050295, 7050855, 7051415, 7051991, 7052551, 7053095, 7053655, 7054215, 7054775, 7055319, 7055879, 7056423, 7056983, 7057527, 7058087, 7058631, 7059175, 7059719, 7060279, 7060823, 7061367, 7061911, 7062455, 7062999, 7063543, 7064087, 7064631, 7065175, 7065703, 7066247, 7066791, 7067319, 7067847, 7068391, 7068919, 7069463, 7069991, 7070519, 7071047, 7071575, 7072103, 7072647, 7073175, 7073703, 7074231, 7074759, 7075287, 7075799, 7076327, 7076855, 7077367, 7077895, 7078407, 7078935, 7079447, 7079959, 7080503, 7081015, 7081527, 7082039, 7082551, 7083079, 7083591, 7084103, 7084599, 7085111, 7085623, 7086135, 7086647, 7087159]"
0,5,meta-llama/Llama-3.2-1B-Instruct,22,285,0,2200637046,2200637046,1,164373215,7169943,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655, 8323049, 6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431, 7917716, 6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343, 8275617, 6934327, 6935015, 6935703, 6936375, 6937047, 6937735, 6938407, 6939079, 6939751, 6940439, 6941111, 6941783, 6942439, 6943111, 6943783, 6944439, 6945111, 6945767, 6946439, 6947095, 6947751, 6948407, 6949063, 6949719, 6950375, 6951031, 6951671, 6952327, 8285756, 6950423, 6951079, 6951719, 6952375, 6953015, 6953671, 6954311, 6954951, 6955591, 6956231, 6956871, 6957495, 6958135, 6958775, 6959415, 6960039, 6960679, 6961303, 6961927, 6962567, 6963191, 7647941, 6953831, 6954471, 6955111, 6955751, 6956391, 6957031, 6957671, 6958311, 6958951, 6959591, 6960215, 6960855, 6961479, 6962103, 6962727, 8813076, 6950775, 6951431, 6952071, 6952727, 6953367, 6954023, 6954663, 6955303, 6955943, 6956583, 6957223, 6957863, 6958503, 6959143, 6959783, 6960407, 6961047, 6961671, 6962295, 6962935, 6963559, 6964183, 6964807, 6965431, 6966055, 6966679, 6967287, 6967911, 6968535, 6969143, 6969767, 6970455, 6971159, 6971847, 6972551, 6973239, 6973943, 6974631, 6975335, 6976023, 6976711, 6977399, 6978087, 49138559, 7043495, 7044055, 7044631, 7045207, 7045767, 7046343, 7046903, 7047479, 7048039, 7048599, 7049159, 7049735, 7050295, 7050855, 7051415, 7051991, 7052551, 7053095, 7053655, 7054215, 7054775, 7055319, 7055879, 7056423, 7056983, 7057527, 7058087, 7058631, 7059175, 7059719, 7060279, 7060823, 7061367, 7061911, 7062455, 7062999, 7063543, 7064087, 7064631, 7065175, 7065703, 7066247, 7066791, 7067319, 7067847, 7068391, 7068919, 7069463, 7069991, 7070519, 7071047, 7071575, 7072103, 7072647, 7073175, 7073703, 7074231, 7074759, 7075287, 7075799, 7076327, 7076855, 7077367, 7077895, 7078407, 7078935, 7079447, 7079959, 7080503, 7081015, 7081527, 7082039, 7082551, 7083079, 7083591, 7084103, 7084599, 7085111, 7085623, 7086135, 7086647, 7087159, 9306617, 7079607, 7080119, 7080647]"
0,0,meta-llama/Llama-3.2-1B-Instruct,2619,300,0,2308640717,2308640717,1,164373215,7171463,"[6928695, 6929399, 6930087, 6930791, 6931479, 6932167, 6932839, 6933527, 6934215, 6934903, 6935575, 6936263, 6936951, 6937623, 6938295, 6938967, 6939655, 6940327, 6940999, 6941655, 6942327, 6942999, 6943655, 6944327, 6944983, 6945655, 8323049, 6943703, 6944375, 6945031, 6945703, 6946359, 6947015, 6947671, 6948327, 6948983, 6949639, 6950295, 6950935, 6951591, 6952231, 6952887, 6953527, 6954167, 6954807, 6955447, 6956087, 6956727, 6957367, 6958007, 6958647, 6959271, 6959911, 6960535, 6961159, 6961799, 6962423, 6963047, 6963671, 6964295, 6964919, 6965543, 6966151, 6966775, 6967399, 6968007, 6968631, 6969319, 6970023, 6970727, 6971431, 7917716, 6929399, 6930103, 6930791, 6931495, 6932183, 6932871, 6933559, 6934247, 6934935, 6935623, 6936295, 6936983, 6937671, 6938343, 8275617, 6934327, 6935015, 6935703, 6936375, 6937047, 6937735, 6938407, 6939079, 6939751, 6940439, 6941111, 6941783, 6942439, 6943111, 6943783, 6944439, 6945111, 6945767, 6946439, 6947095, 6947751, 6948407, 6949063, 6949719, 6950375, 6951031, 6951671, 6952327, 8285756, 6950423, 6951079, 6951719, 6952375, 6953015, 6953671, 6954311, 6954951, 6955591, 6956231, 6956871, 6957495, 6958135, 6958775, 6959415, 6960039, 6960679, 6961303, 6961927, 6962567, 6963191, 7647941, 6953831, 6954471, 6955111, 6955751, 6956391, 6957031, 6957671, 6958311, 6958951, 6959591, 6960215, 6960855, 6961479, 6962103, 6962727, 8813076, 6950775, 6951431, 6952071, 6952727, 6953367, 6954023, 6954663, 6955303, 6955943, 6956583, 6957223, 6957863, 6958503, 6959143, 6959783, 6960407, 6961047, 6961671, 6962295, 6962935, 6963559, 6964183, 6964807, 6965431, 6966055, 6966679, 6967287, 6967911, 6968535, 6969143, 6969767, 6970455, 6971159, 6971847, 6972551, 6973239, 6973943, 6974631, 6975335, 6976023, 6976711, 6977399, 6978087, 49138559, 7043495, 7044055, 7044631, 7045207, 7045767, 7046343, 7046903, 7047479, 7048039, 7048599, 7049159, 7049735, 7050295, 7050855, 7051415, 7051991, 7052551, 7053095, 7053655, 7054215, 7054775, 7055319, 7055879, 7056423, 7056983, 7057527, 7058087, 7058631, 7059175, 7059719, 7060279, 7060823, 7061367, 7061911, 7062455, 7062999, 7063543, 7064087, 7064631, 7065175, 7065703, 7066247, 7066791, 7067319, 7067847, 7068391, 7068919, 7069463, 7069991, 7070519, 7071047, 7071575, 7072103, 7072647, 7073175, 7073703, 7074231, 7074759, 7075287, 7075799, 7076327, 7076855, 7077367, 7077895, 7078407, 7078935, 7079447, 7079959, 7080503, 7081015, 7081527, 7082039, 7082551, 7083079, 7083591, 7084103, 7084599, 7085111, 7085623, 7086135, 7086647, 7087159, 9306617, 7079607, 7080119, 7080647, 9051189, 7064535, 7065079, 7065623, 7066151, 7066695, 7067239, 7067767, 7068295, 7068839, 7069383, 7069927, 7070455, 7070983, 7071511]"
