instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,2619,300,0,3204557341,3204557341,1,99530059,10384706,"[10375862, 10375926, 10375990, 10376038, 10376102, 10376166, 10376230, 10376294, 10376358, 10376406, 10376470, 10376534, 10376598, 10376662, 10376726, 10376774, 10376838, 10376902, 10376966, 10377030, 10377094, 10377142, 10377206, 10377270, 10377334, 10377398, 10377446, 10377510, 10377574, 10377638, 10377702, 10377750, 10377814, 10377878, 10377942, 10378006, 10378054, 10378118, 10378182, 10378246, 10378310, 10378358, 10378422, 10378486, 10378550, 10378614, 10378662, 10378726, 10378790, 10378854, 10378918, 10378966, 10379030, 10379094, 10379158, 10379206, 10379270, 10379334, 10379398, 10379446, 10379510, 10379574, 10379638, 10379686, 10379750, 10379814, 10379878, 10379942, 10379990, 10380054, 10380118, 10380182, 10380230, 10380294, 10380358, 10380406, 10380470, 10380534, 10380598, 10380646, 10380710, 10380774, 10380838, 10380886, 10380950, 10381014, 10381078, 10381126, 10381190, 10381254, 10381302, 10381366, 10381430, 10381494, 10381542, 10381606, 10381670, 10381718, 10381782, 10381846, 10381910, 10381958, 10382022, 10382086, 10382134, 10382198, 10382262, 10382326, 10382374, 10382438, 10382502, 10382550, 10382614, 10382678, 10382726, 10382790, 10382854, 10382902, 10382966, 10383030, 10383094, 10383142, 10383206, 10383270, 10383318, 10383382, 10383446, 10383494, 10383558, 10383622, 10383670, 10383734, 10383798, 10383846, 10383910, 10383974, 10384022, 10384086, 10384150, 10384198, 10384262, 10384326, 10384374, 10384438, 10384486, 10384550, 10384614, 10384662, 10384726, 10384790, 10384838, 10384902, 10384966, 10385014, 10385078, 10385142, 10385190, 10385254, 10385302, 10385366, 10385430, 10385478, 10385542, 10385606, 10385654, 10385718, 10385766, 10385830, 10385894, 10385942, 10386006, 10386054, 10386118, 10386182, 10386230, 10386294, 10386358, 10386406, 10386470, 10386518, 10386582, 10386646, 10386694, 10386758, 10386806, 10386870, 10386934, 10386982, 10387046, 10387094, 10387158, 10387222, 10387270, 10387334, 10387382, 10387446, 10387494, 10387558, 10387622, 10387670, 10387734, 10387782, 10387846, 10387894, 10387958, 10388022, 10388070, 10388134, 10388182, 10388246, 10388294, 10388358, 10388422, 10388470, 10388534, 10388582, 10388646, 10388694, 10388758, 10388806, 10388870, 10388934, 10388982, 10389046, 10389094, 10389158, 10389206, 10389270, 10389318, 10389382, 10389430, 10389494, 10389558, 10389606, 10389670, 10389718, 10389782, 10389830, 10389894, 10389942, 10390006, 10390054, 10390118, 10390166, 10390230, 10390278, 10390342, 10390390, 10390454, 10390502, 10390566, 10390630, 10390678, 10390742, 10390790, 10390854, 10390902, 10390966, 10391014, 10391078, 10391126, 10391190, 10391238, 10391302, 10391350, 10391414, 10391462, 10391526, 10391574, 10391638, 10391686, 10391750, 10391798, 10391846, 10391910, 10391958, 10392022, 10392070, 10392134, 10392182, 10392246, 10392294, 10392358, 10392406, 10392470, 10392518, 10392582, 10392630, 10392694, 10392742, 10392806, 10392854, 10392918, 10392966, 10393014, 10393078, 10393126, 10393190, 10393238]"
0,1,meta-llama/Llama-3.2-1B-Instruct,473,72,0,3950609988,3950609988,3204557341,3224230634,10230695,"[10230054, 10230070, 10230086, 10230102, 10230118, 10230134, 10230166, 10230182, 10230198, 10230214, 10230230, 10230246, 10230262, 10230278, 10230294, 10230326, 10230342, 10230358, 10230374, 10230390, 10230406, 10230422, 10230438, 10230454, 10230470, 10230502, 10230518, 10230534, 10230550, 10230566, 10230582, 10230598, 10230614, 10230630, 10230646, 10230662, 10230678, 10230694, 10230710, 10230742, 10230758, 10230774, 10230806, 10230822, 10230838, 10230870, 10230886, 10230902, 10230934, 10230950, 10230982, 10230998, 10231014, 10231046, 10231062, 10231078, 10231110, 10231126, 10231142, 10231174, 10231190, 10231206, 10231238, 10231254, 10231270, 10231302, 10231318, 10231334, 10231350, 10231382, 10231398]"
0,2,meta-llama/Llama-3.2-1B-Instruct,3,87,0,4834282342,4834282342,3950609988,3961060466,10153742,"[10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153270, 10153302, 10153334, 10153350, 10153382, 10153398, 10153414, 10153446, 10153462, 10153478, 10153494, 10153510, 10153542, 10153558, 10153574, 10153590, 10153606, 10153622, 10153654, 10153670, 10153686, 10153702, 10153734, 10153750, 10153766, 10153782, 10153798, 10153814, 10153830, 10153846, 10153862, 10153878, 10153894, 10153910, 10153926, 10153942, 10153958, 10153974, 10153990, 10153990, 10154006, 10154022, 10154038, 10154054, 10154054, 10154070, 10154086, 10154102, 10154086, 10154086, 10154086, 10154086, 10154070, 10154070, 10154070, 10154070, 10154054, 10154054, 10154054, 10154054, 10154054, 10154038, 10154038, 10154038, 10154038, 10154038, 10154022, 10154022, 10154022, 10154022, 10154022, 10154006]"
0,3,meta-llama/Llama-3.2-1B-Instruct,11,138,0,6236022722,6236022722,4834282342,4844799468,10154914,"[10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153270, 10153302, 10153334, 10153350, 10153382, 10153398, 10153414, 10153446, 10153462, 10153478, 10153494, 10153510, 10153542, 10153558, 10153574, 10153590, 10153606, 10153622, 10153654, 10153670, 10153686, 10153702, 10153734, 10153750, 10153766, 10153782, 10153798, 10153814, 10153830, 10153846, 10153862, 10153878, 10153894, 10153910, 10153926, 10153942, 10153958, 10153974, 10153990, 10153990, 10154006, 10154022, 10154038, 10154054, 10154054, 10154070, 10154086, 10154102, 10154086, 10154086, 10154086, 10154086, 10154070, 10154070, 10154070, 10154070, 10154054, 10154054, 10154054, 10154054, 10154054, 10154038, 10154038, 10154038, 10154038, 10154038, 10154022, 10154022, 10154022, 10154022, 10154022, 10154006, 10154006, 10154006, 10154006, 10154006, 10154006, 10153990, 10153990, 10153990, 10153990, 10153990, 10153990, 10153974, 10153974, 10153974, 10153974, 10153974, 10153974, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10154710, 10155510, 10156278, 10157062, 10157830, 10158598, 10159366, 10160118, 10160854, 10161606, 10162342, 10163078, 10163798, 10164518, 10165238, 10165958, 10166662, 10167366, 10168054]"
0,4,meta-llama/Llama-3.2-1B-Instruct,42,27,0,6511379060,6511379060,6236022722,6247375976,10153964,"[10153782, 10153798, 10153814, 10153830, 10153846, 10153862, 10153878, 10153894, 10153910, 10153926, 10153942, 10153958, 10153974, 10153990, 10153990, 10154006, 10154022, 10154038, 10154054, 10154054, 10154070, 10154086, 10154102, 10154086, 10154086, 10154086]"
0,5,meta-llama/Llama-3.2-1B-Instruct,22,285,0,9414794313,9414794313,6511379060,6522484849,10184188,"[10153398, 10153414, 10153446, 10153462, 10153478, 10153494, 10153510, 10153542, 10153558, 10153574, 10153590, 10153606, 10153622, 10153654, 10153670, 10153686, 10153702, 10153734, 10153750, 10153766, 10153782, 10153798, 10153814, 10153830, 10153846, 10153862, 10153878, 10153894, 10153910, 10153926, 10153942, 10153958, 10153974, 10153990, 10153990, 10154006, 10154022, 10154038, 10154054, 10154054, 10154070, 10154086, 10154102, 10154086, 10154086, 10154086, 10154086, 10154070, 10154070, 10154070, 10154070, 10154054, 10154054, 10154054, 10154054, 10154054, 10154038, 10154038, 10154038, 10154038, 10154038, 10154022, 10154022, 10154022, 10154022, 10154022, 10154006, 10154006, 10154006, 10154006, 10154006, 10154006, 10153990, 10153990, 10153990, 10153990, 10153990, 10153990, 10153974, 10153974, 10153974, 10153974, 10153974, 10153974, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10154710, 10155510, 10156278, 10157062, 10157830, 10158598, 10159366, 10160118, 10160854, 10161606, 10162342, 10163078, 10163798, 10164518, 10165238, 10165958, 10166662, 10167366, 10168054, 10168758, 10169446, 10170118, 10170806, 10171478, 10172150, 10172822, 10173478, 10174134, 10174790, 10175430, 10176086, 10176726, 10177350, 10177990, 10178614, 10179238, 10179862, 10180486, 10181094, 10181702, 10182310, 10182918, 10183510, 10184118, 10184710, 10185286, 10185878, 10186454, 10187046, 10187622, 10188182, 10188758, 10189318, 10189894, 10190454, 10190998, 10191558, 10192102, 10192662, 10193206, 10193750, 10194278, 10194822, 10195350, 10195878, 10196406, 10196934, 10197462, 10197974, 10198502, 10199014, 10199526, 10200038, 10200534, 10201046, 10201542, 10202054, 10202550, 10203046, 10203526, 10204022, 10204502, 10204998, 10205478, 10205958, 10206438, 10206918, 10207382, 10207862, 10208326, 10208790, 10209270, 10209734, 10210182, 10210646, 10211110, 10211558, 10212006, 10212470, 10212918, 10213366, 10213798, 10214246, 10214694, 10215126, 10215574, 10216006, 10216438, 10216870, 10217302, 10217734, 10218150, 10218582, 10218998, 10219430, 10219846, 10220262, 10220678, 10221094, 10221510, 10221910, 10222326, 10222742, 10223142, 10223542, 10223942, 10224358, 10224758, 10224790, 10224822, 10224854, 10224886, 10224918, 10224950, 10224982, 10225014, 10225046, 10225078, 10225110, 10225142, 10225174, 10225206, 10225238, 10225270, 10225302, 10225334, 10225366, 10225398, 10225430, 10225462, 10225494, 10225526, 10225558, 10225590, 10225622, 10225654, 10225670, 10225702, 10225734, 10225766, 10225798, 10225830, 10225862, 10225878, 10225910, 10225942, 10225974, 10226006, 10226038, 10226054, 10226086, 10226118, 10226150, 10226182, 10226198, 10226230, 10226262]"
0,6,meta-llama/Llama-3.2-1B-Instruct,52,154,0,10981769864,10981769864,9414794313,9426240370,10166859,"[10153942, 10153958, 10153974, 10153990, 10153990, 10154006, 10154022, 10154038, 10154054, 10154054, 10154070, 10154086, 10154102, 10154086, 10154086, 10154086, 10154086, 10154070, 10154070, 10154070, 10154070, 10154054, 10154054, 10154054, 10154054, 10154054, 10154038, 10154038, 10154038, 10154038, 10154038, 10154022, 10154022, 10154022, 10154022, 10154022, 10154006, 10154006, 10154006, 10154006, 10154006, 10154006, 10153990, 10153990, 10153990, 10153990, 10153990, 10153990, 10153974, 10153974, 10153974, 10153974, 10153974, 10153974, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10154710, 10155510, 10156278, 10157062, 10157830, 10158598, 10159366, 10160118, 10160854, 10161606, 10162342, 10163078, 10163798, 10164518, 10165238, 10165958, 10166662, 10167366, 10168054, 10168758, 10169446, 10170118, 10170806, 10171478, 10172150, 10172822, 10173478, 10174134, 10174790, 10175430, 10176086, 10176726, 10177350, 10177990, 10178614, 10179238, 10179862, 10180486, 10181094, 10181702, 10182310, 10182918, 10183510, 10184118, 10184710, 10185286, 10185878, 10186454, 10187046, 10187622, 10188182, 10188758, 10189318, 10189894, 10190454, 10190998, 10191558, 10192102, 10192662, 10193206, 10193750, 10194278, 10194822, 10195350, 10195878, 10196406, 10196934, 10197462, 10197974, 10198502, 10199014, 10199526, 10200038, 10200534, 10201046, 10201542]"
0,7,meta-llama/Llama-3.2-1B-Instruct,391,439,0,15481611844,15481611844,10981769864,10999755584,10232548,"[10228406, 10228422, 10228454, 10228470, 10228502, 10228518, 10228534, 10228566, 10228582, 10228598, 10228630, 10228646, 10228662, 10228694, 10228710, 10228726, 10228758, 10228774, 10228790, 10228822, 10228838, 10228854, 10228886, 10228902, 10228918, 10228934, 10228966, 10228982, 10228998, 10229030, 10229046, 10229062, 10229078, 10229110, 10229126, 10229142, 10229174, 10229190, 10229206, 10229222, 10229254, 10229270, 10229286, 10229302, 10229334, 10229350, 10229366, 10229382, 10229414, 10229430, 10229446, 10229462, 10229478, 10229510, 10229526, 10229542, 10229558, 10229574, 10229606, 10229622, 10229638, 10229654, 10229670, 10229702, 10229718, 10229734, 10229750, 10229766, 10229798, 10229814, 10229830, 10229846, 10229862, 10229878, 10229910, 10229926, 10229942, 10229958, 10229974, 10229990, 10230006, 10230038, 10230054, 10230070, 10230086, 10230102, 10230118, 10230134, 10230166, 10230182, 10230198, 10230214, 10230230, 10230246, 10230262, 10230278, 10230294, 10230326, 10230342, 10230358, 10230374, 10230390, 10230406, 10230422, 10230438, 10230454, 10230470, 10230502, 10230518, 10230534, 10230550, 10230566, 10230582, 10230598, 10230614, 10230630, 10230646, 10230662, 10230678, 10230694, 10230710, 10230742, 10230758, 10230774, 10230806, 10230822, 10230838, 10230870, 10230886, 10230902, 10230934, 10230950, 10230982, 10230998, 10231014, 10231046, 10231062, 10231078, 10231110, 10231126, 10231142, 10231174, 10231190, 10231206, 10231238, 10231254, 10231270, 10231302, 10231318, 10231334, 10231350, 10231382, 10231398, 10231414, 10231446, 10231462, 10231478, 10231510, 10231526, 10231542, 10231558, 10231590, 10231606, 10231622, 10231654, 10231670, 10231686, 10231702, 10231734, 10231750, 10231766, 10231782, 10231814, 10231830, 10231846, 10231862, 10231894, 10231910, 10231926, 10231942, 10231974, 10231990, 10232006, 10232022, 10232054, 10232070, 10232086, 10232102, 10232118, 10232150, 10232166, 10232182, 10232198, 10232230, 10232246, 10232262, 10232278, 10232294, 10232326, 10232342, 10232358, 10232374, 10232390, 10232422, 10232438, 10232454, 10232470, 10232486, 10232502, 10232534, 10232550, 10232566, 10232582, 10232598, 10232614, 10232646, 10232662, 10232678, 10232694, 10232710, 10232726, 10232758, 10232774, 10232790, 10232806, 10232822, 10232838, 10232870, 10232886, 10232902, 10232918, 10232934, 10232950, 10232966, 10232982, 10233014, 10233030, 10233046, 10233062, 10233078, 10233094, 10233110, 10233126, 10233158, 10233174, 10233190, 10233206, 10233222, 10233238, 10233254, 10233270, 10233286, 10233318, 10233334, 10233350, 10233366, 10233382, 10233398, 10233414, 10233430, 10233446, 10233462, 10233478, 10233510, 10233526, 10233542, 10233558, 10233574, 10233590, 10233606, 10233622, 10233638, 10233654, 10233670, 10233686, 10233702, 10233718, 10233750, 10233766, 10233782, 10233798, 10233814, 10233830, 10233846, 10233862, 10233878, 10233894, 10233910, 10233926, 10233942, 10233958, 10233974, 10233990, 10234006, 10234022, 10234038, 10234054, 10234070, 10234086, 10234102, 10234118, 10234134, 10234150, 10234182, 10234198, 10234214, 10234230, 10234246, 10234262, 10234278, 10234294, 10234310, 10234326, 10234342, 10234358, 10234374, 10234390, 10234406, 10234422, 10234438, 10234454, 10234470, 10234486, 10234502, 10234518, 10234534, 10234550, 10234566, 10234582, 10234598, 10234598, 10234614, 10234630, 10234646, 10234662, 10234678, 10234694, 10234710, 10234726, 10234742, 10234758, 10234774, 10234790, 10234806, 10234822, 10234838, 10234854, 10234870, 10234886, 10234902, 10234918, 10234934, 10234950, 10234966, 10234982, 10234998, 10235014, 10235014, 10235030, 10235046, 10235062, 10235078, 10235094, 10235110, 10235126, 10235142, 10235158, 10235174, 10235190, 10235206, 10235222, 10235238, 10235254, 10235254, 10235270, 10235286, 10235302, 10235318, 10235334, 10235350, 10235366, 10235382, 10235398, 10235414, 10235430, 10235430, 10235446, 10235462, 10235478, 10235494, 10235510, 10235526, 10235542, 10235558, 10235574, 10235590, 10235590, 10235606, 10235622, 10235638, 10235654, 10235670, 10235686, 10235702, 10235718, 10235718, 10235734, 10235750, 10235766, 10235782, 10235798, 10235814, 10235830, 10235846, 10235846, 10235862, 10235878, 10235894, 10235910, 10235926, 10235942, 10235958, 10235958, 10235974, 10235990, 10236006, 10236022, 10236038, 10236054, 10236054, 10236070, 10236086, 10236102, 10236118, 10236134, 10236150, 10236150, 10236166]"
0,8,meta-llama/Llama-3.2-1B-Instruct,26,171,0,17220502892,17220502892,15481611844,15492772560,10163119,"[10153478, 10153494, 10153510, 10153542, 10153558, 10153574, 10153590, 10153606, 10153622, 10153654, 10153670, 10153686, 10153702, 10153734, 10153750, 10153766, 10153782, 10153798, 10153814, 10153830, 10153846, 10153862, 10153878, 10153894, 10153910, 10153926, 10153942, 10153958, 10153974, 10153990, 10153990, 10154006, 10154022, 10154038, 10154054, 10154054, 10154070, 10154086, 10154102, 10154086, 10154086, 10154086, 10154086, 10154070, 10154070, 10154070, 10154070, 10154054, 10154054, 10154054, 10154054, 10154054, 10154038, 10154038, 10154038, 10154038, 10154038, 10154022, 10154022, 10154022, 10154022, 10154022, 10154006, 10154006, 10154006, 10154006, 10154006, 10154006, 10153990, 10153990, 10153990, 10153990, 10153990, 10153990, 10153974, 10153974, 10153974, 10153974, 10153974, 10153974, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153958, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153942, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10153926, 10154710, 10155510, 10156278, 10157062, 10157830, 10158598, 10159366, 10160118, 10160854, 10161606, 10162342, 10163078, 10163798, 10164518, 10165238, 10165958, 10166662, 10167366, 10168054, 10168758, 10169446, 10170118, 10170806, 10171478, 10172150, 10172822, 10173478, 10174134, 10174790, 10175430, 10176086, 10176726, 10177350, 10177990, 10178614, 10179238, 10179862, 10180486, 10181094, 10181702, 10182310, 10182918, 10183510, 10184118, 10184710, 10185286, 10185878, 10186454, 10187046, 10187622, 10188182, 10188758, 10189318, 10189894, 10190454, 10190998, 10191558, 10192102, 10192662, 10193206, 10193750, 10194278, 10194822, 10195350, 10195878, 10196406, 10196934]"
0,9,meta-llama/Llama-3.2-1B-Instruct,11,44,0,17667624276,17667624276,17220502892,17231020018,10153587,"[10153254, 10153254, 10153254, 10153254, 10153254, 10153254, 10153270, 10153302, 10153334, 10153350, 10153382, 10153398, 10153414, 10153446, 10153462, 10153478, 10153494, 10153510, 10153542, 10153558, 10153574, 10153590, 10153606, 10153622, 10153654, 10153670, 10153686, 10153702, 10153734, 10153750, 10153766, 10153782, 10153798, 10153814, 10153830, 10153846, 10153862, 10153878, 10153894, 10153910, 10153926, 10153942, 10153958]"
