instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,1751,44,0,656917902,656917902,1,176293335,11177315,"[11163237, 11163925, 11164597, 11165269, 11165941, 11166629, 11167317, 11167989, 11168661, 11169333, 11170005, 11170677, 11171333, 11172005, 11172677, 11173365, 11174037, 11174693, 11175365, 11176037, 11176693, 11177365, 11178021, 11178693, 11179365, 11180021, 11180693, 11181349, 11182005, 11182661, 11183333, 11183989, 11184645, 11185301, 11185973, 11186629, 11187285, 11187941, 11188597, 11189253, 11189909, 11190549, 11191205]"
0,2,meta-llama/Llama-3.2-1B-Instruct,1279,57,0,814322443,814322443,1,176293335,11393376,"[11163237, 11163925, 11164597, 11165269, 11165941, 11166629, 11167317, 11167989, 11168661, 11169333, 11170005, 11170677, 11171333, 11172005, 11172677, 11173365, 11174037, 11174693, 11175365, 11176037, 11176693, 11177365, 11178021, 11178693, 11179365, 11180021, 11180693, 11181349, 11182005, 11182661, 11183333, 11183989, 11184645, 11185301, 11185973, 11186629, 11187285, 11187941, 11188597, 11189253, 11189909, 11190549, 11191205, 24909777, 11038677, 11039125, 11039605, 11040069, 11040533, 11041013, 11041477, 11041925, 11042389, 11042853, 11043317, 11043781]"
0,3,meta-llama/Llama-3.2-1B-Instruct,508,58,0,845675171,845675171,1,176293335,11743540,"[11163237, 11163925, 11164597, 11165269, 11165941, 11166629, 11167317, 11167989, 11168661, 11169333, 11170005, 11170677, 11171333, 11172005, 11172677, 11173365, 11174037, 11174693, 11175365, 11176037, 11176693, 11177365, 11178021, 11178693, 11179365, 11180021, 11180693, 11181349, 11182005, 11182661, 11183333, 11183989, 11184645, 11185301, 11185973, 11186629, 11187285, 11187941, 11188597, 11189253, 11189909, 11190549, 11191205, 24909777, 11038677, 11039125, 11039605, 11040069, 11040533, 11041013, 11041477, 11041925, 11042389, 11042853, 11043317, 11043781, 31352728]"
0,1,meta-llama/Llama-3.2-1B-Instruct,733,75,0,1052995238,1052995238,1,176293335,11847323,"[11163237, 11163925, 11164597, 11165269, 11165941, 11166629, 11167317, 11167989, 11168661, 11169333, 11170005, 11170677, 11171333, 11172005, 11172677, 11173365, 11174037, 11174693, 11175365, 11176037, 11176693, 11177365, 11178021, 11178693, 11179365, 11180021, 11180693, 11181349, 11182005, 11182661, 11183333, 11183989, 11184645, 11185301, 11185973, 11186629, 11187285, 11187941, 11188597, 11189253, 11189909, 11190549, 11191205, 24909777, 11038677, 11039125, 11039605, 11040069, 11040533, 11041013, 11041477, 11041925, 11042389, 11042853, 11043317, 11043781, 31352728, 31460531, 10987141, 10987717, 10988245, 10988789, 10989317, 10989861, 10990389, 10990981, 10991525, 10992021, 10992565, 10993109, 10993653, 10994213, 10994741, 10995269]"
0,4,meta-llama/Llama-3.2-1B-Instruct,606,49,0,1306599646,1306599646,656917902,681827679,13016082,"[11038677, 11039125, 11039605, 11040069, 11040533, 11041013, 11041477, 11041925, 11042389, 11042853, 11043317, 11043781, 31352728, 31460531, 10987141, 10987717, 10988245, 10988789, 10989317, 10989861, 10990389, 10990981, 10991525, 10992021, 10992565, 10993109, 10993653, 10994213, 10994741, 10995269, 64563683, 11117029, 11117413, 11117781, 11118165, 11118533, 11118917, 11119301, 11119669, 11120053, 11120421, 11120805, 11121173, 11121557, 11121909, 11122293, 11122661, 11123045]"
0,6,meta-llama/Llama-3.2-1B-Instruct,826,69,0,1737451431,1737451431,845675171,877135702,12651701,"[10987141, 10987717, 10988245, 10988789, 10989317, 10989861, 10990389, 10990981, 10991525, 10992021, 10992565, 10993109, 10993653, 10994213, 10994741, 10995269, 64563683, 11117029, 11117413, 11117781, 11118165, 11118533, 11118917, 11119301, 11119669, 11120053, 11120421, 11120805, 11121173, 11121557, 11121909, 11122293, 11122661, 11123045, 58437284, 11276069, 11276645, 11277221, 11277797, 11278405, 11278981, 11279557, 11280133, 11280709, 11281285, 11281861, 11282437, 11283013, 11283589, 11284165, 11284725, 11285301, 11285877, 11286453, 11287013, 11287605, 11288181, 11288741, 11289317, 11289893, 11290453, 11291029, 11291589, 11292165, 11292725, 11293285, 11293861, 11294421]"
0,8,meta-llama/Llama-3.2-1B-Instruct,1536,39,0,1811277207,1811277207,1306599646,1365036930,11743165,"[11276069, 11276645, 11277221, 11277797, 11278405, 11278981, 11279557, 11280133, 11280709, 11281285, 11281861, 11282437, 11283013, 11283589, 11284165, 11284725, 11285301, 11285877, 11286453, 11287013, 11287605, 11288181, 11288741, 11289317, 11289893, 11290453, 11291029, 11291589, 11292165, 11292725, 11293285, 11293861, 11294421, 28746492, 11268949, 11269525, 11270117, 11270693]"
0,5,meta-llama/Llama-3.2-1B-Instruct,822,79,0,1893904361,1893904361,814322443,845675171,13438835,"[31460531, 10987141, 10987717, 10988245, 10988789, 10989317, 10989861, 10990389, 10990981, 10991525, 10992021, 10992565, 10993109, 10993653, 10994213, 10994741, 10995269, 64563683, 11117029, 11117413, 11117781, 11118165, 11118533, 11118917, 11119301, 11119669, 11120053, 11120421, 11120805, 11121173, 11121557, 11121909, 11122293, 11122661, 11123045, 58437284, 11276069, 11276645, 11277221, 11277797, 11278405, 11278981, 11279557, 11280133, 11280709, 11281285, 11281861, 11282437, 11283013, 11283589, 11284165, 11284725, 11285301, 11285877, 11286453, 11287013, 11287605, 11288181, 11288741, 11289317, 11289893, 11290453, 11291029, 11291589, 11292165, 11292725, 11293285, 11293861, 11294421, 28746492, 11268949, 11269525, 11270117, 11270693, 48968467, 11218933, 11219557, 11220197]"
0,9,meta-llama/Llama-3.2-1B-Instruct,708,42,0,2281265375,2281265375,1737451431,1766197923,12562620,"[11268949, 11269525, 11270117, 11270693, 48968467, 11218933, 11219557, 11220197, 29086454, 11186005, 11186661, 11187317, 11187973, 11188613, 11189285, 11189925, 11190581, 11191237, 11191893, 11192533, 11193189, 11193829, 11194485, 11195125, 11195781, 11196421, 11197077, 11197717, 11198373, 11199013, 11199653, 11200293, 11200949, 11201589, 11202229, 11202869, 11203509, 11204149, 11204789, 11205429, 11206069]"
0,11,meta-llama/Llama-3.2-1B-Instruct,737,51,0,2538281638,2538281638,1893904361,1922990815,12305816,"[11186005, 11186661, 11187317, 11187973, 11188613, 11189285, 11189925, 11190581, 11191237, 11191893, 11192533, 11193189, 11193829, 11194485, 11195125, 11195781, 11196421, 11197077, 11197717, 11198373, 11199013, 11199653, 11200293, 11200949, 11201589, 11202229, 11202869, 11203509, 11204149, 11204789, 11205429, 11206069, 64001490, 11349637, 11350149, 11350677, 11351205, 11351717, 11352245, 11352773, 11353285, 11353813, 11354325, 11354853, 11355365, 11355909, 11356421, 11356949, 11357461, 11357989]"
