run_id,sample_id,input_len,output_len
0,1912,6015,201
0,297,6939,393
0,4144,2482,136
0,3687,2839,95
0,6561,2057,225
0,1403,4839,273
0,1506,5968,351
0,1012,1669,241
0,1594,2285,72
0,6597,2491,121
0,7479,3200,371
0,9164,3854,172
0,134,6766,145
0,5011,5210,88
0,1318,4413,178
0,8838,6209,127
0,5152,5800,189
0,5937,6961,151
0,7339,7704,303
0,579,2570,307
0,1508,7700,249
0,4697,4741,124
0,153,5588,250
0,7502,6474,150
0,7759,6144,106
0,4657,5594,244
0,693,7185,341
0,258,4753,85
0,439,6324,147
0,8288,3699,230
0,6304,6653,240
0,5603,5368,131
1,1805,7451,160
1,912,4280,181
1,3526,6781,174
1,8847,1098,59
1,4569,6119,122
1,2964,6357,247
1,1908,6649,104
1,1888,6231,259
1,1777,4599,218
1,3778,6672,154
1,1864,2266,63
1,6695,4635,309
1,1992,4585,271
1,884,4114,295
1,7089,2272,189
1,9227,6554,168
1,3160,5165,131
1,2585,3229,30
1,5338,6579,112
1,534,5091,105
1,8478,6216,180
1,9857,6214,183
1,3765,6095,252
1,1928,6996,152
1,4750,3824,144
1,7259,3771,194
1,4693,7826,198
1,2056,5232,229
1,4100,2190,219
1,2619,5581,120
1,4179,2710,201
1,1735,1294,158
2,1582,2973,284
2,3457,6175,124
2,3931,6463,270
2,8638,5665,199
2,4799,6605,314
2,5115,3304,104
2,1790,2386,31
2,6870,3678,134
2,4826,3642,69
2,6355,7128,222
2,5008,5793,243
2,7030,3866,114
2,6534,2410,111
2,7156,7359,285
2,6591,4576,84
2,9050,7145,234
2,8813,7335,221
2,4828,4942,271
2,4749,6347,277
2,9316,4763,100
2,7505,4977,94
2,3498,5697,155
2,6750,4688,214
2,3117,5907,382
2,535,7804,145
2,1378,1848,100
2,8469,2876,132
2,6076,4743,193
2,1158,2131,222
2,7099,4118,167
2,387,6569,233
2,1391,6523,197
3,839,4480,202
3,7115,1120,104
3,5398,2971,99
3,9034,6593,160
3,5204,2640,122
3,6408,6575,315
3,7469,3646,382
3,2159,5344,122
3,7953,2260,164
3,5572,1026,100
3,7815,2823,82
3,5779,6286,190
3,8326,5571,120
3,3665,1520,218
3,7276,6539,155
3,9165,6967,137
3,9305,6994,125
3,4615,1922,182
3,1581,3382,251
3,4645,4736,233
3,7320,3623,46
3,4940,4076,165
3,1443,3813,118
3,4006,3168,79
3,7661,4901,238
3,9798,4091,296
3,8003,6477,202
3,2375,7699,212
3,6143,4766,151
3,8139,4609,129
3,1416,2495,157
3,7095,6689,163
4,1106,2747,179
4,8402,1781,46
4,4669,2136,257
4,8013,6949,242
4,7024,5709,321
4,556,5246,152
4,4074,5629,110
4,2055,6757,194
4,1553,7235,123
4,6971,4368,92
4,5045,4289,168
4,2254,5184,172
4,7978,5739,174
4,9127,6043,54
4,9366,2540,235
4,5295,5766,116
4,245,4528,114
4,3627,3733,172
4,7766,4595,124
4,7501,3413,125
4,6088,4408,103
4,2629,2405,215
4,9783,7415,426
4,2502,7224,144
4,333,2366,166
4,8933,1357,174
4,2199,3075,270
4,4877,1874,49
4,4134,6149,384
4,8943,2109,258
4,6865,7166,211
4,8271,4783,209
5,1032,4828,111
5,3516,5950,126
5,7742,4922,132
5,2773,4553,74
5,9800,7645,143
5,3482,4062,135
5,2160,5602,204
5,7793,7520,219
5,9943,5402,258
5,68,449,205
5,9555,6701,149
5,8893,3293,118
5,1203,5216,221
5,3406,4869,171
5,1137,4444,68
5,2288,4092,98
5,2796,5117,144
5,2099,2430,64
5,2317,4208,89
5,8803,1159,349
5,1819,7274,164
5,2661,4631,228
5,3645,569,68
5,4390,7117,240
5,8159,4511,40
5,9100,3648,113
5,1244,2770,126
5,3033,5418,218
5,2680,2552,200
5,4971,7384,430
5,9265,3504,116
5,7227,3586,102
6,4712,857,224
6,1360,3269,242
6,5660,3453,165
6,5525,6522,61
6,3843,1942,129
6,5128,2082,208
6,7736,6094,185
6,7234,5132,177
6,2628,6387,297
6,5568,3090,33
6,8650,786,138
6,1333,3231,86
6,436,5968,183
6,1132,6181,219
6,1283,4595,222
6,1882,1672,421
6,1039,3258,128
6,6334,4346,100
6,7805,5738,153
6,1838,5173,182
6,4868,1828,60
6,8719,1671,72
6,8754,6168,230
6,3285,3871,192
6,0,5611,183
6,8325,6198,199
6,1224,3579,57
6,5967,3757,193
6,7233,2357,210
6,3437,4052,171
6,3111,1179,75
6,1417,1844,14
7,3511,6887,186
7,6331,5074,165
7,9932,4979,125
7,2852,7541,139
7,310,2077,35
7,2144,6854,175
7,2176,7611,140
7,7790,4748,160
7,2192,4410,259
7,4271,5247,236
7,4602,4442,107
7,1920,785,312
7,2620,2820,117
7,9745,2407,193
7,2830,3684,274
7,1511,5129,158
7,9759,2302,105
7,9669,2885,87
7,1834,4425,199
7,6068,5529,439
7,5007,7302,99
7,5653,3859,100
7,1859,6672,290
7,6444,6693,84
7,8268,3786,117
7,4491,7337,153
7,6703,5725,255
7,3478,3796,151
7,3215,1959,216
7,6712,5116,113
7,3871,5288,83
7,8372,6045,150
8,2890,6116,183
8,6912,3195,190
8,4214,3327,191
8,8410,5261,85
8,3461,2301,151
8,5656,3585,147
8,635,2056,99
8,4228,5845,345
8,7082,3506,145
8,6142,2492,108
8,8065,5423,113
8,9789,6287,233
8,264,5858,120
8,9410,3339,60
8,128,5046,155
8,1289,6172,260
8,3644,7690,162
8,9840,1451,123
8,5165,5901,213
8,7135,7588,319
8,9649,2434,426
8,6223,4869,239
8,2847,1515,125
8,313,4691,279
8,9078,3957,192
8,591,7338,239
8,1441,5566,162
8,3603,2247,145
8,2530,2765,173
8,2762,4481,412
8,3337,2577,286
8,6692,7751,179
9,3273,6112,300
9,1332,6163,180
9,3594,5616,297
9,4497,5213,176
9,8687,5221,117
9,6576,6667,55
9,3989,3052,327
9,3018,2996,194
9,478,6661,180
9,9630,5838,163
9,5662,5921,135
9,4019,6084,162
9,5219,5826,281
9,7084,6470,124
9,4789,3142,147
9,3350,6637,145
9,5144,4624,129
9,4475,6720,116
9,2607,5941,200
9,2871,3037,270
9,1274,3314,137
9,8904,6966,310
9,2461,476,187
9,4532,5756,300
9,1136,6638,212
9,4775,5860,102
9,8849,5594,244
9,6173,6694,295
9,6655,2651,149
9,6311,1735,211
9,9767,5494,377
9,1056,3172,134
10,5926,2042,57
10,2698,4732,200
10,797,3867,220
10,8089,5953,282
10,8895,5081,305
10,1673,4469,179
10,1365,4107,127
10,3086,7280,275
10,5160,2210,105
10,1277,7172,290
10,1597,5353,58
10,8734,5923,129
10,1543,1715,88
10,6925,5800,133
10,3693,5984,96
10,4105,5755,192
10,9415,4240,47
10,9494,6257,223
10,6492,5796,382
10,4331,6398,285
10,9666,5081,183
10,9397,3516,252
10,4755,4793,279
10,2472,6468,372
10,1525,5352,114
10,5877,6934,127
10,7011,6613,391
10,9338,7124,282
10,2096,3630,164
10,9670,4789,137
10,7184,2127,171
10,8995,6042,223
11,9739,5756,98
11,9509,3760,246
11,1946,7586,148
11,699,4580,185
11,8615,4291,299
11,6284,3024,303
11,1535,7148,145
11,2020,6773,107
11,4338,7439,127
11,4932,3982,258
11,9002,4761,152
11,2263,5905,216
11,8133,4625,220
11,9484,4926,252
11,9626,6645,185
11,9204,1151,287
11,511,3446,264
11,6019,7573,206
11,649,3322,147
11,8053,6495,164
11,347,6347,229
11,3614,3310,114
11,9086,6529,142
11,869,3804,114
11,7611,5656,204
11,6203,5828,42
11,9231,2099,172
11,5915,3349,127
11,5041,6309,268
11,434,1478,196
11,2759,4991,221
11,5409,1722,181
12,3294,5838,794
12,1246,6326,321
12,7730,6939,413
12,7235,3604,143
12,8709,6743,264
12,8073,3347,119
12,3972,6156,280
12,9657,4384,387
12,9928,3699,121
12,4633,6739,138
12,329,1200,52
12,1695,5247,205
12,5556,5688,193
12,1375,7045,233
12,3718,745,86
12,372,6568,144
12,5181,3924,178
12,5078,3883,192
12,8029,5127,430
12,7743,1896,55
12,3624,1842,99
12,8684,5295,305
12,4364,3318,73
12,8433,4138,145
12,3393,6518,244
12,4894,5406,231
12,2674,3527,148
12,7999,7025,127
12,5589,6695,71
12,4010,1471,83
12,9822,5483,188
12,3942,4276,304
13,7355,4966,297
13,1869,790,105
13,7538,6039,183
13,2166,1640,348
13,1702,2985,255
13,8784,5014,173
13,3436,5621,107
13,9496,5852,251
13,5137,3802,181
13,3901,3369,118
13,4576,2218,120
13,3704,7407,106
13,9793,6360,178
13,3342,2975,104
13,9101,7394,136
13,7927,4404,227
13,9470,3479,150
13,6056,7034,149
13,8161,6018,141
13,4454,2753,160
13,7066,6864,447
13,8103,3018,229
13,6488,5440,132
13,6691,7592,195
13,9278,4006,155
13,886,1668,64
13,7625,4516,231
13,3102,5174,86
13,7405,5866,264
13,4761,4493,115
13,2944,4343,142
13,4226,1540,51
14,1979,2781,108
14,6175,7142,120
14,1563,5709,200
14,4259,4803,303
14,4463,6025,257
14,5043,3378,228
14,2792,3265,162
14,2895,5882,330
14,6842,6769,156
14,2646,3977,214
14,4399,6822,351
14,7897,3750,170
14,9195,4755,212
14,852,2220,103
14,8134,7078,151
14,6929,5997,55
14,3454,5400,134
14,7337,3654,316
14,1700,5487,62
14,8382,4007,152
14,4773,7138,173
14,9920,6990,104
14,1396,4385,55
14,6239,2272,163
14,9545,6172,345
14,2843,7084,125
14,6846,7588,95
14,2394,6949,256
14,9801,3796,279
14,7837,3884,172
14,9192,7040,149
14,462,5182,355
15,8666,2439,168
15,7810,4601,230
15,3899,2440,186
15,3146,6535,160
15,1425,3190,130
15,6729,4398,251
15,2818,6080,89
15,4415,1323,438
15,4551,4731,241
15,1664,3278,146
15,8216,3795,351
15,116,4493,248
15,8286,4866,169
15,4092,7553,103
15,5068,3248,154
15,7492,3790,151
15,8277,1430,125
15,2043,4024,86
15,1485,2977,91
15,537,2798,220
15,6368,7154,223
15,5836,6199,214
15,130,5141,147
15,8796,3899,67
15,8036,5137,286
15,3940,5961,193
15,5276,6338,148
15,6598,4563,103
15,2605,5006,138
15,1076,3809,132
15,2765,4745,168
15,4439,1718,215
16,1053,3146,200
16,6416,5707,69
16,6124,5966,239
16,1512,2399,115
16,9602,4807,284
16,476,1292,133
16,5992,6042,170
16,7117,5378,128
16,5791,5305,179
16,3120,4279,89
16,4253,328,102
16,1828,3809,65
16,2156,5865,156
16,8129,4991,112
16,6894,6665,135
16,9715,3607,114
16,4303,5666,220
16,4961,5031,145
16,920,1372,18
16,4215,5043,139
16,8771,7350,325
16,7183,3592,219
16,2230,5560,286
16,969,3357,41
16,8188,6234,55
16,225,6691,233
16,4203,4269,115
16,7543,3856,140
16,6813,4620,304
16,4914,3371,47
16,736,5184,214
16,1520,4762,156
17,4428,4736,104
17,7090,4103,134
17,4541,3722,124
17,9886,3898,143
17,540,3887,199
17,5872,4419,114
17,7362,5139,112
17,2209,3858,361
17,5253,3616,164
17,3032,4559,106
17,2993,4737,224
17,3319,6385,165
17,6568,3674,296
17,3816,2810,154
17,105,4976,247
17,7560,3630,259
17,3017,5674,104
17,1584,860,93
17,9752,4418,262
17,3279,1445,69
17,1744,7082,117
17,1040,6672,233
17,8021,1663,88
17,8858,5053,266
17,5362,7486,196
17,3762,4870,287
17,4418,5486,215
17,6624,6830,229
17,9786,1594,136
17,5920,4393,111
17,9029,5533,244
17,9620,4983,142
18,6686,6303,315
18,420,6646,173
18,6719,645,375
18,1045,5927,211
18,4884,3597,70
