run_id,sample_id,input_len,output_len
0,4003,1751,44
0,6171,733,75
0,9237,1279,57
0,8023,508,58
0,8,606,49
0,3781,822,79
0,3819,826,69
0,1627,1714,142
0,4109,1536,39
0,9009,708,42
0,7641,1230,78
0,9766,737,51
0,9680,1673,61
0,957,1042,101
0,593,764,40
0,688,947,83
0,9710,490,74
0,9343,387,62
0,5863,271,72
0,4897,398,72
0,9075,838,95
0,251,1027,108
0,5671,379,59
0,6681,838,96
0,1452,854,43
0,4762,803,55
0,6446,954,58
0,2706,639,53
0,8328,689,12
0,6759,882,45
0,9435,1340,62
0,9584,802,63
1,464,495,42
1,2840,993,67
1,7847,523,41
1,5796,846,63
1,8404,1138,39
1,8505,2033,57
1,8566,731,70
1,9965,863,47
1,5910,1401,55
1,1003,1044,60
1,5031,1879,72
1,9264,830,63
1,78,561,43
1,1245,1109,63
1,5405,884,37
1,7389,656,43
1,9070,793,56
1,7808,422,67
1,9858,442,49
1,256,1292,50
1,787,588,136
1,3072,249,69
1,4360,661,59
1,4464,1236,92
1,1592,572,50
1,2279,245,47
1,9148,685,64
1,817,719,62
1,2824,561,47
1,1252,652,48
1,2402,427,36
1,2138,838,29
2,603,231,27
2,9216,576,77
2,8275,488,24
2,743,519,106
2,829,1314,73
2,3997,1182,64
2,1209,1800,125
2,423,1052,82
2,5585,649,77
2,3713,964,108
2,846,690,77
2,5715,887,46
2,6439,346,45
2,9133,2001,68
2,5555,194,64
2,909,2055,54
2,3071,540,106
2,6133,1292,125
2,9258,723,81
2,4021,1087,80
2,6806,2230,53
2,5401,557,79
2,726,432,93
2,9769,1178,61
2,4310,499,95
2,307,736,58
2,1300,634,13
2,8318,619,72
2,2212,798,76
2,6705,300,43
2,7407,936,89
2,1539,408,71
3,9030,874,75
3,359,819,53
3,5118,775,59
3,376,1109,61
3,5676,1623,47
3,1602,1464,58
3,8969,1071,73
3,58,367,42
3,5961,974,41
3,7839,499,61
3,7431,542,80
3,2240,836,75
3,1424,308,64
3,2015,1132,93
3,1348,618,55
3,3739,493,39
3,916,1073,110
3,874,316,68
3,9049,402,40
3,6812,1088,96
3,4879,560,63
3,2268,1685,103
3,3226,1240,54
3,4029,961,63
3,7649,1246,114
3,730,583,76
3,762,1006,50
3,7892,1563,46
3,9036,399,46
3,9937,1304,49
3,3505,472,44
3,962,674,46
4,7347,428,38
4,3145,487,59
4,7825,767,42
4,9803,631,45
4,895,996,73
4,4795,1409,64
4,4614,1817,69
4,9573,306,46
4,9262,755,78
4,6005,852,63
4,1925,550,70
4,4033,151,22
4,5964,586,41
4,1124,886,66
4,2206,529,81
4,2336,631,77
4,4405,245,45
4,5453,636,56
4,9959,733,51
4,9140,514,45
4,4424,340,52
4,740,285,49
4,8862,868,74
4,2656,751,83
4,2974,1896,30
