run_id,sample_id,input_len,output_len
0,4003,2619,300
0,6171,473,72
0,9237,3,87
0,8023,11,138
0,8,42,27
0,3781,22,285
0,3819,52,154
0,1627,391,439
0,4109,26,171
0,9009,11,44
0,7641,24,332
0,9766,19,165
0,9680,8,236
0,957,41,611
0,593,1025,152
0,688,55,529
0,9710,39,768
0,9343,14,139
0,5863,7,334
0,4897,3389,107
0,9075,221,767
0,251,1300,277
0,5671,18,648
0,6681,13,250
0,1452,229,115
0,4762,138,224
0,6446,9,104
0,2706,7,47
0,8328,18,104
0,6759,1853,306
0,9435,19,227
0,9584,25,226
1,464,79,451
1,2840,42,257
1,7847,13,19
1,5796,570,184
1,8404,47,164
1,8505,136,125
1,8566,4,245
1,9965,20,126
1,5910,10,320
1,1003,1784,150
1,5031,18,237
1,9264,13,198
1,78,72,373
1,1245,11,390
1,5405,22,191
1,7389,381,278
1,9070,26,371
1,7808,28,355
1,9858,21,392
1,256,10,225
1,787,18,366
1,3072,10,227
1,4360,12,306
1,4464,403,102
1,1592,12,247
1,2279,20,511
1,9148,12,132
1,817,32,285
1,2824,8,164
1,1252,17,439
1,2402,11,27
1,2138,6,522
2,603,9,41
2,9216,25,523
2,8275,13,218
2,743,1376,200
2,829,1024,85
2,3997,57,319
2,1209,29,201
2,423,33,372
2,5585,18,157
2,3713,28,65
2,846,5,305
2,5715,53,533
2,6439,219,321
2,9133,8,397
2,5555,17,300
2,909,9,161
2,3071,27,386
2,6133,58,631
2,9258,926,356
2,4021,30,292
2,6806,63,589
2,5401,165,362
2,726,89,265
2,9769,2677,134
2,4310,179,725
2,307,705,332
2,1300,49,660
2,8318,16,413
2,2212,64,767
2,6705,15,363
2,7407,153,185
2,1539,23,50
3,9030,12,471
3,359,46,77
3,5118,20,352
3,376,10,376
3,5676,17,632
3,1602,18,296
3,8969,61,70
3,58,7,184
3,5961,9,297
3,7839,40,35
3,7431,14,561
3,2240,45,69
3,1424,14,296
3,2015,1386,452
3,1348,1500,382
3,3739,307,235
3,916,25,144
3,874,57,10
3,9049,141,289
3,6812,74,612
3,4879,178,443
3,2268,17,176
3,3226,57,96
3,4029,2,26
3,7649,395,269
3,730,31,141
3,762,31,369
3,7892,11,294
3,9036,15,207
3,9937,1662,68
3,3505,28,136
3,962,4,202
4,7347,14,499
4,3145,8,632
4,7825,272,10
4,9803,8,312
4,895,17,452
4,4795,650,344
4,4614,41,468
4,9573,4,767
4,9262,419,1
4,6005,8,15
4,1925,16,124
4,4033,282,49
4,5964,6,676
4,1124,32,572
4,2206,71,122
4,2336,1,9
4,4405,2,27
4,5453,76,35
4,9959,7,104
4,9140,32,766
4,4424,30,387
4,740,200,166
4,8862,14,236
4,2656,11,767
4,2974,3,525
4,2958,27,321
4,525,7,287
4,6647,50,246
4,494,9,75
4,3194,23,203
4,519,23,411
4,550,1,452
5,4090,137,299
5,658,14,336
5,6362,18,295
5,473,42,3
5,3564,13,279
5,6252,1148,33
5,4287,14,731
5,3317,3,549
5,4717,72,767
5,1971,36,22
5,3524,12,210
5,8630,20,518
5,1719,4,544
5,7331,1243,158
5,4500,11,480
5,5423,5,123
5,4808,10,176
5,8553,50,201
5,4628,25,12
5,42,10,595
5,6742,17,93
5,16,20,111
5,2259,1,9
5,7758,10,243
5,3008,41,340
5,8092,18,415
5,2749,10,669
5,8184,9,522
5,6401,24,512
5,8386,38,139
5,4578,45,260
5,960,371,290
6,7097,11,215
6,5268,8,209
6,779,6,220
6,2351,19,357
6,1861,34,614
6,7904,65,295
6,3626,46,356
6,6066,9,270
6,3382,5,630
6,2881,85,543
6,7951,19,267
6,2434,9,179
6,9098,37,60
6,6641,23,767
6,4609,6,370
6,5576,246,11
6,1489,13,116
6,1421,9,423
6,2772,32,220
6,9196,7,306
6,6797,8,223
6,9804,2,217
6,4260,17,573
6,7425,102,517
6,9880,27,265
6,2666,1,164
6,6622,8,163
6,7055,60,11
6,3189,37,33
6,4016,9,8
6,5151,71,431
6,3303,32,224
7,1912,6,107
7,297,2,457
7,4144,12,349
7,3687,44,765
7,6561,1,454
7,1403,44,137
7,1506,929,328
7,1012,16,237
7,1594,128,70
7,6597,6,205
7,7479,7,40
7,9164,72,53
7,134,1,211
7,5011,22,491
7,1318,6,273
7,8838,37,463
7,5152,3,113
7,5937,50,220
7,7339,1,9
7,579,37,386
7,1508,12,189
7,4697,3,190
7,153,1,49
7,7502,43,25
7,7759,11,359
7,4657,24,286
7,693,739,8
7,258,351,378
7,439,21,398
7,8288,17,26
7,6304,71,353
7,5603,105,553
8,4977,8,407
8,8692,85,195
