run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,1,[4003],[8],[1043],8,1043,1043,,2954.297,
1,OK,1,[6171],[15],[189],15,189,189,,530.19,
2,OK,1,[9237],[12],[418],12,418,418,,1162.722,
3,OK,1,[8023],[15],[301],15,301,301,,820.181,
4,OK,1,[8],[25],[1418],25,1418,1418,,3961.347,
5,OK,1,[3781],[51],[461],51,461,461,,1262.347,
6,OK,1,[3819],[29],[576],29,576,576,,1602.344,
7,OK,1,[1627],[50],[1031],50,1031,1031,,2868.504,
8,OK,1,[4109],[55],[232],55,232,232,,643.831,
9,OK,1,[9009],[10],[834],10,834,834,,2279.298,
10,OK,1,[7641],[27],[720],27,720,720,,1960.693,
11,OK,1,[9766],[16],[560],16,560,560,,1537.98,
12,OK,1,[9680],[28],[1296],28,1296,1296,,3550.947,
13,OK,1,[957],[19],[450],19,450,450,,1236.377,
14,OK,1,[593],[28],[356],28,356,356,,982.531,
15,OK,1,[688],[28],[1811],28,1811,1811,,4964.916,
16,OK,1,[9710],[56],[1835],56,1835,1835,,5077.566,
17,OK,1,[9343],[38],[692],38,692,692,,1906.585,
18,OK,1,[5863],[58],[1511],58,1511,1511,,4139.259,
19,OK,1,[4897],[31],[2357],31,2357,2357,,6471.285,
20,OK,1,[9075],[34],[179],34,179,179,,487.29,
21,OK,1,[251],[25],[350],25,350,350,,950.374,
22,OK,1,[5671],[22],[124],22,124,124,,336.816,
23,OK,1,[6681],[40],[321],40,321,321,,871.817,
24,OK,1,[1452],[35],[896],35,896,896,,2420.441,
25,OK,1,[4762],[19],[1601],19,1601,1601,,4342.803,
26,OK,1,[6446],[11],[1475],11,1475,1475,,3993.258,
27,OK,1,[2706],[32],[375],32,375,375,,1013.575,
28,OK,1,[8328],[54],[1172],54,1172,1172,,3173.363,
29,OK,1,[6759],[31],[523],31,523,523,,1415.987,
30,OK,1,[9435],[30],[1059],30,1059,1059,,2868.697,
31,OK,1,[9584],[29],[550],29,550,550,,1491.128,
32,OK,1,[464],[33],[1053],33,1053,1053,,2927.914,
33,OK,1,[2840],[33],[597],33,597,597,,1667.595,
34,OK,1,[7847],[11],[1409],11,1409,1409,,3880.342,
35,OK,1,[5796],[36],[1996],36,1996,1996,,5398.414,
36,OK,1,[8404],[18],[604],18,604,604,,1649.917,
37,OK,1,[8505],[28],[394],28,394,394,,1081.58,
38,OK,1,[8566],[24],[262],24,262,262,,708.115,
39,OK,1,[9965],[32],[235],32,235,235,,636.287,
40,OK,1,[5910],[19],[167],19,167,167,,452.831,
41,OK,1,[1003],[14],[503],14,503,503,,1362.126,
42,OK,1,[5031],[30],[1229],30,1229,1229,,3370.889,
43,OK,1,[9264],[41],[1440],41,1440,1440,,3935.334,
44,OK,1,[78],[40],[786],40,786,786,,2140.192,
45,OK,1,[1245],[6],[641],6,641,641,,1733.477,
46,OK,1,[5405],[18],[1924],18,1924,1924,,5275.128,
47,OK,1,[7389],[22],[1238],22,1238,1238,,3524.329,
48,OK,1,[9070],[25],[840],25,840,840,,2384.86,
49,OK,1,[7808],[65],[1328],65,1328,1328,,3803.796,
