run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,4,"[1912, 297, 4144, 3687]","[6015, 6939, 2482, 2839]","[201, 393, 136, 95]",6939,393,393,,1353.137,
1,OK,4,"[6561, 1403, 1506, 1012]","[2057, 4839, 5968, 1669]","[225, 273, 351, 241]",5968,351,351,,1177.782,
2,OK,4,"[1594, 6597, 7479, 9164]","[2285, 2491, 3200, 3854]","[72, 121, 371, 172]",3854,371,371,,1168.128,
3,OK,4,"[134, 5011, 1318, 8838]","[6766, 5210, 4413, 6209]","[145, 88, 178, 127]",6766,178,178,,846.605,
4,OK,4,"[5152, 5937, 7339, 579]","[5800, 6961, 7704, 2570]","[189, 151, 303, 307]",7704,307,307,,1227.465,
5,OK,4,"[1508, 4697, 153, 7502]","[7700, 4741, 5588, 6474]","[249, 124, 250, 150]",7700,250,250,,1079.12,
6,OK,4,"[7759, 4657, 693, 258]","[6144, 5594, 7185, 4753]","[106, 244, 341, 85]",7185,341,341,,1284.718,
7,OK,4,"[439, 8288, 6304, 5603]","[6324, 3699, 6653, 5368]","[147, 230, 240, 131]",6653,240,240,,999.354,
8,OK,4,"[1805, 912, 3526, 8847]","[7451, 4280, 6781, 1098]","[160, 181, 174, 59]",7451,181,181,,795.422,
9,OK,4,"[4569, 2964, 1908, 1888]","[6119, 6357, 6649, 6231]","[122, 247, 104, 259]",6649,259,259,,1119.094,
10,OK,4,"[1777, 3778, 1864, 6695]","[4599, 6672, 2266, 4635]","[218, 154, 63, 309]",6672,309,309,,1120.058,
11,OK,4,"[1992, 884, 7089, 9227]","[4585, 4114, 2272, 6554]","[271, 295, 189, 168]",6554,295,295,,1081.613,
12,OK,4,"[3160, 2585, 5338, 534]","[5165, 3229, 6579, 5091]","[131, 30, 112, 105]",6579,131,131,,634.463,
13,OK,4,"[8478, 9857, 3765, 1928]","[6216, 6214, 6095, 6996]","[180, 183, 252, 152]",6996,252,252,,1122.828,
14,OK,4,"[4750, 7259, 4693, 2056]","[3824, 3771, 7826, 5232]","[144, 194, 198, 229]",7826,229,229,,922.924,
15,OK,4,"[4100, 2619, 4179, 1735]","[2190, 5581, 2710, 1294]","[219, 120, 201, 158]",5581,219,219,,754.67,
16,OK,4,"[1582, 3457, 3931, 8638]","[2973, 6175, 6463, 5665]","[284, 124, 270, 199]",6463,284,284,,1115.76,
17,OK,4,"[4799, 5115, 1790, 6870]","[6605, 3304, 2386, 3678]","[314, 104, 31, 134]",6605,314,314,,1058.473,
18,OK,4,"[4826, 6355, 5008, 7030]","[3642, 7128, 5793, 3866]","[69, 222, 243, 114]",7128,243,243,,930.31,
19,OK,4,"[6534, 7156, 6591, 9050]","[2410, 7359, 4576, 7145]","[111, 285, 84, 234]",7359,285,285,,1106.284,
20,OK,4,"[8813, 4828, 4749, 9316]","[7335, 4942, 6347, 4763]","[221, 271, 277, 100]",7335,277,277,,1143.903,
21,OK,4,"[7505, 3498, 6750, 3117]","[4977, 5697, 4688, 5907]","[94, 155, 214, 382]",5907,382,382,,1360.231,
22,OK,4,"[535, 1378, 8469, 6076]","[7804, 1848, 2876, 4743]","[145, 100, 132, 193]",7804,193,193,,771.834,
23,OK,4,"[1158, 7099, 387, 1391]","[2131, 4118, 6569, 6523]","[222, 167, 233, 197]",6569,233,233,,940.458,
24,OK,4,"[839, 7115, 5398, 9034]","[4480, 1120, 2971, 6593]","[202, 104, 99, 160]",6593,202,202,,746.8,
25,OK,4,"[5204, 6408, 7469, 2159]","[2640, 6575, 3646, 5344]","[122, 315, 382, 122]",6575,382,382,,1286.617,
26,OK,4,"[7953, 5572, 7815, 5779]","[2260, 1026, 2823, 6286]","[164, 100, 82, 190]",6286,190,190,,672.38,
27,OK,4,"[8326, 3665, 7276, 9165]","[5571, 1520, 6539, 6967]","[120, 218, 155, 137]",6967,218,218,,892.416,
28,OK,4,"[9305, 4615, 1581, 4645]","[6994, 1922, 3382, 4736]","[125, 182, 251, 233]",6994,251,251,,926.365,
29,OK,4,"[7320, 4940, 1443, 4006]","[3623, 4076, 3813, 3168]","[46, 165, 118, 79]",4076,165,165,,588.736,
30,OK,4,"[7661, 9798, 8003, 2375]","[4901, 4091, 6477, 7699]","[238, 296, 202, 212]",7699,296,296,,1185.044,
31,OK,4,"[6143, 8139, 1416, 7095]","[4766, 4609, 2495, 6689]","[151, 129, 157, 163]",6689,163,163,,713.992,
32,OK,4,"[1106, 8402, 4669, 8013]","[2747, 1781, 2136, 6949]","[179, 46, 257, 242]",6949,257,257,,859.039,
33,OK,4,"[7024, 556, 4074, 2055]","[5709, 5246, 5629, 6757]","[321, 152, 110, 194]",6757,321,321,,1227.774,
34,OK,4,"[1553, 6971, 5045, 2254]","[7235, 4368, 4289, 5184]","[123, 92, 168, 172]",7235,172,172,,797.627,
35,OK,4,"[7978, 9127, 9366, 5295]","[5739, 6043, 2540, 5766]","[174, 54, 235, 116]",6043,235,235,,919.178,
36,OK,4,"[245, 3627, 7766, 7501]","[4528, 3733, 4595, 3413]","[114, 172, 124, 125]",4595,172,172,,668.081,
37,OK,4,"[6088, 2629, 9783, 2502]","[4408, 2405, 7415, 7224]","[103, 215, 426, 144]",7415,426,426,,1510.597,
38,OK,4,"[333, 8933, 2199, 4877]","[2366, 1357, 3075, 1874]","[166, 174, 270, 49]",3075,270,270,,831.29,
39,OK,4,"[4134, 8943, 6865, 8271]","[6149, 2109, 7166, 4783]","[384, 258, 211, 209]",7166,384,384,,1393.464,
40,OK,4,"[1032, 3516, 7742, 2773]","[4828, 5950, 4922, 4553]","[111, 126, 132, 74]",5950,132,132,,655.945,
41,OK,4,"[9800, 3482, 2160, 7793]","[7645, 4062, 5602, 7520]","[143, 135, 204, 219]",7645,219,219,,977.755,
42,OK,4,"[9943, 68, 9555, 8893]","[5402, 449, 6701, 3293]","[258, 205, 149, 118]",6701,258,258,,922.511,
43,OK,4,"[1203, 3406, 1137, 2288]","[5216, 4869, 4444, 4092]","[221, 171, 68, 98]",5216,221,221,,856.31,
44,OK,4,"[2796, 2099, 2317, 8803]","[5117, 2430, 4208, 1159]","[144, 64, 89, 349]",5117,349,349,,1123.965,
45,OK,4,"[1819, 2661, 3645, 4390]","[7274, 4631, 569, 7117]","[164, 228, 68, 240]",7274,240,240,,969.043,
46,OK,4,"[8159, 9100, 1244, 3033]","[4511, 3648, 2770, 5418]","[40, 113, 126, 218]",5418,218,218,,817.508,
47,OK,4,"[2680, 4971, 9265, 7227]","[2552, 7384, 3504, 3586]","[200, 430, 116, 102]",7384,430,430,,1416.044,
48,OK,4,"[4712, 1360, 5660, 5525]","[857, 3269, 3453, 6522]","[224, 242, 165, 61]",6522,242,242,,854.437,
49,OK,4,"[3843, 5128, 7736, 7234]","[1942, 2082, 6094, 5132]","[129, 208, 185, 177]",6094,208,208,,751.763,
