instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.2-1B-Instruct,1751,44,0,133042435,133042435,1,47495537,1989462,"[1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989430, 1989494, 1989574, 1989638, 1989718]"
0,1,meta-llama/Llama-3.2-1B-Instruct,733,75,0,211468665,211468665,1,47495537,2215853,"[1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989430, 1989494, 1989574, 1989638, 1989718, 18965618, 1980854, 1980918, 1980998, 1981078, 1981174, 1981254, 1981334, 1981414, 1981494, 1981574, 1981654, 1981734, 1981814, 1981894, 1981974, 1982070, 1982150, 1982230, 1982310, 1982390, 1982470, 1982550, 1982630, 1982710, 1982790, 1982870, 1982950, 1983030, 1983110, 1983190]"
0,2,meta-llama/Llama-3.2-1B-Instruct,1279,57,0,266993658,266993658,133042435,152008053,2053314,"[1980854, 1980918, 1980998, 1981078, 1981174, 1981254, 1981334, 1981414, 1981494, 1981574, 1981654, 1981734, 1981814, 1981894, 1981974, 1982070, 1982150, 1982230, 1982310, 1982390, 1982470, 1982550, 1982630, 1982710, 1982790, 1982870, 1982950, 1983030, 1983110, 1983190, 6016299, 1979606, 1979670, 1979734, 1979798, 1979862, 1979926, 1979990, 1980054, 1980134, 1980198, 1980262, 1980326, 1980390, 1980454, 1980518, 1980582, 1980646, 1980710, 1980774, 1980838, 1980838, 1980838, 1980854, 1980838, 1980854]"
0,3,meta-llama/Llama-3.2-1B-Instruct,508,58,0,335062816,335062816,211468665,217484964,2062769,"[1979606, 1979670, 1979734, 1979798, 1979862, 1979926, 1979990, 1980054, 1980134, 1980198, 1980262, 1980326, 1980390, 1980454, 1980518, 1980582, 1980646, 1980710, 1980774, 1980838, 1980838, 1980838, 1980854, 1980838, 1980854, 6975868, 1970918, 1970934, 1970934, 1970950, 1970966, 1970982, 1970998, 1970966, 1970934, 1970918, 1970886, 1970870, 1970838, 1970822, 1970806, 1970774, 1970758, 1970726, 1970710, 1970678, 1970662, 1970630, 1970614, 1970582, 1970566, 1970534, 1970518, 1970486, 1970470, 1970438, 1970422]"
0,4,meta-llama/Llama-3.2-1B-Instruct,606,49,0,375607886,375607886,266993658,273969526,2117465,"[1970918, 1970934, 1970934, 1970950, 1970966, 1970982, 1970998, 1970966, 1970934, 1970918, 1970886, 1970870, 1970838, 1970822, 1970806, 1970774, 1970758, 1970726, 1970710, 1970678, 1970662, 1970630, 1970614, 1970582, 1970566, 1970534, 1970518, 1970486, 1970470, 1970438, 1970422, 8984878, 1972534, 1972534, 1972518, 1972518, 1972502, 1972502, 1972502, 1972502, 1972518, 1972518, 1972518, 1972518, 1972502, 1972502, 1972502, 1972502]"
0,5,meta-llama/Llama-3.2-1B-Instruct,822,79,0,505219046,505219046,335062816,344047694,2066299,"[1972534, 1972534, 1972518, 1972518, 1972502, 1972502, 1972502, 1972502, 1972518, 1972518, 1972518, 1972518, 1972502, 1972502, 1972502, 1972502, 9008762, 1977462, 1977430, 1977398, 1977382, 1977350, 1977334, 1977302, 1977270, 1977254, 1977222, 1977206, 1977174, 1977158, 1977126, 1977094, 1977078, 1977046, 1977030, 1976998, 1976982, 1976950, 1976918, 1976902, 1976870, 1976854, 1976822, 1976806, 1976774, 1976758, 1976726, 1976726, 1976694, 1976678, 1976710, 1976742, 1976774, 1976806, 1976822, 1976854, 1976886, 1976918, 1976950, 1976982, 1977014, 1977046, 1977078, 1977110, 1977142, 1977174, 1977206, 1977238, 1977270, 1977302, 1977334, 1977366, 1977398, 1977430, 1977462, 1977494, 1977542, 1977574]"
0,6,meta-llama/Llama-3.2-1B-Instruct,826,69,0,544552246,544552246,375607886,384616648,2351994,"[1977462, 1977430, 1977398, 1977382, 1977350, 1977334, 1977302, 1977270, 1977254, 1977222, 1977206, 1977174, 1977158, 1977126, 1977094, 1977078, 1977046, 1977030, 1976998, 1976982, 1976950, 1976918, 1976902, 1976870, 1976854, 1976822, 1976806, 1976774, 1976758, 1976726, 1976726, 1976694, 1976678, 1976710, 1976742, 1976774, 1976806, 1976822, 1976854, 1976886, 1976918, 1976950, 1976982, 1977014, 1977046, 1977078, 1977110, 1977142, 1977174, 1977206, 1977238, 1977270, 1977302, 1977334, 1977366, 1977398, 1977430, 1977462, 1977494, 1977542, 1977574, 27386668, 1990902, 1990966, 1991046, 1991126, 1991206, 1991286]"
0,8,meta-llama/Llama-3.2-1B-Instruct,1536,39,0,644633502,644633502,544552246,568599738,2000888,"[2000950, 2000966, 2000966, 2000950, 2000950, 2000966, 2000950, 2000950, 2000934, 2000934, 2000934, 2000918, 2000918, 2000918, 2000902, 2000902, 2000902, 2000902, 2000886, 2000886, 2000886, 2000886, 2000870, 2000870, 2000870, 2000854, 2000854, 2000854, 2000838, 2000838, 2000838, 2000822, 2000822, 2000822, 2000806, 2000806, 2000806, 2000838]"
0,9,meta-llama/Llama-3.2-1B-Instruct,708,42,0,734121939,734121939,644633502,652554253,1989455,"[1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989430, 1989430, 1989430, 1989430, 1989446, 1989446, 1989462, 1989478, 1989478, 1989494, 1989494, 1989510]"
0,7,meta-llama/Llama-3.2-1B-Instruct,1714,142,0,857469831,857469831,505219046,532605714,2304000,"[1990902, 1990966, 1991046, 1991126, 1991206, 1991286, 24047492, 2000950, 2000966, 2000966, 2000950, 2000950, 2000966, 2000950, 2000950, 2000934, 2000934, 2000934, 2000918, 2000918, 2000918, 2000902, 2000902, 2000902, 2000902, 2000886, 2000886, 2000886, 2000886, 2000870, 2000870, 2000870, 2000854, 2000854, 2000854, 2000838, 2000838, 2000838, 2000822, 2000822, 2000822, 2000806, 2000806, 2000806, 2000838, 7920751, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989462, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989446, 1989430, 1989430, 1989430, 1989430, 1989446, 1989446, 1989462, 1989478, 1989478, 1989494, 1989494, 1989510, 17471734, 1996774, 1996790, 1996806, 1996806, 1996806, 1996806, 1996822, 1996822, 1996822, 1996838, 1996838, 1996854, 1996838, 1996854, 1996854, 1996870, 1996870, 1996870, 1996886, 1996886, 1996902, 1996966, 1997046, 1997126, 1997206, 1997286, 1997366, 1997446, 1997526, 1997622, 1997702, 1997782, 1997846, 1997926, 1998006, 1998086, 1998166, 1998246, 1998326, 1998406, 1998486, 1998566, 1998646, 1998726, 1998806, 1998886, 1998966, 1999030, 1999110, 1999190, 1999270, 1999350, 1999430]"
0,10,meta-llama/Llama-3.2-1B-Instruct,1230,78,0,911605986,911605986,734121939,751593673,2078081,"[1996774, 1996790, 1996806, 1996806, 1996806, 1996806, 1996822, 1996822, 1996822, 1996838, 1996838, 1996854, 1996838, 1996854, 1996854, 1996870, 1996870, 1996870, 1996886, 1996886, 1996902, 1996966, 1997046, 1997126, 1997206, 1997286, 1997366, 1997446, 1997526, 1997622, 1997702, 1997782, 1997846, 1997926, 1998006, 1998086, 1998166, 1998246, 1998326, 1998406, 1998486, 1998566, 1998646, 1998726, 1998806, 1998886, 1998966, 1999030, 1999110, 1999190, 1999270, 1999350, 1999430, 8578897, 1980486, 1980502, 1980518, 1980518, 1980550, 1980550, 1980582, 1980582, 1980598, 1980614, 1980630, 1980646, 1980662, 1980678, 1980694, 1980774, 1980854, 1980934, 1981014, 1981094, 1981174, 1981254, 1981350]"
0,11,meta-llama/Llama-3.2-1B-Instruct,737,51,0,990193088,990193088,857469831,866048728,2482887,"[1980486, 1980502, 1980518, 1980518, 1980550, 1980550, 1980582, 1980582, 1980598, 1980614, 1980630, 1980646, 1980662, 1980678, 1980694, 1980774, 1980854, 1980934, 1981014, 1981094, 1981174, 1981254, 1981350, 26865730, 1989222, 1989238, 1989238, 1989238, 1989238, 1989254, 1989254, 1989254, 1989270, 1989270, 1989270, 1989270, 1989286, 1989286, 1989286, 1989302, 1989302, 1989302, 1989302, 1989318, 1989318, 1989318, 1989334, 1989334, 1989334, 1989334]"
