instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,4,meta-llama/Llama-3.2-1B-Instruct,42,27,0,150061824,150061824,1,96069662,2076621,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429]"
0,1,meta-llama/Llama-3.2-1B-Instruct,473,72,0,243637902,243637902,1,96069662,2078425,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429, 2191602, 2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645]"
0,2,meta-llama/Llama-3.2-1B-Instruct,3,87,0,274832325,274832325,1,96069662,2078635,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429, 2191602, 2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645, 2120033, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765]"
0,9,meta-llama/Llama-3.2-1B-Instruct,11,44,0,335167343,335167343,243637902,245757935,2079288,"[2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765, 2180510, 2076877, 2076877, 2076877, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076941, 2076941, 2076941, 2076941, 2076941, 2076957, 2077005, 2077053, 2077101, 2077149, 2077181]"
0,3,meta-llama/Llama-3.2-1B-Instruct,11,138,0,380961671,380961671,1,96069662,2079503,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429, 2191602, 2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645, 2120033, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765, 2180510, 2076877, 2076877, 2076877, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076941, 2076941, 2076941, 2076941, 2076941, 2076957, 2077005, 2077053, 2077101, 2077149, 2077181, 2164791, 2077133, 2077181, 2077229, 2077277, 2077325, 2077357, 2077405, 2077453, 2077517, 2077565, 2077613, 2077645, 2077693, 2077741, 2077789, 2077837, 2077885, 2077933, 2077965, 2077981, 2078013]"
0,6,meta-llama/Llama-3.2-1B-Instruct,52,154,0,414245742,414245742,1,96069662,2079582,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429, 2191602, 2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645, 2120033, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765, 2180510, 2076877, 2076877, 2076877, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076941, 2076941, 2076941, 2076941, 2076941, 2076957, 2077005, 2077053, 2077101, 2077149, 2077181, 2164791, 2077133, 2077181, 2077229, 2077277, 2077325, 2077357, 2077405, 2077453, 2077517, 2077565, 2077613, 2077645, 2077693, 2077741, 2077789, 2077837, 2077885, 2077933, 2077965, 2077981, 2078013, 2117204, 2077565, 2077597, 2077629, 2077677, 2077709, 2077741, 2077757, 2077789, 2077821, 2077853, 2077885, 2077917, 2077949, 2077981, 2077997]"
0,8,meta-llama/Llama-3.2-1B-Instruct,26,171,0,505932814,505932814,150061824,152253426,2080466,"[2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645, 2120033, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765, 2180510, 2076877, 2076877, 2076877, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076941, 2076941, 2076941, 2076941, 2076941, 2076957, 2077005, 2077053, 2077101, 2077149, 2077181, 2164791, 2077133, 2077181, 2077229, 2077277, 2077325, 2077357, 2077405, 2077453, 2077517, 2077565, 2077613, 2077645, 2077693, 2077741, 2077789, 2077837, 2077885, 2077933, 2077965, 2077981, 2078013, 2117204, 2077565, 2077597, 2077629, 2077677, 2077709, 2077741, 2077757, 2077789, 2077821, 2077853, 2077885, 2077917, 2077949, 2077981, 2077997, 2285425, 2077437, 2077469, 2077501, 2077533, 2077565, 2077597, 2077613, 2077645, 2077693, 2077725, 2077757, 2077789, 2077821, 2077837, 2077869, 2077901, 2077933, 2077965, 2077997, 2078029, 2078061, 2078077, 2078109, 2078141, 2078173, 2078205, 2078237, 2078269, 2078301, 2078333, 2078365, 2078957, 2079565, 2080157, 2080749, 2081341, 2081933, 2082525, 2083117, 2083709, 2084301, 2084877, 2085469]"
0,11,meta-llama/Llama-3.2-1B-Instruct,19,165,0,692788178,692788178,335167343,337332134,2167414,"[2077133, 2077181, 2077229, 2077277, 2077325, 2077357, 2077405, 2077453, 2077517, 2077565, 2077613, 2077645, 2077693, 2077741, 2077789, 2077837, 2077885, 2077933, 2077965, 2077981, 2078013, 2117204, 2077565, 2077597, 2077629, 2077677, 2077709, 2077741, 2077757, 2077789, 2077821, 2077853, 2077885, 2077917, 2077949, 2077981, 2077997, 2285425, 2077437, 2077469, 2077501, 2077533, 2077565, 2077597, 2077613, 2077645, 2077693, 2077725, 2077757, 2077789, 2077821, 2077837, 2077869, 2077901, 2077933, 2077965, 2077997, 2078029, 2078061, 2078077, 2078109, 2078141, 2078173, 2078205, 2078237, 2078269, 2078301, 2078333, 2078365, 2078957, 2079565, 2080157, 2080749, 2081341, 2081933, 2082525, 2083117, 2083709, 2084301, 2084877, 2085469, 14230810, 2097037, 2097069, 2097101, 2097149, 2097197, 2097213, 2097261, 2097309, 2097341, 2097389, 2097421, 2097773, 2098141, 2098509, 2098845, 2099213, 2099565, 2099933, 2100285, 2100637, 2100989, 2101341, 2101709, 2102045, 2102397, 2102765, 2103117, 2103453, 2103805, 2104157, 2104509, 2104861, 2105197, 2105549, 2105901, 2106253, 2106605, 2106941, 2107293, 2107629, 2107981, 2108333, 2108669, 2108685, 2108717, 2108733, 2108765, 2108781, 2108813, 2108829, 2108845, 2108861, 2108893, 2108909, 2108941, 2108957, 2108989, 2109005, 2109021, 2109037, 2109069, 2109101, 2109117, 2109149, 2109133, 2109133, 2109117, 2109117, 2109101, 2109101, 2109085, 2109085, 2109069, 2109069, 2109069, 2109053, 2109053, 2109053, 2109053, 2109053, 2109053, 2109053]"
0,5,meta-llama/Llama-3.2-1B-Instruct,22,285,0,701511411,701511411,1,96069662,2131837,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429, 2191602, 2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645, 2120033, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765, 2180510, 2076877, 2076877, 2076877, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076941, 2076941, 2076941, 2076941, 2076941, 2076957, 2077005, 2077053, 2077101, 2077149, 2077181, 2164791, 2077133, 2077181, 2077229, 2077277, 2077325, 2077357, 2077405, 2077453, 2077517, 2077565, 2077613, 2077645, 2077693, 2077741, 2077789, 2077837, 2077885, 2077933, 2077965, 2077981, 2078013, 2117204, 2077565, 2077597, 2077629, 2077677, 2077709, 2077741, 2077757, 2077789, 2077821, 2077853, 2077885, 2077917, 2077949, 2077981, 2077997, 2285425, 2077437, 2077469, 2077501, 2077533, 2077565, 2077597, 2077613, 2077645, 2077693, 2077725, 2077757, 2077789, 2077821, 2077837, 2077869, 2077901, 2077933, 2077965, 2077997, 2078029, 2078061, 2078077, 2078109, 2078141, 2078173, 2078205, 2078237, 2078269, 2078301, 2078333, 2078365, 2078957, 2079565, 2080157, 2080749, 2081341, 2081933, 2082525, 2083117, 2083709, 2084301, 2084877, 2085469, 14230810, 2097037, 2097069, 2097101, 2097149, 2097197, 2097213, 2097261, 2097309, 2097341, 2097389, 2097421, 2097773, 2098141, 2098509, 2098845, 2099213, 2099565, 2099933, 2100285, 2100637, 2100989, 2101341, 2101709, 2102045, 2102397, 2102765, 2103117, 2103453, 2103805, 2104157, 2104509, 2104861, 2105197, 2105549, 2105901, 2106253, 2106605, 2106941, 2107293, 2107629, 2107981, 2108333, 2108669, 2108685, 2108717, 2108733, 2108765, 2108781, 2108813, 2108829, 2108845, 2108861, 2108893, 2108909, 2108941, 2108957, 2108989, 2109005, 2109021, 2109037, 2109069, 2109101, 2109117, 2109149, 2109133, 2109133, 2109117, 2109117, 2109101, 2109101, 2109085, 2109085, 2109069, 2109069, 2109069, 2109053, 2109053, 2109053, 2109053, 2109053, 2109053, 2109053, 2395930, 2109101, 2109101, 2109101]"
0,0,meta-llama/Llama-3.2-1B-Instruct,2619,300,0,733311248,733311248,1,96069662,2131242,"[2076685, 2076701, 2076717, 2076733, 2076749, 2076765, 2076749, 2076733, 2076717, 2076701, 2076685, 2076653, 2076637, 2076621, 2076605, 2076589, 2076573, 2076573, 2076557, 2076541, 2076525, 2076509, 2076493, 2076477, 2076445, 2076429, 2191602, 2076477, 2076461, 2076445, 2076429, 2076413, 2076397, 2076365, 2076365, 2076397, 2076429, 2076445, 2076477, 2076509, 2076525, 2076557, 2076589, 2076605, 2076653, 2076669, 2076701, 2076733, 2076749, 2076781, 2076813, 2076829, 2076861, 2076893, 2076909, 2076941, 2076973, 2076989, 2077021, 2077053, 2077069, 2077101, 2077133, 2077149, 2077181, 2077213, 2077245, 2077837, 2078429, 2079021, 2079645, 2120033, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076733, 2076749, 2076749, 2076749, 2076749, 2076749, 2076749, 2076765, 2180510, 2076877, 2076877, 2076877, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076893, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076925, 2076941, 2076941, 2076941, 2076941, 2076941, 2076957, 2077005, 2077053, 2077101, 2077149, 2077181, 2164791, 2077133, 2077181, 2077229, 2077277, 2077325, 2077357, 2077405, 2077453, 2077517, 2077565, 2077613, 2077645, 2077693, 2077741, 2077789, 2077837, 2077885, 2077933, 2077965, 2077981, 2078013, 2117204, 2077565, 2077597, 2077629, 2077677, 2077709, 2077741, 2077757, 2077789, 2077821, 2077853, 2077885, 2077917, 2077949, 2077981, 2077997, 2285425, 2077437, 2077469, 2077501, 2077533, 2077565, 2077597, 2077613, 2077645, 2077693, 2077725, 2077757, 2077789, 2077821, 2077837, 2077869, 2077901, 2077933, 2077965, 2077997, 2078029, 2078061, 2078077, 2078109, 2078141, 2078173, 2078205, 2078237, 2078269, 2078301, 2078333, 2078365, 2078957, 2079565, 2080157, 2080749, 2081341, 2081933, 2082525, 2083117, 2083709, 2084301, 2084877, 2085469, 14230810, 2097037, 2097069, 2097101, 2097149, 2097197, 2097213, 2097261, 2097309, 2097341, 2097389, 2097421, 2097773, 2098141, 2098509, 2098845, 2099213, 2099565, 2099933, 2100285, 2100637, 2100989, 2101341, 2101709, 2102045, 2102397, 2102765, 2103117, 2103453, 2103805, 2104157, 2104509, 2104861, 2105197, 2105549, 2105901, 2106253, 2106605, 2106941, 2107293, 2107629, 2107981, 2108333, 2108669, 2108685, 2108717, 2108733, 2108765, 2108781, 2108813, 2108829, 2108845, 2108861, 2108893, 2108909, 2108941, 2108957, 2108989, 2109005, 2109021, 2109037, 2109069, 2109101, 2109117, 2109149, 2109133, 2109133, 2109117, 2109117, 2109101, 2109101, 2109085, 2109085, 2109069, 2109069, 2109069, 2109053, 2109053, 2109053, 2109053, 2109053, 2109053, 2109053, 2395930, 2109101, 2109101, 2109101, 2275047, 2107693, 2108013, 2108317, 2108637, 2108957, 2109277, 2109261, 2109261, 2109245, 2109245, 2109229, 2109229, 2109213, 2109213]"
